arm,gene,n_programs,programs
WT_heat_up,CPNE6,0,unassigned
WT_heat_up,CRABP2,0,unassigned
WT_heat_up,CSF2,2,nfkb_tnfa;t_activation
WT_heat_up,CTH,0,unassigned
WT_heat_up,CYSTM1,0,unassigned
WT_heat_up,DAB2,0,unassigned
WT_heat_up,DAGLA,0,unassigned
WT_heat_up,DENND3,0,unassigned
WT_heat_up,DMWD,0,unassigned
WT_heat_up,DNAH7,0,unassigned
WT_heat_up,EBF1,0,unassigned
WT_heat_up,EGFR,1,hypoxia
WT_heat_up,EGR1,1,nfkb_tnfa
WT_heat_up,EGR2,1,nfkb_tnfa
WT_heat_up,EGR3,1,nfkb_tnfa
WT_heat_up,EHD2,0,unassigned
WT_heat_up,EMILIN2,0,unassigned
WT_heat_up,EOMES,1,t_activation
WT_heat_up,EPCAM,0,unassigned
WT_heat_up,EPHA2,0,unassigned
WT_heat_up,EPN2,0,unassigned
WT_heat_up,ESYT3,0,unassigned
WT_heat_up,F3,3,hypoxia;nfkb_tnfa;inflammatory
WT_heat_up,FAH,1,t_activation
WT_heat_up,FAM110C,0,unassigned
WT_heat_up,FAM83G,0,unassigned
WT_heat_up,FASLG,0,unassigned
WT_heat_up,FOSL1,1,nfkb_tnfa
WT_heat_up,FOSL2,2,hypoxia;nfkb_tnfa
WT_heat_up,GAP43,0,unassigned
WT_heat_up,GATM,0,unassigned
WT_heat_up,GDF6,0,unassigned
WT_heat_up,GFI1,0,unassigned
WT_heat_up,GFPT2,1,nfkb_tnfa
WT_heat_up,GJA5,0,unassigned
WT_heat_up,GPR183,2,nfkb_tnfa;inflammatory
WT_heat_up,GPRC5A,0,unassigned
WT_heat_up,GPRIN2,0,unassigned
WT_heat_up,GRP,0,unassigned
WT_heat_up,HAVCR1,0,unassigned
WT_heat_up,HBEGF,2,nfkb_tnfa;inflammatory
WT_heat_up,HK2,2,hypoxia;t_activation
WT_heat_up,HSPA1A,1,hsr_curated
WT_heat_up,HSPG2,0,unassigned
WT_heat_up,HSPH1,1,hsr_curated
WT_heat_up,IDI2,0,unassigned
WT_heat_up,IER3,2,hypoxia;nfkb_tnfa
WT_heat_up,IGF2BP2,0,unassigned
WT_heat_up,IGKC,0,unassigned
WT_heat_up,IL17F,0,unassigned
WT_heat_up,IL1A,2,nfkb_tnfa;inflammatory
WT_heat_up,IL1RN,1,ifn_generic_axis
WT_heat_up,IL2,1,ifn_generic_axis
WT_heat_up,IL23A,1,nfkb_tnfa
WT_heat_up,IL24,0,unassigned
WT_heat_up,IL3,0,unassigned
WT_heat_up,IL9,0,unassigned
WT_heat_up,ILDR1,0,unassigned
WT_heat_up,INHBA,2,nfkb_tnfa;inflammatory
WT_heat_up,IRF6,1,t_activation
WT_heat_up,ITGA3,0,unassigned
WT_heat_up,KDM6B,1,nfkb_tnfa
WT_heat_up,KLRC1,0,unassigned
WT_heat_up,LAMC2,0,unassigned
WT_heat_up,LTA,1,inflammatory
WT_heat_up,MAB21L3,0,unassigned
WT_heat_up,MCF2L,0,unassigned
WT_heat_up,MOCOS,0,unassigned
WT_heat_up,MST1R,0,unassigned
WT_heat_up,MYO16,0,unassigned
WT_heat_up,NAB2,0,unassigned
WT_heat_up,NEB,0,unassigned
WT_heat_up,NEO1,0,unassigned
WT_heat_up,NOTCH3,0,unassigned
WT_heat_up,NPPC,0,unassigned
WT_heat_up,NPR3,0,unassigned
WT_heat_up,NR4A1,1,nfkb_tnfa
WT_heat_up,NR4A2,1,nfkb_tnfa
WT_heat_up,NR4A3,1,nfkb_tnfa
WT_heat_up,OAF,0,unassigned
WT_heat_up,OAS3,1,ifn_generic_axis
WT_heat_up,OLR1,2,nfkb_tnfa;inflammatory
WT_heat_up,OPHN1,0,unassigned
WT_heat_up,P4HA2,1,hypoxia
WT_heat_up,PAK1,0,unassigned
WT_heat_up,PDGFB,1,hypoxia
WT_heat_up,PIK3AP1,0,unassigned
WT_heat_up,PKIB,0,unassigned
WT_heat_up,PLA1A,0,unassigned
WT_heat_up,PLA2G4C,0,unassigned
WT_heat_up,PLAUR,4,hypoxia;nfkb_tnfa;inflammatory;sting_specific_published
WT_heat_up,PLEK,1,nfkb_tnfa
WT_heat_up,PLEK2,0,unassigned
WT_heat_up,PLK2,1,nfkb_tnfa
WT_heat_up,PLK3,0,unassigned
WT_heat_up,PLXNB2,0,unassigned
WT_heat_up,PPEF1,0,unassigned
WT_heat_up,PROCR,1,ifn_type_i
WT_heat_up,PTGER2,2,inflammatory;t_activation
WT_heat_up,PTGS2,2,nfkb_tnfa;sting_specific_published
WT_heat_up,PTPN5,0,unassigned
WT_heat_up,PXDC1,0,unassigned
WT_heat_up,RAB34,0,unassigned
WT_heat_up,RGS16,2,inflammatory;t_activation
WT_heat_up,RIPK4,0,unassigned
WT_heat_up,RNF152,0,unassigned
WT_heat_up,S1PR3,0,unassigned
WT_heat_up,SAMD4A,1,ifn_generic_axis
WT_heat_up,SCN9A,1,t_activation
WT_heat_up,SDC1,0,unassigned
WT_heat_up,SDC4,2,hypoxia;nfkb_tnfa
WT_heat_up,SEMA4A,0,unassigned
WT_heat_up,SERPINE1,3,hypoxia;nfkb_tnfa;inflammatory
WT_heat_up,SGMS2,1,inflammatory
WT_heat_up,SH3GL3,0,unassigned
WT_heat_up,SH3PXD2B,0,unassigned
WT_heat_up,SIX5,0,unassigned
WT_heat_up,SLC13A3,0,unassigned
WT_heat_up,SLC35D3,0,unassigned
WT_heat_up,SLC41A1,0,unassigned
WT_heat_up,SLC4A11,0,unassigned
WT_heat_up,SP7,0,unassigned
WT_heat_up,SPHK1,2,nfkb_tnfa;inflammatory
WT_heat_up,SPINT1,0,unassigned
WT_heat_up,SPP1,1,t_activation
WT_heat_up,SPRY1,0,unassigned
WT_heat_up,SRXN1,0,unassigned
WT_heat_up,SSPOP,0,unassigned
WT_heat_up,STRA6,0,unassigned
WT_heat_up,SYT15,0,unassigned
WT_heat_up,TAL2,0,unassigned
WT_heat_up,TANC2,0,unassigned
WT_heat_up,TEX15,0,unassigned
WT_heat_up,TGM1,1,ifn_generic_axis
WT_heat_up,TGM2,2,hypoxia;t_activation
WT_heat_up,TIMP1,1,inflammatory
WT_heat_up,TMEFF2,0,unassigned
WT_heat_up,TMEM125,0,unassigned
WT_heat_up,TMEM205,0,unassigned
WT_heat_up,TNFRSF11B,0,unassigned
WT_heat_up,TNFSF11,1,t_activation
WT_heat_up,TNFSF14,0,unassigned
WT_heat_up,TNFSF9,2,nfkb_tnfa;inflammatory
WT_heat_up,TP73,0,unassigned
WT_heat_up,TRPM6,0,unassigned
WT_heat_up,TTC39C,0,unassigned
WT_heat_up,UAP1,0,unassigned
WT_heat_up,UPP1,0,unassigned
WT_heat_up,VILL,0,unassigned
WT_heat_up,WNT3,0,unassigned
WT_heat_up,YAP1,0,unassigned
WT_heat_up,ZBTB32,0,unassigned
WT_heat_up,ZNF583,0,unassigned
KO_heat_up,ACTBL2,0,unassigned
KO_heat_up,ADAM8,0,unassigned
KO_heat_up,ADCY4,0,unassigned
KO_heat_up,ADM,2,hypoxia;inflammatory
KO_heat_up,ADORA2A,0,unassigned
KO_heat_up,ADORA2B,2,hypoxia;inflammatory
KO_heat_up,AK4,1,hypoxia
KO_heat_up,ALDH1A2,0,unassigned
KO_heat_up,ALDH1L2,0,unassigned
KO_heat_up,ANKRD33B,0,unassigned
KO_heat_up,ANKRD37,0,unassigned
KO_heat_up,ANO1,0,unassigned
KO_heat_up,ANXA2,1,hypoxia
KO_heat_up,APLP1,1,t_activation
KO_heat_up,AREG,1,nfkb_tnfa
KO_heat_up,ARHGEF25,0,unassigned
KO_heat_up,ARID3A,0,unassigned
KO_heat_up,ASB2,0,unassigned
KO_heat_up,ATP2B4,0,unassigned
KO_heat_up,AVPR1A,0,unassigned
KO_heat_up,B3GNT5,0,unassigned
KO_heat_up,BATF3,1,t_activation
KO_heat_up,BCAM,0,unassigned
KO_heat_up,BCL6B,0,unassigned
KO_heat_up,BICD1,0,unassigned
KO_heat_up,BSPRY,0,unassigned
KO_heat_up,C11orf86,0,unassigned
KO_heat_up,C15orf48,0,unassigned
KO_heat_up,C22orf15,0,unassigned
KO_heat_up,C3,0,unassigned
KO_heat_up,CALCA,0,unassigned
KO_heat_up,CAMK2N1,0,unassigned
KO_heat_up,CARD10,0,unassigned
KO_heat_up,CASZ1,0,unassigned
KO_heat_up,CAVIN1,1,hypoxia
KO_heat_up,CCDC184,0,unassigned
KO_heat_up,CCL20,2,nfkb_tnfa;inflammatory
KO_heat_up,CCL22,1,inflammatory
KO_heat_up,CCL3,0,unassigned
KO_heat_up,CCL4,1,nfkb_tnfa
KO_heat_up,CCN1,2,hypoxia;nfkb_tnfa
KO_heat_up,CD200,0,unassigned
KO_heat_up,CD40LG,0,unassigned
KO_heat_up,CD53,0,unassigned
KO_heat_up,CD70,1,inflammatory
KO_heat_up,CD80,1,nfkb_tnfa
KO_heat_up,CD83,2,nfkb_tnfa;t_activation
KO_heat_up,CDCP1,1,t_activation
KO_heat_up,CDKN1A,3,hypoxia;nfkb_tnfa;inflammatory
KO_heat_up,CLDN4,0,unassigned
KO_heat_up,CLU,0,unassigned
KO_heat_up,COL27A1,0,unassigned
KO_heat_up,CPM,0,unassigned
KO_heat_up,CRABP2,0,unassigned
KO_heat_up,CSF2,2,nfkb_tnfa;t_activation
KO_heat_up,CSGALNACT1,0,unassigned
KO_heat_up,CTH,0,unassigned
KO_heat_up,CYSTM1,0,unassigned
KO_heat_up,DAGLA,0,unassigned
KO_heat_up,DENND3,0,unassigned
KO_heat_up,DMWD,0,unassigned
KO_heat_up,DNAH7,0,unassigned
KO_heat_up,EBF1,0,unassigned
KO_heat_up,EFNA2,0,unassigned
KO_heat_up,EGFR,1,hypoxia
KO_heat_up,EGR1,1,nfkb_tnfa
KO_heat_up,EGR2,1,nfkb_tnfa
KO_heat_up,EGR3,1,nfkb_tnfa
KO_heat_up,EHD2,0,unassigned
KO_heat_up,EOMES,1,t_activation
KO_heat_up,EPCAM,0,unassigned
KO_heat_up,EPHA2,0,unassigned
KO_heat_up,EPN2,0,unassigned
KO_heat_up,ESYT3,0,unassigned
KO_heat_up,F3,3,hypoxia;nfkb_tnfa;inflammatory
KO_heat_up,FAH,1,t_activation
KO_heat_up,FAM110C,0,unassigned
KO_heat_up,FAM43A,0,unassigned
KO_heat_up,FAM83G,0,unassigned
KO_heat_up,FASLG,0,unassigned
KO_heat_up,FAT2,0,unassigned
KO_heat_up,FOSL1,1,nfkb_tnfa
KO_heat_up,FOSL2,2,hypoxia;nfkb_tnfa
KO_heat_up,GAP43,0,unassigned
KO_heat_up,GATM,0,unassigned
KO_heat_up,GDF6,0,unassigned
KO_heat_up,GFI1,0,unassigned
KO_heat_up,GFPT2,1,nfkb_tnfa
KO_heat_up,GJA5,0,unassigned
KO_heat_up,GPAT3,0,unassigned
KO_heat_up,GPR183,2,nfkb_tnfa;inflammatory
KO_heat_up,GPRC5A,0,unassigned
KO_heat_up,GPRIN2,0,unassigned
KO_heat_up,GRP,0,unassigned
KO_heat_up,GZMA,0,unassigned
KO_heat_up,HAVCR1,0,unassigned
KO_heat_up,HBEGF,2,nfkb_tnfa;inflammatory
KO_heat_up,HIC1,0,unassigned
KO_heat_up,HK2,2,hypoxia;t_activation
KO_heat_up,HSPA1A,1,hsr_curated
KO_heat_up,HSPH1,1,hsr_curated
KO_heat_up,IDI2,0,unassigned
KO_heat_up,IER3,2,hypoxia;nfkb_tnfa
KO_heat_up,IGF2BP2,0,unassigned
KO_heat_up,IGKC,0,unassigned
KO_heat_up,IL17F,0,unassigned
KO_heat_up,IL1A,2,nfkb_tnfa;inflammatory
KO_heat_up,IL1R2,1,t_activation
KO_heat_up,IL1RN,1,ifn_generic_axis
KO_heat_up,IL2,1,ifn_generic_axis
KO_heat_up,IL23A,1,nfkb_tnfa
KO_heat_up,IL24,0,unassigned
KO_heat_up,IL3,0,unassigned
KO_heat_up,IL9,0,unassigned
KO_heat_up,ILDR1,0,unassigned
KO_heat_up,INHBA,2,nfkb_tnfa;inflammatory
KO_heat_up,IRF6,1,t_activation
KO_heat_up,ITGA3,0,unassigned
KO_heat_up,KDM6B,1,nfkb_tnfa
KO_heat_up,KLF5,0,unassigned
KO_heat_up,KLRC1,0,unassigned
KO_heat_up,LAMC2,0,unassigned
KO_heat_up,LST1,0,unassigned
KO_heat_up,LTA,1,inflammatory
KO_heat_up,LTB4R,0,unassigned
KO_heat_up,LTBP3,0,unassigned
KO_heat_up,LZTS3,0,unassigned
KO_heat_up,MAPK12,0,unassigned
KO_heat_up,MAPK13,0,unassigned
KO_heat_up,MCF2L,0,unassigned
KO_heat_up,MOCOS,0,unassigned
KO_heat_up,MPZL2,0,unassigned
KO_heat_up,MST1R,0,unassigned
KO_heat_up,MYO16,0,unassigned
KO_heat_up,NAB2,0,unassigned
KO_heat_up,NEB,0,unassigned
KO_heat_up,NOTCH3,0,unassigned
KO_heat_up,NPPC,0,unassigned
KO_heat_up,NPR3,0,unassigned
KO_heat_up,NR4A1,1,nfkb_tnfa
KO_heat_up,NR4A2,1,nfkb_tnfa
KO_heat_up,NR4A3,1,nfkb_tnfa
KO_heat_up,NRBP2,0,unassigned
KO_heat_up,OAF,0,unassigned
KO_heat_up,OLR1,2,nfkb_tnfa;inflammatory
KO_heat_up,OPHN1,0,unassigned
KO_heat_up,P4HA2,1,hypoxia
KO_heat_up,PAK1,0,unassigned
KO_heat_up,PARD3,0,unassigned
KO_heat_up,PDGFA,0,unassigned
KO_heat_up,PDGFB,1,hypoxia
KO_heat_up,PDZK1IP1,0,unassigned
KO_heat_up,PKIB,0,unassigned
KO_heat_up,PLA1A,0,unassigned
KO_heat_up,PLA2G4C,0,unassigned
KO_heat_up,PLAUR,4,hypoxia;nfkb_tnfa;inflammatory;sting_specific_published
KO_heat_up,PLEK,1,nfkb_tnfa
KO_heat_up,PLEK2,0,unassigned
KO_heat_up,PLK2,1,nfkb_tnfa
KO_heat_up,PLXNB2,0,unassigned
KO_heat_up,PPEF1,0,unassigned
KO_heat_up,PPL,0,unassigned
KO_heat_up,PROCR,1,ifn_type_i
KO_heat_up,PTGER2,2,inflammatory;t_activation
KO_heat_up,PTPN5,0,unassigned
KO_heat_up,PXDC1,0,unassigned
KO_heat_up,RAB34,0,unassigned
KO_heat_up,RET,0,unassigned
KO_heat_up,RGS16,2,inflammatory;t_activation
KO_heat_up,RHBDL3,0,unassigned
KO_heat_up,RIPK4,0,unassigned
KO_heat_up,RNF152,0,unassigned
KO_heat_up,S1PR3,0,unassigned
KO_heat_up,SAMD4A,1,ifn_generic_axis
KO_heat_up,SCN9A,1,t_activation
KO_heat_up,SDC1,0,unassigned
KO_heat_up,SDC4,2,hypoxia;nfkb_tnfa
KO_heat_up,SEMA4A,0,unassigned
KO_heat_up,SERPINE1,3,hypoxia;nfkb_tnfa;inflammatory
KO_heat_up,SGMS2,1,inflammatory
KO_heat_up,SH3GL3,0,unassigned
KO_heat_up,SH3PXD2B,0,unassigned
KO_heat_up,SLC13A3,0,unassigned
KO_heat_up,SLC2A1,1,hypoxia
KO_heat_up,SLC41A1,0,unassigned
KO_heat_up,SLC4A11,0,unassigned
KO_heat_up,SPHK1,2,nfkb_tnfa;inflammatory
KO_heat_up,SPINT1,0,unassigned
KO_heat_up,SPP1,1,t_activation
KO_heat_up,SPRY1,0,unassigned
KO_heat_up,SRXN1,0,unassigned
KO_heat_up,SSPOP,0,unassigned
KO_heat_up,STRA6,0,unassigned
KO_heat_up,SYT15,0,unassigned
KO_heat_up,TANC2,0,unassigned
KO_heat_up,TEX15,0,unassigned
KO_heat_up,TGM1,1,ifn_generic_axis
KO_heat_up,TGM2,2,hypoxia;t_activation
KO_heat_up,TIMP1,1,inflammatory
KO_heat_up,TMEFF2,0,unassigned
KO_heat_up,TMEM125,0,unassigned
KO_heat_up,TMEM205,0,unassigned
KO_heat_up,TNFRSF11B,0,unassigned
KO_heat_up,TNFSF11,1,t_activation
KO_heat_up,TNFSF14,0,unassigned
KO_heat_up,TNFSF9,2,nfkb_tnfa;inflammatory
KO_heat_up,TP73,0,unassigned
KO_heat_up,TRPM6,0,unassigned
KO_heat_up,TTC39C,0,unassigned
KO_heat_up,TTYH1,0,unassigned
KO_heat_up,UACA,0,unassigned
KO_heat_up,UAP1,0,unassigned
KO_heat_up,UPP1,0,unassigned
KO_heat_up,VILL,0,unassigned
KO_heat_up,WNT3,0,unassigned
KO_heat_up,ZBTB32,0,unassigned
KO_heat_up,ZBTB46,0,unassigned
KO_heat_up,ZNF583,0,unassigned
Interaction_up,IFI16,0,unassigned
Interaction_up,IFIT1B,0,unassigned
Interaction_up,IRF7,3,inflammatory;ifn_type_i;ifn_generic_axis
Interaction_up,MX1,2,ifn_type_i;ifn_generic_axis
Interaction_up,RTP4,2,inflammatory;ifn_type_i
Interaction_up,TRIM5,1,ifn_type_i
Interaction_up,XAF1,0,unassigned
Interaction_up_fdrOnly,DHX58,2,ifn_type_i;ifn_generic_axis
Interaction_up_fdrOnly,EIF2AK2,3,inflammatory;ifn_type_i;ifn_generic_axis
Interaction_up_fdrOnly,HELZ2,2,ifn_type_i;ifn_generic_axis
Interaction_up_fdrOnly,IFI16,0,unassigned
Interaction_up_fdrOnly,IFI27,2,ifn_type_i;ifn_generic_axis
Interaction_up_fdrOnly,IFI27L1,0,unassigned
Interaction_up_fdrOnly,IFIT1B,0,unassigned
Interaction_up_fdrOnly,IRF7,3,inflammatory;ifn_type_i;ifn_generic_axis
Interaction_up_fdrOnly,LGALS3BP,1,ifn_type_i
Interaction_up_fdrOnly,LGALS9,0,unassigned
Interaction_up_fdrOnly,MX1,2,ifn_type_i;ifn_generic_axis
Interaction_up_fdrOnly,RNF213,0,unassigned
Interaction_up_fdrOnly,RTP4,2,inflammatory;ifn_type_i
Interaction_up_fdrOnly,SAMD9L,1,ifn_type_i
Interaction_up_fdrOnly,SP100,0,unassigned
Interaction_up_fdrOnly,TRIM34,0,unassigned
Interaction_up_fdrOnly,TRIM5,1,ifn_type_i
Interaction_up_fdrOnly,XAF1,0,unassigned
