arm,gate,n_arm,program,curated_set,n_curated_set,n_intersect,frac_of_arm,genes
KO_heat_up,fdr_logfc,218,unassigned,(none),0,150,0.6880733944954128,ACTBL2;ADAM8;ADCY4;ADORA2A;ALDH1A2;ALDH1L2;ANKRD33B;ANKRD37;ANO1;ARHGEF25;ARID3A;ASB2;ATP2B4;AVPR1A;B3GNT5;BCAM;BCL6B;BICD1;BSPRY;C11orf86;C15orf48;C22orf15;C3;CALCA;CAMK2N1;CARD10;CASZ1;CCDC184;CCL3;CD200;CD40LG;CD53;CLDN4;CLU;COL27A1;CPM;CRABP2;CSGALNACT1;CTH;CYSTM1;DAGLA;DENND3;DMWD;DNAH7;EBF1;EFNA2;EHD2;EPCAM;EPHA2;EPN2;ESYT3;FAM110C;FAM43A;FAM83G;FASLG;FAT2;GAP43;GATM;GDF6;GFI1;GJA5;GPAT3;GPRC5A;GPRIN2;GRP;GZMA;HAVCR1;HIC1;IDI2;IGF2BP2;IGKC;IL17F;IL24;IL3;IL9;ILDR1;ITGA3;KLF5;KLRC1;LAMC2;LST1;LTB4R;LTBP3;LZTS3;MAPK12;MAPK13;MCF2L;MOCOS;MPZL2;MST1R;MYO16;NAB2;NEB;NOTCH3;NPPC;NPR3;NRBP2;OAF;OPHN1;PAK1;PARD3;PDGFA;PDZK1IP1;PKIB;PLA1A;PLA2G4C;PLEK2;PLXNB2;PPEF1;PPL;PTPN5;PXDC1;RAB34;RET;RHBDL3;RIPK4;RNF152;S1PR3;SDC1;SEMA4A;SH3GL3;SH3PXD2B;SLC13A3;SLC41A1;SLC4A11;SPINT1;SPRY1;SRXN1;SSPOP;STRA6;SYT15;TANC2;TEX15;TMEFF2;TMEM125;TMEM205;TNFRSF11B;TNFSF14;TP73;TRPM6;TTC39C;TTYH1;UACA;UAP1;UPP1;VILL;WNT3;ZBTB32;ZBTB46;ZNF583
Interaction_up,fdr_logfc,7,hypoxia,HALLMARK_HYPOXIA,200,0,0.0,
Interaction_up,fdr_logfc,7,nfkb_tnfa,HALLMARK_TNFA_SIGNALING_VIA_NFKB,200,0,0.0,
Interaction_up,fdr_logfc,7,inflammatory,HALLMARK_INFLAMMATORY_RESPONSE,200,2,0.2857142857142857,IRF7;RTP4
Interaction_up,fdr_logfc,7,t_activation,HALLMARK_IL2_STAT5_SIGNALING,199,0,0.0,
Interaction_up,fdr_logfc,7,ifn_type_i,HALLMARK_INTERFERON_ALPHA_RESPONSE,97,4,0.5714285714285714,IRF7;MX1;RTP4;TRIM5
Interaction_up,fdr_logfc,7,upr_er,HALLMARK_UNFOLDED_PROTEIN_RESPONSE,113,0,0.0,
Interaction_up,fdr_logfc,7,hsr_curated,HSR_core,56,0,0.0,
Interaction_up,fdr_logfc,7,sting_specific_published,de_Cevins_sting_specific_up,21,0,0.0,
Interaction_up,fdr_logfc,7,ifn_generic_axis,ifn_only_up,200,2,0.2857142857142857,IRF7;MX1
Interaction_up,fdr_logfc,7,unassigned,(none),0,3,0.42857142857142855,IFI16;IFIT1B;XAF1
Interaction_up_fdrOnly,fdr_only,18,hypoxia,HALLMARK_HYPOXIA,200,0,0.0,
Interaction_up_fdrOnly,fdr_only,18,nfkb_tnfa,HALLMARK_TNFA_SIGNALING_VIA_NFKB,200,0,0.0,
Interaction_up_fdrOnly,fdr_only,18,inflammatory,HALLMARK_INFLAMMATORY_RESPONSE,200,3,0.16666666666666666,EIF2AK2;IRF7;RTP4
Interaction_up_fdrOnly,fdr_only,18,t_activation,HALLMARK_IL2_STAT5_SIGNALING,199,0,0.0,
Interaction_up_fdrOnly,fdr_only,18,ifn_type_i,HALLMARK_INTERFERON_ALPHA_RESPONSE,97,10,0.5555555555555556,DHX58;EIF2AK2;HELZ2;IFI27;IRF7;LGALS3BP;MX1;RTP4;SAMD9L;TRIM5
Interaction_up_fdrOnly,fdr_only,18,upr_er,HALLMARK_UNFOLDED_PROTEIN_RESPONSE,113,0,0.0,
Interaction_up_fdrOnly,fdr_only,18,hsr_curated,HSR_core,56,0,0.0,
Interaction_up_fdrOnly,fdr_only,18,sting_specific_published,de_Cevins_sting_specific_up,21,0,0.0,
Interaction_up_fdrOnly,fdr_only,18,ifn_generic_axis,ifn_only_up,200,6,0.3333333333333333,DHX58;EIF2AK2;HELZ2;IFI27;IRF7;MX1
Interaction_up_fdrOnly,fdr_only,18,unassigned,(none),0,8,0.4444444444444444,IFI16;IFI27L1;IFIT1B;LGALS9;RNF213;SP100;TRIM34;XAF1
