arm,gate,n_arm,program,curated_set,n_curated_set,n_intersect,frac_of_arm,weight_fractional_sum,frac_of_arm_fractional,band_order,arm_n_claimed,arm_n_unassigned,arm_n_claims_total,arm_n_excess_claims,arm_max_lenses_per_gene,is_partition,measurement,evidence_tier
KO_heat_up,fdr_logfc,218.0,nfkb_tnfa,HALLMARK_TNFA_SIGNALING_VIA_NFKB,200.0,33.0,0.151376147,23.25,0.106651376,0.0,68.0,150.0,97.0,29.0,4.0,False,membership_not_enrichment,secondary_annotation
KO_heat_up,fdr_logfc,218.0,inflammatory,HALLMARK_INFLAMMATORY_RESPONSE,200.0,21.0,0.0963302752,12.25,0.0561926606,1.0,68.0,150.0,97.0,29.0,4.0,False,membership_not_enrichment,secondary_annotation
KO_heat_up,fdr_logfc,218.0,t_activation,HALLMARK_IL2_STAT5_SIGNALING,199.0,16.0,0.0733944954,13.0,0.0596330275,2.0,68.0,150.0,97.0,29.0,4.0,False,membership_not_enrichment,secondary_annotation
KO_heat_up,fdr_logfc,218.0,hypoxia,HALLMARK_HYPOXIA,200.0,19.0,0.0871559633,12.25,0.0561926606,3.0,68.0,150.0,97.0,29.0,4.0,False,membership_not_enrichment,secondary_annotation
KO_heat_up,fdr_logfc,218.0,ifn_generic_axis,ifn_only_up,200.0,4.0,0.0183486239,4.0,0.0183486239,4.0,68.0,150.0,97.0,29.0,4.0,False,membership_not_enrichment,secondary_annotation
KO_heat_up,fdr_logfc,218.0,ifn_type_i,HALLMARK_INTERFERON_ALPHA_RESPONSE,97.0,1.0,0.00458715596,1.0,0.00458715596,5.0,68.0,150.0,97.0,29.0,4.0,False,membership_not_enrichment,secondary_annotation
KO_heat_up,fdr_logfc,218.0,hsr_curated,HSR_core,56.0,2.0,0.00917431193,2.0,0.00917431193,6.0,68.0,150.0,97.0,29.0,4.0,False,membership_not_enrichment,secondary_annotation
KO_heat_up,fdr_logfc,218.0,sting_specific_published,de_Cevins_sting_specific_up,21.0,1.0,0.00458715596,0.25,0.00114678899,7.0,68.0,150.0,97.0,29.0,4.0,False,membership_not_enrichment,secondary_annotation
KO_heat_up,fdr_logfc,218.0,upr_er,HALLMARK_UNFOLDED_PROTEIN_RESPONSE,113.0,0.0,0.0,0.0,0.0,8.0,68.0,150.0,97.0,29.0,4.0,False,membership_not_enrichment,secondary_annotation
KO_heat_up,fdr_logfc,218.0,unassigned,(none),0.0,150.0,0.688073394,150.0,0.688073394,9.0,68.0,150.0,97.0,29.0,4.0,False,membership_not_enrichment,secondary_annotation
Interaction_up,fdr_logfc,7.0,nfkb_tnfa,HALLMARK_TNFA_SIGNALING_VIA_NFKB,200.0,0.0,0.0,0.0,0.0,0.0,4.0,3.0,8.0,4.0,3.0,False,membership_not_enrichment,secondary_annotation
Interaction_up,fdr_logfc,7.0,inflammatory,HALLMARK_INFLAMMATORY_RESPONSE,200.0,2.0,0.285714286,0.833333333,0.119047619,1.0,4.0,3.0,8.0,4.0,3.0,False,membership_not_enrichment,secondary_annotation
Interaction_up,fdr_logfc,7.0,t_activation,HALLMARK_IL2_STAT5_SIGNALING,199.0,0.0,0.0,0.0,0.0,2.0,4.0,3.0,8.0,4.0,3.0,False,membership_not_enrichment,secondary_annotation
Interaction_up,fdr_logfc,7.0,hypoxia,HALLMARK_HYPOXIA,200.0,0.0,0.0,0.0,0.0,3.0,4.0,3.0,8.0,4.0,3.0,False,membership_not_enrichment,secondary_annotation
Interaction_up,fdr_logfc,7.0,ifn_generic_axis,ifn_only_up,200.0,2.0,0.285714286,0.833333333,0.119047619,4.0,4.0,3.0,8.0,4.0,3.0,False,membership_not_enrichment,secondary_annotation
Interaction_up,fdr_logfc,7.0,ifn_type_i,HALLMARK_INTERFERON_ALPHA_RESPONSE,97.0,4.0,0.571428571,2.33333333,0.333333333,5.0,4.0,3.0,8.0,4.0,3.0,False,membership_not_enrichment,secondary_annotation
Interaction_up,fdr_logfc,7.0,hsr_curated,HSR_core,56.0,0.0,0.0,0.0,0.0,6.0,4.0,3.0,8.0,4.0,3.0,False,membership_not_enrichment,secondary_annotation
Interaction_up,fdr_logfc,7.0,sting_specific_published,de_Cevins_sting_specific_up,21.0,0.0,0.0,0.0,0.0,7.0,4.0,3.0,8.0,4.0,3.0,False,membership_not_enrichment,secondary_annotation
Interaction_up,fdr_logfc,7.0,upr_er,HALLMARK_UNFOLDED_PROTEIN_RESPONSE,113.0,0.0,0.0,0.0,0.0,8.0,4.0,3.0,8.0,4.0,3.0,False,membership_not_enrichment,secondary_annotation
Interaction_up,fdr_logfc,7.0,unassigned,(none),0.0,3.0,0.428571429,3.0,0.428571429,9.0,4.0,3.0,8.0,4.0,3.0,False,membership_not_enrichment,secondary_annotation
Interaction_up_fdrOnly,fdr_only,18.0,nfkb_tnfa,HALLMARK_TNFA_SIGNALING_VIA_NFKB,200.0,0.0,0.0,0.0,0.0,0.0,10.0,8.0,19.0,9.0,3.0,False,membership_not_enrichment,secondary_annotation
