population,configuration,n_donors_flipped,donors_flipped,is_observed,tf,score,rank
Treg,11,2,JIA_patient_2|JIA_patient_4,FALSE,EPAS1,2.63117876,68
Treg,12,3,JIA_patient_1|JIA_patient_2|JIA_patient_4,FALSE,HIF1A,0.47952042,272
Treg,12,3,JIA_patient_1|JIA_patient_2|JIA_patient_4,FALSE,NFKB1,-0.136650957,427
Treg,12,3,JIA_patient_1|JIA_patient_2|JIA_patient_4,FALSE,STAT3,0.0940027327,375
Treg,12,3,JIA_patient_1|JIA_patient_2|JIA_patient_4,FALSE,CREB1,0.623930987,243
Treg,12,3,JIA_patient_1|JIA_patient_2|JIA_patient_4,FALSE,ATF3,0.403633705,297
Treg,12,3,JIA_patient_1|JIA_patient_2|JIA_patient_4,FALSE,REL,1.0360939,167
Treg,12,3,JIA_patient_1|JIA_patient_2|JIA_patient_4,FALSE,HSF1,0.24609186,340
Treg,12,3,JIA_patient_1|JIA_patient_2|JIA_patient_4,FALSE,EPAS1,0.766138672,218
Treg,13,2,JIA_patient_3|JIA_patient_4,FALSE,HIF1A,2.48097098,27
Treg,13,2,JIA_patient_3|JIA_patient_4,FALSE,NFKB1,3.11884065,11
Treg,13,2,JIA_patient_3|JIA_patient_4,FALSE,STAT3,-0.690773683,476
Treg,13,2,JIA_patient_3|JIA_patient_4,FALSE,CREB1,0.918671241,187
Treg,13,2,JIA_patient_3|JIA_patient_4,FALSE,ATF3,2.39717369,32
Treg,13,2,JIA_patient_3|JIA_patient_4,FALSE,REL,2.28096636,40
Treg,13,2,JIA_patient_3|JIA_patient_4,FALSE,HSF1,2.51746924,24
Treg,13,2,JIA_patient_3|JIA_patient_4,FALSE,EPAS1,0.719613129,224
Treg,14,3,JIA_patient_1|JIA_patient_3|JIA_patient_4,FALSE,HIF1A,-1.27850418,491
Treg,14,3,JIA_patient_1|JIA_patient_3|JIA_patient_4,FALSE,NFKB1,-2.38355544,583
Treg,14,3,JIA_patient_1|JIA_patient_3|JIA_patient_4,FALSE,STAT3,-4.54145171,596
Treg,14,3,JIA_patient_1|JIA_patient_3|JIA_patient_4,FALSE,CREB1,-2.01913012,570
Treg,14,3,JIA_patient_1|JIA_patient_3|JIA_patient_4,FALSE,ATF3,0.269931461,219
Treg,14,3,JIA_patient_1|JIA_patient_3|JIA_patient_4,FALSE,REL,-0.854735851,446
