set_name,coarse_label,tissue,n_cells,n_donors,mean,median,sd,metric,evidence_tier
KO_heat_up,Treg,synovial_fluid,13572,6,0.01876106615896828,0.0181742760104742,0.0072889707690983845,AUCell,secondary_percell
KO_heat_up,Tcon,peripheral_blood,18411,6,0.011240800902672146,0.0106038215239429,0.006061196621759939,AUCell,secondary_percell
KO_heat_up,Tcon,synovial_fluid,19502,7,0.01946312232162979,0.0191594721422831,0.00797808708683505,AUCell,secondary_percell
KO_heat_up,CD8,peripheral_blood,15817,6,0.016436324376732012,0.016608332685178,0.006976027419014697,AUCell,secondary_percell
KO_heat_up,CD8,synovial_fluid,19010,7,0.020637304799714127,0.0206165253688004,0.007188893708237271,AUCell,secondary_percell
WT_heat_up,Treg,peripheral_blood,13603,7,0.011086363036369009,0.0107163479501376,0.005378350212719717,AUCell,secondary_percell
WT_heat_up,Treg,synovial_fluid,13572,6,0.018767641800674546,0.01839554815846385,0.007080855371108245,AUCell,secondary_percell
WT_heat_up,Tcon,peripheral_blood,18411,6,0.011293238048618804,0.0107389921085108,0.006035963103190816,AUCell,secondary_percell
WT_heat_up,Tcon,synovial_fluid,19502,7,0.018006378537319102,0.0174926123433307,0.007788589931223404,AUCell,secondary_percell
WT_heat_up,CD8,peripheral_blood,15817,6,0.013501856093358503,0.0132524936879409,0.0065207444397779,AUCell,secondary_percell
WT_heat_up,CD8,synovial_fluid,19010,7,0.017618156989091183,0.0173057980367515,0.007134446220131089,AUCell,secondary_percell
eTreg_up,Treg,peripheral_blood,13603,7,0.019022310617472594,0.0180404624277457,0.010483010378472771,AUCell,secondary_percell
eTreg_up,Treg,synovial_fluid,13572,6,0.06681285765150624,0.065271676300578,0.02294716112874112,AUCell,secondary_percell
eTreg_up,Tcon,peripheral_blood,18411,6,0.01566206744334483,0.0135317919075145,0.01055794318581392,AUCell,secondary_percell
eTreg_up,Tcon,synovial_fluid,19502,7,0.046942036180667404,0.0453092485549133,0.01902035197475389,AUCell,secondary_percell
eTreg_up,CD8,peripheral_blood,15817,6,0.03494563945063865,0.0343988439306358,0.015038986126946981,AUCell,secondary_percell
eTreg_up,CD8,synovial_fluid,19010,7,0.06166939882568651,0.0614682080924856,0.019465444703544495,AUCell,secondary_percell
ifn_generic_axis,Treg,peripheral_blood,13603,7,0.017193035545607558,0.0147038367440452,0.012958804342925432,AUCell,secondary_percell
ifn_generic_axis,Treg,synovial_fluid,13572,6,0.029049103509761087,0.0238968031224174,0.01987590523671207,AUCell,secondary_percell
ifn_generic_axis,Tcon,peripheral_blood,18411,6,0.014311492268820766,0.0125845859278473,0.011315937452481809,AUCell,secondary_percell
ifn_generic_axis,Tcon,synovial_fluid,19502,7,0.02185615605004096,0.0179358987996367,0.016338633417288816,AUCell,secondary_percell
ifn_generic_axis,CD8,peripheral_blood,15817,6,0.012818375861692717,0.0115454166087077,0.009815597644954682,AUCell,secondary_percell
ifn_generic_axis,CD8,synovial_fluid,19010,7,0.022545790895951854,0.0178131622658801,0.017897652378174478,AUCell,secondary_percell
sting_specific_published,Treg,peripheral_blood,13603,7,0.022027354451500687,0.0129930394431555,0.025673739169440345,AUCell,secondary_percell
sting_specific_published,Treg,synovial_fluid,13572,6,0.04239322621593203,0.0442124258829595,0.03321789617067073,AUCell,secondary_percell
sting_specific_published,Tcon,peripheral_blood,18411,6,0.05472462024024245,0.0502706883217324,0.03314458532165606,AUCell,secondary_percell
sting_specific_published,Tcon,synovial_fluid,19502,7,0.0809167899147129,0.0818767723640113,0.03571889904806314,AUCell,secondary_percell
sting_specific_published,CD8,peripheral_blood,15817,6,0.06719196452634013,0.0667697860273266,0.03510487159951283,AUCell,secondary_percell
sting_specific_published,CD8,synovial_fluid,19010,7,0.08160158308017965,0.0832173240525909,0.03467404654847046,AUCell,secondary_percell
