population,contrast,pathway_name,n_paired_donors,mean_sf,mean_pb,mean_difference,t_statistic,pvalue,ci_low,ci_high,padj,direction
CD8,SF_vs_PB_CD8,Trail,6,-0.11929052,0.233731233,-0.353021753,-0.790797458,0.464901053,-1.50056123,0.79451773,0.497989676,down
CD8,SF_vs_PB_CD8,Androgen,6,-0.0992337597,0.297668523,-0.396902283,-0.730270515,0.497989676,-1.79401442,1.00020985,0.497989676,down
Tcon,SF_vs_PB_Tcon,TGFb,6,3.77254054,-5.29094927,9.06348981,11.1678635,1.00426996e-4,6.97728574,11.1496939,0.00140597794,up
Tcon,SF_vs_PB_Tcon,EGFR,6,4.49514582,-5.51360346,10.0087493,8.84854473,3.0639277e-4,7.10111759,12.916381,0.00193665177,up
Tcon,SF_vs_PB_Tcon,VEGF,6,1.88416175,-2.28606783,4.17022958,8.1903627,4.4137707e-4,2.86138444,5.47907472,0.00193665177,up
Tcon,SF_vs_PB_Tcon,WNT,6,-1.47536471,1.921432,-3.39679671,-7.80481796,5.53329076e-4,-4.51556002,-2.27803341,0.00193665177,down
Tcon,SF_vs_PB_Tcon,NFkB,6,2.89774826,-4.10036889,6.99811715,6.24874269,0.00153812321,4.11926076,9.87697354,0.00430674499,up
Tcon,SF_vs_PB_Tcon,JAK-STAT,6,3.19648283,-6.31101393,9.50749676,5.35350679,0.00305543957,4.9423025,14.072691,0.00712935899,up
Tcon,SF_vs_PB_Tcon,PI3K,6,1.19799777,-2.13324472,3.3312425,4.90464367,0.00445645514,1.58529885,5.07718615,0.00843450839,up
Tcon,SF_vs_PB_Tcon,Hypoxia,6,3.21357518,-4.22833889,7.44191407,4.8149665,0.00481971908,3.46887518,11.414953,0.00843450839,up
Tcon,SF_vs_PB_Tcon,Androgen,6,0.62497152,-0.598854404,1.22382592,2.8380366,0.0363300987,0.115332579,2.33231927,0.0565134868,up
Tcon,SF_vs_PB_Tcon,p53,6,0.799501776,-0.597675916,1.39717769,2.4956889,0.0547782724,-0.0419277983,2.83628318,0.0766895814,up
Tcon,SF_vs_PB_Tcon,Estrogen,6,-0.330030142,0.54164448,-0.871674622,-2.18890039,0.080207765,-1.89534429,0.151995051,0.10208261,down
Tcon,SF_vs_PB_Tcon,MAPK,6,0.496946462,-0.844568948,1.34151541,1.83749865,0.125550838,-0.535207132,3.21823795,0.146475978,up
Tcon,SF_vs_PB_Tcon,Trail,6,0.280929068,-0.303634767,0.584563835,1.13076127,0.309459037,-0.744336628,1.9134643,0.333263579,up
Tcon,SF_vs_PB_Tcon,TNFa,6,0.0406002268,0.315629041,-0.275028814,-0.774752416,0.473512777,-1.18755785,0.63750022,0.473512777,down
Treg,SF_vs_PB_Treg,EGFR,6,5.96920584,-4.94237679,10.9115826,15.6259,1.95077847e-5,9.11654259,12.7066227,2.73108986e-4,up
Treg,SF_vs_PB_Treg,TGFb,6,4.18524433,-3.68628241,7.87152674,11.997747,7.0959596e-5,6.18500979,9.55804368,4.96717172e-4,up
Treg,SF_vs_PB_Treg,NFkB,6,4.56504134,-3.69144378,8.25648512,9.55546831,2.12513533e-4,6.03535163,10.4776186,9.9172982e-4,up
Treg,SF_vs_PB_Treg,Hypoxia,6,4.05643992,-3.3604187,7.41685862,8.36670232,3.9926042e-4,5.13810633,9.69561091,0.00115045841,up
Treg,SF_vs_PB_Treg,VEGF,6,2.26446137,-1.86945851,4.13391987,8.31592826,4.10878005e-4,2.8560614,5.41177834,0.00115045841,up
Treg,SF_vs_PB_Treg,WNT,6,-1.92601743,1.61591996,-3.54193739,-6.77884076,0.00106230123,-4.88506378,-2.198811,0.00247870287,down
Treg,SF_vs_PB_Treg,PI3K,6,3.10605689,-2.38212447,5.48818136,3.93107099,0.011058418,1.89938346,9.07697926,0.022116836,up
Treg,SF_vs_PB_Treg,TNFa,6,-1.08331948,0.876643962,-1.95996345,-3.46322333,0.0179798591,-3.41474876,-0.505178134,0.0280230776,down
Treg,SF_vs_PB_Treg,JAK-STAT,6,5.19482794,-3.77881899,8.97364693,3.46141656,0.0180148356,2.30946958,15.6378243,0.0280230776,up
Treg,SF_vs_PB_Treg,Androgen,6,0.786760755,-0.841219099,1.62797985,3.26380501,0.0223512793,0.345778426,2.91018128,0.031291791,up
Treg,SF_vs_PB_Treg,Trail,6,-0.644061534,0.217495395,-0.861556929,-1.04114637,0.345509545,-2.9887339,1.26562004,0.439739421,down
Treg,SF_vs_PB_Treg,MAPK,6,1.01710241,-0.72975074,1.74685315,0.888278704,0.415073912,-3.30834963,6.80205592,0.484252898,up
Treg,SF_vs_PB_Treg,p53,6,0.263500851,0.0280215877,0.235479264,0.0492446574,0.96263092,-12.0565896,12.5275481,0.986121893,up
Treg,SF_vs_PB_Treg,Estrogen,6,-0.152233326,-0.168922485,0.0166891584,0.0182808093,0.986121893,-2.33008044,2.36345876,0.986121893,up
