pathway_id,pathway_name,database,population,contrast,nes,enrichment_score,pvalue,padj,set_size,leading_edge_size,core_enrichment,direction,is_pooled_alias
REACTOME_STABILIZATION_OF_P53,REACTOME_STABILIZATION_OF_P53,Reactome,CD8,SF_vs_PB_CD8,1.09703338,0.321472757,0.314823781,0.574859526,42,15,CDKN2A/PSMD8/PSMA7/PSMC1/PSMB6/PSMC3/ADRM1/PSMC2/PSMB3/PSMD14/PSMA6/PSMD1/PSMD7/PSMB1/PSMB7,up,FALSE
REACTOME_FRS_MEDIATED_FGFR1_SIGNALING,REACTOME_FRS_MEDIATED_FGFR1_SIGNALING,Reactome,CD8,SF_vs_PB_CD8,1.13353618,0.474282722,0.314877192,0.574859526,10,3,HRAS/KRAS/NRAS,up,FALSE
REACTOME_SIGNALING_BY_NUCLEAR_RECEPTORS,REACTOME_SIGNALING_BY_NUCLEAR_RECEPTORS,Reactome,CD8,SF_vs_PB_CD8,1.06201203,0.238512512,0.315065048,0.574859526,223,65,ABCG1/GNB4/CTSD/FABP5/JUN/HRAS/CBFB/USF2/NR5A2/GNG5/EEPD1/MAPK3/GNB1/TLE3/RXRA/KRAS/AKT3/TBL1X/FASN/AGO2/GNAI2/NR1H2/AKT1/NCOR2/NRAS/JUND/MAPK1/GNB5/POLR2K/GNAI3/GPS2/SP1/SMC3/RARA/APOC1/NCOA1/EP300/SRF/TBL1XR1/NCOR1/KAT2B/KPNA2/HIST1H2BM/GNG2/NCOA3/SMC1A/AGO1/ELK1/AGO4/CAV1/H3F3B/SRC/RDH10/RAD21/HIST1H2AJ/HIST1H3H/GNB2/PIK3CA/POLR2L/HIST1H4I/HIST1H3C/ZDHHC7/GNG4/PPP5C/POU2F1,up,FALSE
REACTOME_REGULATED_NECROSIS,REACTOME_REGULATED_NECROSIS,Reactome,CD8,SF_vs_PB_CD8,1.09242141,0.3064246,0.315140383,0.574859526,52,15,FASLG/RIPK3/FAS/CHMP2A/CASP3/HMGB1/GZMB/BAK1/TNFSF10/CHMP4A/CFLAR/TRAF2/CHMP3/BIRC3/MLKL,up,FALSE
REACTOME_O_LINKED_GLYCOSYLATION,REACTOME_O_LINKED_GLYCOSYLATION,Reactome,CD8,SF_vs_PB_CD8,-1.07476377,-0.269780545,0.315616467,0.575066973,64,18,CFP/POMT1/POMK/C1GALT1/GYLTL1B/FUT10/POMGNT2/B3GNT1/ADAMTS6/GCNT4/ST3GAL1/ADAMTS1/GALNT12/ST6GAL1/B3GNT8/ADAMTS10/FUT11/SPON2,down,FALSE
REACTOME_SOS_MEDIATED_SIGNALLING,REACTOME_SOS_MEDIATED_SIGNALLING,Reactome,CD8,SF_vs_PB_CD8,1.14321202,0.530195828,0.316061026,0.57521657,7,3,HRAS/KRAS/NRAS,up,FALSE
REACTOME_COBALAMIN_CBL_VITAMIN_B12_TRANSPORT_AND_METABOLISM,REACTOME_COBALAMIN_CBL_VITAMIN_B12_TRANSPORT_AND_METABOLISM,Reactome,CD8,SF_vs_PB_CD8,-1.11472769,-0.397131391,0.316436637,0.575240485,15,5,CD320/MMACHC/MTRR/MMAB/LDLRAP1,down,FALSE
REACTOME_BIOSYNTHESIS_OF_THE_N_GLYCAN_PRECURSOR_DOLICHOL_LIPID_LINKED_OLIGOSACCHARIDE_LLO_AND_TRANSFER_TO_A_NASCENT_PROTEIN,REACTOME_BIOSYNTHESIS_OF_THE_N_GLYCAN_PRECURSOR_DOLICHOL_LIPID_LINKED_OLIGOSACCHARIDE_LLO_AND_TRANSFER_TO_A_NASCENT_PROTEIN,Reactome,CD8,SF_vs_PB_CD8,1.0835224,0.28628236,0.31691693,0.575454425,72,15,NUDT14/FUOM/ST6GALNAC6/PMM1/TSTA3/ST8SIA4/ST6GALNAC3/DHDDS/NAGK/SLC35C1/ST8SIA1/MVD/CMAS/NEU1/SLC17A5,up,FALSE
REACTOME_WNT5A_DEPENDENT_INTERNALIZATION_OF_FZD4,REACTOME_WNT5A_DEPENDENT_INTERNALIZATION_OF_FZD4,Reactome,CD8,SF_vs_PB_CD8,1.12528044,0.446439861,0.31766487,0.575901852,12,6,AP2B1/CLTC/AP2A1/CLTB/AP2M1/CLTA,up,FALSE
REACTOME_BACTERIAL_INFECTION_PATHWAYS,REACTOME_BACTERIAL_INFECTION_PATHWAYS,Reactome,CD8,SF_vs_PB_CD8,1.08340382,0.287658125,0.317889113,0.575901852,70,13,ANTXR2/STX1A/CD9/EPS15/FN1/PGK1/MAPK3/MAP2K2/ENO1/CALM2/MAPK1/GSK3A/RNF213,up,FALSE
