population,sample_id,donor,tissue,n_cells,pathway_name,activity,pvalue,n_genes_scored
CD8,JIA_patient_7|peripheral_blood|CD8,JIA_patient_7,peripheral_blood,2861,p53,6.66985423,2.65666695e-11,14014
Tcon,JIA_patient_1|synovial_fluid|Tcon,JIA_patient_1,synovial_fluid,2851,Androgen,0.556256654,0.57804406,14411
Tcon,JIA_patient_1|peripheral_blood|Tcon,JIA_patient_1,peripheral_blood,2885,Androgen,-0.291443065,0.770716681,14411
Tcon,JIA_patient_2|synovial_fluid|Tcon,JIA_patient_2,synovial_fluid,2238,Androgen,-0.427595147,0.668952295,14411
Tcon,JIA_patient_2|peripheral_blood|Tcon,JIA_patient_2,peripheral_blood,2480,Androgen,-1.04250111,0.297196917,14411
Tcon,JIA_patient_3|synovial_fluid|Tcon,JIA_patient_3,synovial_fluid,1653,Androgen,-0.119678356,0.904739617,14411
Tcon,JIA_patient_4|synovial_fluid|Tcon,JIA_patient_4,synovial_fluid,2579,Androgen,1.71139744,0.08702931,14411
Tcon,JIA_patient_4|peripheral_blood|Tcon,JIA_patient_4,peripheral_blood,2222,Androgen,-1.07736559,0.281335024,14411
Tcon,JIA_patient_5|synovial_fluid|Tcon,JIA_patient_5,synovial_fluid,3074,Androgen,0.202216522,0.839750315,14411
Tcon,JIA_patient_5|peripheral_blood|Tcon,JIA_patient_5,peripheral_blood,3516,Androgen,0.420823925,0.673889942,14411
Tcon,JIA_patient_6|synovial_fluid|Tcon,JIA_patient_6,synovial_fluid,4454,Androgen,0.0421168867,0.966406103,14411
Tcon,JIA_patient_6|peripheral_blood|Tcon,JIA_patient_6,peripheral_blood,4276,Androgen,-1.32600863,0.184857876,14411
Tcon,JIA_patient_7|synovial_fluid|Tcon,JIA_patient_7,synovial_fluid,2653,Androgen,1.66543676,0.095847409,14411
Tcon,JIA_patient_7|peripheral_blood|Tcon,JIA_patient_7,peripheral_blood,3032,Androgen,-0.276631955,0.782066697,14411
Tcon,JIA_patient_1|synovial_fluid|Tcon,JIA_patient_1,synovial_fluid,2851,EGFR,3.15798774,0.00159190362,14411
Tcon,JIA_patient_1|peripheral_blood|Tcon,JIA_patient_1,peripheral_blood,2885,EGFR,-4.55741628,5.22127419e-6,14411
Tcon,JIA_patient_2|synovial_fluid|Tcon,JIA_patient_2,synovial_fluid,2238,EGFR,3.33879646,8.43556887e-4,14411
Tcon,JIA_patient_2|peripheral_blood|Tcon,JIA_patient_2,peripheral_blood,2480,EGFR,-5.42172384,5.99785289e-8,14411
Tcon,JIA_patient_3|synovial_fluid|Tcon,JIA_patient_3,synovial_fluid,1653,EGFR,1.29505628,0.195321584,14411
Tcon,JIA_patient_4|synovial_fluid|Tcon,JIA_patient_4,synovial_fluid,2579,EGFR,2.68541216,0.00725234445,14411
Tcon,JIA_patient_4|peripheral_blood|Tcon,JIA_patient_4,peripheral_blood,2222,EGFR,-4.87185942,1.11729033e-6,14411
Tcon,JIA_patient_5|synovial_fluid|Tcon,JIA_patient_5,synovial_fluid,3074,EGFR,5.72697102,1.04281692e-8,14411
Tcon,JIA_patient_5|peripheral_blood|Tcon,JIA_patient_5,peripheral_blood,3516,EGFR,-6.83658079,8.4370056e-12,14411
Tcon,JIA_patient_6|synovial_fluid|Tcon,JIA_patient_6,synovial_fluid,4454,EGFR,5.62272136,1.91466053e-8,14411
Tcon,JIA_patient_6|peripheral_blood|Tcon,JIA_patient_6,peripheral_blood,4276,EGFR,-8.66618754,4.9392211499999995e-18,14411
Tcon,JIA_patient_7|synovial_fluid|Tcon,JIA_patient_7,synovial_fluid,2653,EGFR,6.43898618,1.24088068e-10,14411
