reference_symbol,matrix_symbol,entrez_id,n_aliases_in_vocabulary,resolution
CFAP100,CCDC37,348807,1,accepted
CFAP119,C16orf93,90835,1,accepted
CFAP126,C1orf192,257177,1,accepted
CFAP141,C1orf189,388701,1,accepted
CFAP144P1,FAM183B,340286,1,accepted
CFAP157,C9orf117,286207,1,accepted
CFAP161,C15orf26,161502,1,accepted
CFAP184,CCDC96,257236,1,accepted
CFAP20,C16orf80,29105,1,accepted
CFAP206,C6orf165,154313,1,accepted
CFAP210,CCDC173,129881,1,accepted
CFAP221,PCDP1,200373,1,accepted
CFAP251,WDR66,144406,1,accepted
CFAP263,CCDC113,29070,1,accepted
CFAP276,C1orf194,127003,1,accepted
CFAP298,C21orf59,56683,1,accepted
CFAP36,CCDC104,112942,1,accepted
CFAP410,C21orf2,755,1,accepted
CFAP418,C8orf37,157657,1,accepted
CFAP43,WDR96,80217,1,accepted
CFAP44,WDR52,55779,1,accepted
CFAP45,CCDC19,25790,1,accepted
CFAP46,TTC40,54777,1,accepted
CFAP53,CCDC11,220136,1,accepted
CFAP54,C12orf55,144535,1,accepted
CFAP57,WDR65,149465,1,accepted
CFAP58,CCDC147,159686,1,accepted
CFAP61,C20orf26,26074,1,accepted
CFAP68,C11orf1,64776,1,accepted
CFAP69,C7orf63,79846,1,accepted
CFAP70,TTC18,118491,1,accepted
CFAP74,C1orf222,85452,1,accepted
CFAP77,C9orf171,389799,1,accepted
CFAP90,C5orf49,134121,1,accepted
CFAP91,MAATS1,89876,1,accepted
CFAP95,C9orf135,138255,1,accepted
CFAP96,C4orf47,441054,1,accepted
CGAS,MB21D1,115004,1,accepted
CHLSN,C7orf50,84310,1,accepted
CIAO2A,FAM96A,84191,1,accepted
CIAO2B,FAM96B,51647,1,accepted
CIAO3,NARFL,64428,1,accepted
CIART,C1orf51,148523,1,accepted
CIBAR1,FAM92A1,137392,1,accepted
CILK1,ICK,22858,1,accepted
CIMAP1A,ODF3,113746,1,accepted
CIMAP1B,ODF3B,440836,1,accepted
CIMAP3,PIFO,128344,1,accepted
CIMIP2A,FAM166A,401565,1,accepted
CIMIP2B,FAM166B,730112,1,accepted
CIMIP5,C2orf50,130813,1,accepted
CIP2A,KIAA1524,57650,1,accepted
CIROZ,C1orf127,148345,1,accepted
CLBA1,C14orf79,122616,1,accepted
CLTRN,TMEM27,57393,1,accepted
CNOT9,RQCD1,9125,1,accepted
COA8,APOPT1,84334,1,accepted
COP1,RFWD2,64326,1,accepted
COPS9,MYEOV2,150678,1,accepted
COQ8A,ADCK3,56997,1,accepted
COQ8B,ADCK4,79934,1,accepted
CPAP,CENPJ,55835,1,accepted
CPLANE1,C5orf42,65250,1,accepted
CPLANE2,RSG1,79363,1,accepted
CPTP,GLTPD1,80772,1,accepted
CRACD,KIAA1211,57482,1,accepted
CRACR2A,EFCAB4B,84766,1,accepted
CRACR2B,EFCAB4A,283229,1,accepted
CRPPA,ISPD,729920,1,accepted
CRYBG1,AIM1,202,1,accepted
CRYBG2,AIM1L,55057,1,accepted
CSKMT,METTL12,751071,1,accepted
CSTPP1,C11orf49,79096,1,accepted
CTBP1-DT,CTBP1-AS2,92070,1,accepted
CXCL8,IL8,3576,1,accepted
CYBC1,C17orf62,79415,1,accepted
CYREN,C7orf49,78996,1,accepted
CYRIA,FAM49A,81553,1,accepted
CYRIB,FAM49B,51571,1,accepted
CYSRT1,C9orf169,375791,1,accepted
DARS1,DARS,1615,1,accepted
DCAF1,VPRBP,9730,1,accepted
DDIAS,C11orf82,220042,1,accepted
DEFB131A,DEFB131,644414,1,accepted
DELE1,KIAA0141,9812,1,accepted
DELEC1,DEC1,50514,1,accepted
DENND10,FAM45A,404636,1,accepted
DENND11,KIAA1147,57189,1,accepted
DENND2B,ST5,6764,1,accepted
DEPP1,C10orf10,11067,1,accepted
DGLUCY,C14orf159,80017,1,accepted
DHFR2,DHFRL1,200895,1,accepted
DIPK1A,FAM69A,388650,1,accepted
DIPK1B,FAM69B,138311,1,accepted
DIPK2A,C3orf58,205428,1,accepted
DISP3,PTCHD2,57540,1,accepted
DLX5,SHFM1,1749,1,accepted
DMAC1,TMEM261,90871,1,accepted
DMAC2,ATP5SL,55101,1,accepted
DMAC2L,ATP5S,27109,1,accepted
DNAAF10,WDR92,116143,1,accepted
DNAAF11,LRRC6,23639,1,accepted
DNAAF19,CCDC103,388389,1,accepted
DNAAF4,DYX1C1,161582,1,accepted
DNAAF5,HEATR2,54919,1,accepted
DNAAF8,C16orf71,146562,1,accepted
DNAI3,WDR63,126820,1,accepted
DNAI4,WDR78,79819,1,accepted
DNAI7,CASC1,55259,1,accepted
DOP1A,DOPEY1,23033,1,accepted
DOP1B,DOPEY2,9980,1,accepted
DORIP1,C14orf28,122525,1,accepted
DRC3,LRRC48,83450,1,accepted
DYNC2I1,WDR60,55112,1,accepted
DYNC2I2,WDR34,89891,1,accepted
DYNLT2,TCTE3,6991,1,accepted
DYNLT2B,TCTEX1D2,255758,1,accepted
DYNLT4,TCTEX1D4,343521,1,accepted
DYNLT5,TCTEX1D1,200132,1,accepted
ECPAS,KIAA0368,23392,1,accepted
ECRG4,C2orf40,84417,1,accepted
EEF1AKMT1,N6AMT2,221143,1,accepted
EEF1AKMT2,METTL10,399818,1,accepted
EEF1AKMT3,METTL21B,25895,1,accepted
EEF2KMT,FAM86A,196483,1,accepted
EEIG1,FAM102A,399665,1,accepted
EFL1,EFTUD1,79631,1,accepted
EIF2S3B,EIF2S3L,255308,1,accepted
EIPR1,TSSC1,7260,1,accepted
ELAPOR1,KIAA1324,57535,1,accepted
ELAPOR2,KIAA1324L,222223,1,accepted
ELOA,TCEB3,6924,1,accepted
ELOB,TCEB2,6923,1,accepted
ELOC,TCEB1,6921,1,accepted
ELP1,IKBKAP,8518,1,accepted
EMSY,C11orf30,56946,1,accepted
ENTR1,SDCCAG3,10807,1,accepted
ENTREP1,FAM189A2,9413,1,accepted
ENTREP2,FAM189A1,23359,1,accepted
ENTREP3,FAM189B,10712,1,accepted
EOLA1,CXorf40A,91966,1,accepted
EOLA2,CXorf40B,541578,1,accepted
EP400P1,EP400NL,347918,1,accepted
EPCIP,C21orf62,56245,1,accepted
EPOP,C17orf96,100170841,1,accepted
ERBIN,ERBB2IP,55914,1,accepted
ERFE,FAM132B,151176,1,accepted
ERG28,C14orf1,11161,1,accepted
ERICH3,C1orf173,127254,1,accepted
ERICH5,C8orf47,203111,1,accepted
ERO1A,ERO1L,30001,1,accepted
ERO1B,ERO1LB,56605,1,accepted
ESS2,DGCR14,8220,1,accepted
ETFBKMT,METTL20,254013,1,accepted
ETFRF1,LYRM5,144363,1,accepted
EZHIP,CXorf67,340602,1,accepted
FAAP100,C17orf70,80233,1,accepted
FAAP20,C1orf86,199990,1,accepted
FAAP24,C19orf40,91442,1,accepted
FAM234A,ITFG3,83986,1,accepted
FAM234B,KIAA1467,57613,1,accepted
FAM241A,C4orf32,132720,1,accepted
FAM86C1P,FAM86C1,55199,1,accepted
FBH1,FBXO18,84893,1,accepted
FCMR,FAIM3,9214,1,accepted
FCSK,FUK,197258,1,accepted
FDX2,FDX1L,112812,1,accepted
FERRY3,C12orf4,57102,1,accepted
FHIP1A,FAM160A1,729830,1,accepted
FHIP1B,FAM160A2,84067,1,accepted
FHIP2A,FAM160B1,57700,1,accepted
FIRRM,C1orf112,55732,1,accepted
FLACC1,ALS2CR12,130540,1,accepted
FMC1,C7orf55,154791,1,accepted
FNDC10,C1orf233,643988,1,accepted
FREY1,C11orf94,143678,1,accepted
FSAF1,C1orf131,128061,1,accepted
FYB1,FYB,2533,1,accepted
G6PC1,G6PC,2538,1,accepted
GADL1,ADC,339896,1,accepted
GAREM1,GAREM,64762,1,accepted
GAREM2,GAREML,150946,1,accepted
GARIN1A,FAM71F2,346653,1,accepted
GARIN2,FAM71D,161142,1,accepted
GARIN3,FAM71B,153745,1,accepted
GARIN5A,FAM71E1,112703,1,accepted
GARRE1,KIAA0355,9710,1,accepted
GASK1A,FAM198A,729085,1,accepted
GASK1B,FAM198B,51313,1,accepted
GATB,PET112,5188,1,accepted
GATD1,PDDC1,347862,1,accepted
GBA1,GBA,2629,1,accepted
GCN1,GCN1L1,10985,1,accepted
GCNA,ACRC,93953,1,accepted
GDF5-AS1,GDF5OS,554250,1,accepted
GET3,ASNA1,439,1,accepted
GFUS,TSTA3,7264,1,accepted
GGT2P,GGT2,728441,1,accepted
GLMP,C1orf85,112770,1,accepted
GNG5B,GNG5P2,347687,1,accepted
GOLGA8IP,GOLGA8I,283796,1,accepted
GOLM2,CASC4,113201,1,accepted
GON7,C14orf142,84520,1,accepted
GPAT3,AGPAT9,84803,1,accepted
GPAT4,AGPAT6,137964,1,accepted
GPRASP3,BHLHB9,80823,1,accepted
GRAMD2B,GRAMD3,65983,1,accepted
GRK2,ADRBK1,156,1,accepted
GRK3,ADRBK2,157,1,accepted
GSDME,DFNA5,1687,1,accepted
GUCY1A1,GUCY1A3,2982,1,accepted
GUCY1B1,GUCY1B3,2983,1,accepted
H1-0,H1F0,3005,1,accepted
H1-1,HIST1H1A,3024,1,accepted
H1-10,H1FX,8971,1,accepted
H1-2,HIST1H1C,3006,1,accepted
H1-3,HIST1H1D,3007,1,accepted
H1-4,HIST1H1E,3008,1,accepted
H1-5,HIST1H1B,3009,1,accepted
H1-7,H1FNT,341567,1,accepted
H2AB1,H2AFB1,474382,1,accepted
H2AC11,HIST1H2AG,8969,1,accepted
H2AC12,HIST1H2AH,85235,1,accepted
H2AC13,HIST1H2AI,8329,1,accepted
H2AC14,HIST1H2AJ,8331,1,accepted
H2AC15,HIST1H2AK,8330,1,accepted
H2AC16,HIST1H2AL,8332,1,accepted
H2AC17,HIST1H2AM,8336,1,accepted
H2AC18,HIST2H2AA3,8337,1,accepted
H2AC20,HIST2H2AC,8338,1,accepted
H2AC21,HIST2H2AB,317772,1,accepted
H2AC25,HIST3H2A,92815,1,accepted
H2AC4,HIST1H2AB,8335,1,accepted
H2AC6,HIST1H2AC,8334,1,accepted
H2AC7,HIST1H2AD,3013,1,accepted
H2AC8,HIST1H2AE,3012,1,accepted
H2AJ,H2AFJ,55766,1,accepted
H2AX,H2AFX,3014,1,accepted
H2AZ1,H2AFZ,3015,1,accepted
H2AZ2,H2AFV,94239,1,accepted
H2BC10,HIST1H2BI,8346,1,accepted
H2BC11,HIST1H2BJ,8970,1,accepted
H2BC12,HIST1H2BK,85236,1,accepted
H2BC13,HIST1H2BL,8340,1,accepted
H2BC14,HIST1H2BM,8342,1,accepted
H2BC15,HIST1H2BN,8341,1,accepted
H2BC17,HIST1H2BO,8348,1,accepted
H2BC18,HIST2H2BF,440689,1,accepted
H2BC21,HIST2H2BE,8349,1,accepted
H2BC26,HIST3H2BB,128312,1,accepted
H2BC3,HIST1H2BB,3018,1,accepted
H2BC4,HIST1H2BC,8347,1,accepted
H2BC6,HIST1H2BE,8344,1,accepted
H2BC7,HIST1H2BF,8343,1,accepted
H2BC8,HIST1H2BG,8339,1,accepted
H2BC9,HIST1H2BH,8345,1,accepted
H2BW2,H2BFM,286436,1,accepted
H3-3A,H3F3A,3020,1,accepted
H3-3B,H3F3B,3021,1,accepted
H3-5,H3F3C,440093,1,accepted
H3-7,HIST2H3PS2,440686,1,accepted
H3C1,HIST1H3A,8350,1,accepted
H3C10,HIST1H3H,8357,1,accepted
H3C11,HIST1H3I,8354,1,accepted
H3C12,HIST1H3J,8356,1,accepted
H3C13,HIST2H3D,653604,1,accepted
H3C2,HIST1H3B,8358,1,accepted
H3C3,HIST1H3C,8352,1,accepted
H3C4,HIST1H3D,8351,1,accepted
H3C6,HIST1H3E,8353,1,accepted
H3C7,HIST1H3F,8968,1,accepted
H3C8,HIST1H3G,8355,1,accepted
H4C1,HIST1H4A,8359,1,accepted
H4C11,HIST1H4J,8363,1,accepted
H4C12,HIST1H4K,8362,1,accepted
H4C13,HIST1H4L,8368,1,accepted
H4C14,HIST2H4A,8370,1,accepted
H4C16,HIST4H4,121504,1,accepted
H4C2,HIST1H4B,8366,1,accepted
H4C3,HIST1H4C,8364,1,accepted
H4C4,HIST1H4D,8360,1,accepted
H4C5,HIST1H4E,8367,1,accepted
H4C6,HIST1H4F,8361,1,accepted
H4C8,HIST1H4H,8365,1,accepted
H4C9,HIST1H4I,8294,1,accepted
HACD1,PTPLA,9200,1,accepted
HACD2,PTPLB,201562,1,accepted
HACD3,PTPLAD1,51495,1,accepted
HACD4,PTPLAD2,401494,1,accepted
HAPSTR1,C16orf72,29035,1,accepted
HARS1,HARS,3035,1,accepted
HASPIN,GSG2,83903,1,accepted
HDGFL2,HDGFRP2,84717,1,accepted
HDGFL3,HDGFRP3,50810,1,accepted
HDHD5,CECR5,27440,1,accepted
HEATR9,C17orf66,256957,1,accepted
HEMK2,N6AMT1,29104,1,accepted
HEXD,HEXDC,284004,1,accepted
HIKESHI,C11orf73,51501,1,accepted
HOATZ,C11orf88,399949,1,accepted
HPF1,C4orf27,54969,1,accepted
HROB,C17orf53,78995,1,accepted
HYCC1,FAM126A,84668,1,accepted
HYCC2,FAM126B,285172,1,accepted
IARS1,IARS,3376,1,accepted
ICE1,KIAA0947,23379,1,accepted
ICE2,NARG2,79664,1,accepted
IFT22,RABL5,64792,1,accepted
IFT25,HSPB11,51668,1,accepted
IFT56,TTC26,79989,1,accepted
IFT70B,TTC30B,150737,1,accepted
IFTAP,C11orf74,119710,1,accepted
IHO1,CCDC36,339834,1,accepted
ILRUN,C6orf106,64771,1,accepted
INAVA,C1orf106,55765,1,accepted
INKA1,FAM212A,389119,1,accepted
INKA2,FAM212B,55924,1,accepted
INTS11,CPSF3L,54973,1,accepted
INTS13,ASUN,55726,1,accepted
INTS14,VWA9,81556,1,accepted
INTS15,C7orf26,79034,1,accepted
INTS6L,DDX26B,203522,1,accepted
IQCN,KIAA1683,80726,1,accepted
IRAG1,MRVI1,10335,1,accepted
IRAG2,LRMP,4033,1,accepted
ITPRID2,SSFA2,6744,1,accepted
JAML,AMICA1,120425,1,accepted
JCAD,KIAA1462,57608,1,accepted
JCHAIN,IGJ,3512,1,accepted
JHY,C11orf63,79864,1,accepted
JPT1,HN1,51155,1,accepted
JPT2,HN1L,90861,1,accepted
KARS1,KARS,3735,1,accepted
KASH5,CCDC155,147872,1,accepted
KAT14,CSRP2BP,57325,1,accepted
KATNIP,KIAA0556,23247,1,accepted
KCNE5,KCNE1L,23630,1,accepted
KDF1,C1orf172,126695,1,accepted
KGD4,MRPS36,92259,1,accepted
KHDC4,KIAA0907,22889,1,accepted
KICS2,C12orf66,144577,1,accepted
KIFBP,KIAA1279,26128,1,accepted
KMT5A,SETD8,387893,1,accepted
KMT5B,SUV420H1,51111,1,accepted
KMT5C,SUV420H2,84787,1,accepted
KNL1,CASC5,57082,1,accepted
KYAT1,CCBL1,883,1,accepted
KYAT3,CCBL2,56267,1,accepted
LARGE1,LARGE,9215,1,accepted
LARGE2,GYLTL1B,120071,1,accepted
LARS1,LARS,51520,1,accepted
LBHD1,C11orf48,79081,1,accepted
LDAF1,TMEM159,57146,1,accepted
LDAH,C2orf43,60526,1,accepted
LHFPL6,LHFP,10186,1,accepted
LIAT1,C17orf97,400566,1,accepted
LINS1,LINS,55180,1,accepted
LMNTD1,IFLTD1,160492,1,accepted
LMNTD2,C11orf35,256329,1,accepted
LORICRIN,LOR,4014,1,accepted
LRMDA,C10orf11,83938,1,accepted
LRRC75A,FAM211A,388341,1,accepted
LTO1,ORAOV1,220064,1,accepted
LVRN,AQPEP,206338,1,accepted
LYSET,TMEM251,26175,1,accepted
MACIR,C5orf30,90355,1,accepted
MACO1,TMEM57,55219,1,accepted
MACROH2A1,H2AFY,9555,1,accepted
MACROH2A2,H2AFY2,55506,1,accepted
MAIP1,C2orf47,79568,1,accepted
MAJIN,C11orf85,283129,1,accepted
MAP3K20,MLTK,51776,1,accepted
MAP3K21,MLK4,84451,1,accepted
MAPDA,ADAL,161823,1,accepted
MARCHF1,MARCH1,55016,1,accepted
MARCHF10,MARCH10,162333,1,accepted
MARCHF2,MARCH2,51257,1,accepted
MARCHF3,MARCH3,115123,1,accepted
MARCHF5,MARCH5,54708,1,accepted
MARCHF6,MARCH6,10299,1,accepted
MARCHF7,MARCH7,64844,1,accepted
MARCHF8,MARCH8,220972,1,accepted
MARCHF9,MARCH9,92979,1,accepted
MARF1,KIAA0430,9665,1,accepted
MARS1,MARS,4141,1,accepted
MATCAP1,KIAA0895L,653319,1,accepted
MATCAP2,KIAA0895,23366,1,accepted
MCEMP1,C19orf59,199675,1,accepted
MCRIP1,FAM195B,348262,1,accepted
MCRIP2,FAM195A,84331,1,accepted
MCUB,CCDC109B,55013,1,accepted
MEAK7,TLDC1,57707,1,accepted
MEIOC,C17orf104,284071,1,accepted
MELTF-AS1,MFI2-AS1,100507057,1,accepted
MESD,MESDC2,23184,1,accepted
METTL25B,RRNAD1,51093,1,accepted
METTL27,WBSCR27,155368,1,accepted
MICOS10,MINOS1,440574,1,accepted
MICOS13,C19orf70,125988,1,accepted
MIDEAS,ELMSAN1,91748,1,accepted
MIGA1,FAM73A,374986,1,accepted
MIGA2,FAM73B,84895,1,accepted
MINAR1,KIAA1024,23251,1,accepted
MINAR2,KIAA1024L,100127206,1,accepted
MINDY1,FAM63A,55793,1,accepted
MINDY2,FAM63B,54629,1,accepted
MINDY3,FAM188A,80013,1,accepted
MIR1915HG,CASC10,399726,1,accepted
MIR335,hsa-mir-335,442904,1,accepted
MIR490,hsa-mir-490,574443,1,accepted
MIR9-1HG,C1orf61,10485,1,accepted
MIR9-2HG,LINC00461,645323,1,accepted
MIX23,CCDC58,131076,1,accepted
MMUT,MUT,4594,1,accepted
MOSMO,C16orf52,730094,1,accepted
MPIG6B,C6orf25,80739,1,accepted
MRE11,MRE11A,4361,1,accepted
MRLN,LINC00948,100507027,1,accepted
MRM2,FTSJ2,29960,1,accepted
MRM3,RNMTL1,55178,1,accepted
MRNIP,C5orf45,51149,1,accepted
MRPL57,MRP63,78988,1,accepted
MRPL58,ICT1,3396,1,accepted
MRTFB,MKL2,57496,1,accepted
MTARC1,MARC1,64757,1,accepted
MTCL1,SOGA2,23255,1,accepted
MTCL2,SOGA1,140710,1,accepted
MTCL3,SOGA3,387104,1,accepted
MTERF1,MTERF,7978,1,accepted
MTERF2,MTERFD3,80298,1,accepted
MTERF3,MTERFD1,51001,1,accepted
MTERF4,MTERFD2,130916,1,accepted
MTLN,LINC00116,205251,1,accepted
MTNAP1,C17orf80,55028,1,accepted
MTRES1,C6orf203,51250,1,accepted
MTREX,SKIV2L2,23517,1,accepted
MTRFR,C12orf65,91574,1,accepted
MTSS2,MTSS1L,92154,1,accepted
MYG1,C12orf10,60314,1,accepted
MYL11,MYLPF,29895,1,accepted
MYORG,KIAA1161,57462,1,accepted
NAA80,NAT6,24142,1,accepted
NALF2,FAM155B,27112,1,accepted
NAP1L6P,NAP1L6,645996,1,accepted
NAPRT,NAPRT1,93100,1,accepted
NARS1,NARS,4677,1,accepted
NAXD,CARKD,55739,1,accepted
NAXE,APOA1BP,128240,1,accepted
NCBP2AS2,NCBP2-AS2,152217,1,accepted
NCBP3,C17orf85,55421,1,accepted
NDUFAF8,C17orf89,284184,1,accepted
NECTIN1,PVRL1,5818,1,accepted
NECTIN2,PVRL2,5819,1,accepted
NEMP1,TMEM194A,23306,1,accepted
NEMP2,TMEM194B,100131211,1,accepted
NEXMIF,KIAA2022,340533,1,accepted
NHERF1,SLC9A3R1,9368,1,accepted
NHERF2,SLC9A3R2,9351,1,accepted
NHERF4,PDZD3,79849,1,accepted
NIBAN1,FAM129A,116496,1,accepted
NIBAN2,FAM129B,64855,1,accepted
NICOL1,C4orf48,401115,1,accepted
NIPSNAP2,GBAS,2631,1,accepted
NOCT,CCRN4L,25819,1,accepted
NOP53,GLTSCR2,29997,1,accepted
NOPCHAP1,C12orf45,121053,1,accepted
NORAD,LINC00657,647979,1,accepted
NOTCH2NLA,NOTCH2NL,388677,1,accepted
NOTCH2NLB,NOTCH2NL,100996763,1,accepted
NOTCH2NLC,NOTCH2NL,100996717,1,accepted
NRDC,NRD1,4898,1,accepted
NSD2,WHSC1,7468,1,accepted
NSD3,WHSC1L1,54904,1,accepted
NSMCE3,NDNL2,56160,1,accepted
NTAQ1,WDYHV1,55093,1,accepted
NUP42,NUPL2,11097,1,accepted
NUP58,NUPL1,9818,1,accepted
NUPR2,NUPR1L,389493,1,accepted
OBI1,RNF219,79596,1,accepted
ODAD1,CCDC114,93233,1,accepted
ODAD2,ARMC4,55130,1,accepted
ODAD3,CCDC151,115948,1,accepted
ODAPH,C4orf26,152816,1,accepted
OGA,MGEA5,10724,1,accepted
OTULIN,FAM105B,90268,1,accepted
OTULINL,FAM105A,54491,1,accepted
P3H1,LEPRE1,64175,1,accepted
P3H2,LEPREL1,55214,1,accepted
P3H4,LEPREL4,10609,1,accepted
PABIR1,FAM122A,116224,1,accepted
PABIR2,FAM122B,159090,1,accepted
PABIR3,FAM122C,159091,1,accepted
PACC1,TMEM206,55248,1,accepted
PALS1,MPP5,64398,1,accepted
PALS2,MPP6,51678,1,accepted
