donor,tissue,coarse_label,WT_heat_up,WT_heat_down,WT_heat_updown,score_eTreg,score_HSP,HALLMARK_HYPOXIA,HALLMARK_UNFOLDED_PROTEIN_RESPONSE,n_cells
JIA_patient_7,peripheral_blood,Tcon,-0.05936212663856997,-0.04226318205598802,-0.01709894458258194,-0.05633173374960469,0.028406511219763456,0.06687401055408972,0.09207492463922029,3032
JIA_patient_7,synovial_fluid,Tcon,-0.04860470080539179,-0.03409392560515705,-0.01451077520023474,0.018132464165145287,-0.002653986608328772,0.08886325655981123,0.08526913008639106,2653
JIA_patient_1,peripheral_blood,CD8,-0.057913433512635844,-0.014146856628514634,-0.04376657688412121,0.013559378572602731,0.05633777818140276,0.0815857985479914,0.09249169120917136,2547
JIA_patient_1,synovial_fluid,CD8,-0.0501764754893736,0.012517343838478615,-0.06269381932785223,0.09278427025482965,-0.038524944483725745,0.08693680195623363,0.08211819000573078,2787
JIA_patient_2,peripheral_blood,CD8,-0.054991671485456264,-0.04077807853799283,-0.014213592947463426,-0.00617802904869013,-0.020072952887215507,0.0744300090748267,0.09139363383775692,1637
JIA_patient_2,synovial_fluid,CD8,-0.040338187041989215,0.00632004697700668,-0.046658234018995916,0.09829824046005704,-0.045091682884044054,0.07448349818867324,0.07499030537290148,2545
JIA_patient_3,synovial_fluid,CD8,-0.039969871788104655,0.015163377128393898,-0.05513324891649857,0.11643906605766648,-0.01490654275356666,0.09066700956859672,0.08100826628159082,2478
JIA_patient_4,peripheral_blood,CD8,-0.053562763048115254,-0.031810669774231595,-0.02175209327388366,0.0007537352802699521,0.032601325404611387,0.07347942520663389,0.09003457634680448,2675
JIA_patient_4,synovial_fluid,CD8,-0.039456704266737946,0.0050380172784168726,-0.04449472154515483,0.0775462429243215,0.0002048817427298235,0.09205861669046266,0.07782460130716856,2502
JIA_patient_5,peripheral_blood,CD8,-0.05212142994782056,-0.027455439478408353,-0.024665990469412206,0.00931488394495737,0.005335895554422223,0.06445820556124968,0.0902381091612653,2786
JIA_patient_5,synovial_fluid,CD8,-0.03921637899563022,0.013847497173160557,-0.0530638761687908,0.08881798971128722,0.0027335047267788406,0.07924460821123587,0.08064472298205518,2648
JIA_patient_6,peripheral_blood,CD8,-0.05041568267216095,-0.0250852120004783,-0.02533047067168265,-0.009413282767958707,-0.027599981153301714,0.058045376857313945,0.08146649791585554,3311
JIA_patient_6,synovial_fluid,CD8,-0.034724614673294914,0.01869604346858812,-0.05342065814188306,0.09318678604312317,-0.015235282667252714,0.07427795431644366,0.07676961936587601,3287
JIA_patient_7,peripheral_blood,CD8,-0.052346747139274896,-0.03774527710937206,-0.014601470029902832,-0.008473856547341813,-0.003948569931121712,0.06864030322070985,0.09421244587086311,2861
JIA_patient_7,synovial_fluid,CD8,-0.04523900800016495,-0.010914210280590768,-0.03432479771957419,0.07236457432822159,-0.029235231408871496,0.08557227943991515,0.07994478164452802,2763
