coarse_label,tissue,readout,n_cells,mean,sd,median,frac_above_p90,mean_pct_counts_mt,sf_minus_pb_mean,sf_minus_pb_smd,global_p90
Tcon,peripheral_blood,HALLMARK_HYPOXIA,18411,0.06694070081878042,0.016015989617403432,0.0670462427745665,0.011026017055021455,7.061673383474881,0.022431906288953612,1.3705122655087913,0.104757225433526
Tcon,synovial_fluid,HALLMARK_HYPOXIA,19502,0.08937260710773404,0.016692618797712614,0.0894219653179191,0.17234129832837658,6.832735480136849,0.022431906288953612,1.3705122655087913,0.104757225433526
Tcon,peripheral_blood,HALLMARK_UNFOLDED_PROTEIN_RESPONSE,18411,0.08839185034861838,0.01975283915609435,0.0888853775513998,0.14312096029547552,7.061673383474881,-0.004149577554536266,-0.21813584777266667,0.108822545265271
Tcon,synovial_fluid,HALLMARK_UNFOLDED_PROTEIN_RESPONSE,19502,0.08424227279408211,0.018307120652678657,0.08415901401643305,0.08840118962157728,6.832735480136849,-0.004149577554536266,-0.21813584777266667,0.108822545265271
Tcon,peripheral_blood,WT_heat_updown,18411,-0.016616792096699244,0.034292281987073445,-0.0151614670850028,0.1248166856770409,7.061673383474881,0.0019428091871129885,0.04871145354375333,0.021367291243110594
Tcon,synovial_fluid,WT_heat_updown,19502,-0.014673982909586256,0.04452310073882593,-0.011496347421553699,0.2044918469900523,6.832735480136849,0.0019428091871129885,0.04871145354375333,0.021367291243110594
Tcon,peripheral_blood,score_HSP,18411,0.04136581926229317,0.14788984804313876,0.03701266723950519,0.11134647764923143,7.061673383474881,-0.020609846924492657,-0.12212559931490644,0.22466935859563977
Tcon,synovial_fluid,score_HSP,19502,0.020755972337800514,0.18632867819048887,0.008326860528610952,0.09383652958670906,6.832735480136849,-0.020609846924492657,-0.12212559931490644,0.22466935859563977
Tcon,peripheral_blood,score_eTreg,18411,-0.05979642425015284,0.032200477523783404,-0.06458371559961452,0.0,7.061673383474881,0.10085279647794101,2.0385148054193425,0.13854253773239697
Tcon,synovial_fluid,score_eTreg,19502,0.04105637222778817,0.061477550578136544,0.03546678474043116,0.07153112501281919,6.832735480136849,0.10085279647794101,2.0385148054193425,0.13854253773239697
CD8,peripheral_blood,HALLMARK_HYPOXIA,15817,0.06918803358207183,0.016905665778360533,0.0687052023121387,0.024404122147056964,7.002975354742113,0.013783268105813762,0.8258779468935251,0.104757225433526
CD8,synovial_fluid,HALLMARK_HYPOXIA,19010,0.08297130168788559,0.01650698933991287,0.08273699421965319,0.09305628616517622,6.687217327162647,0.013783268105813762,0.8258779468935251,0.104757225433526
CD8,peripheral_blood,HALLMARK_UNFOLDED_PROTEIN_RESPONSE,15817,0.0895688791925834,0.020092818950149544,0.0894151764137264,0.1642536511348549,7.002975354742113,-0.01056068581897629,-0.5594494793945499,0.108822545265271
CD8,synovial_fluid,HALLMARK_UNFOLDED_PROTEIN_RESPONSE,19010,0.07900819337360711,0.017802086856386238,0.0788377886009592,0.04802735402419779,6.687217327162647,-0.01056068581897629,-0.5594494793945499,0.108822545265271
CD8,peripheral_blood,WT_heat_updown,15817,-0.02448576949382113,0.039967700897388034,-0.0227933218601872,0.1182904469874186,7.002975354742113,-0.02561234348211999,-0.5964843808902733,0.021367291243110594
CD8,synovial_fluid,WT_heat_updown,19010,-0.05009811297594112,0.04526249590481525,-0.0503021786504299,0.0563387690689111,6.687217327162647,-0.02561234348211999,-0.5964843808902733,0.021367291243110594
CD8,peripheral_blood,score_HSP,15817,0.006956240213194387,0.1517388631886313,-0.0034646406922010375,0.08402351899854586,7.002975354742113,-0.027059877774084716,-0.16667742651851095,0.22466935859563977
CD8,synovial_fluid,score_HSP,19010,-0.020103637560890328,0.17067458111919556,-0.03159440499131608,0.058600736454497634,6.687217327162647,-0.027059877774084716,-0.16667742651851095,0.22466935859563977
CD8,peripheral_blood,score_eTreg,15817,-0.00019101413729338227,0.04825979656444999,-0.0023585530063073845,0.0018966934311184169,7.002975354742113,0.0913406096137119,1.5816308553107463,0.13854253773239697
CD8,synovial_fluid,score_eTreg,19010,0.09114959547641852,0.06459348249299857,0.09072513388576146,0.2374013677012099,6.687217327162647,0.0913406096137119,1.5816308553107463,0.13854253773239697
