"population","database","pathway_id","direction","nes","padj","padj_pooled","set_size","n_tests_in_db","n_tests_pooled","n_sig_pooled_in_database","n_sig_per_database_only"
"CD8","GO_BP","GOBP_NEGATIVE_REGULATION_OF_HUMORAL_IMMUNE_RESPONSE_MEDIATED_BY_CIRCULATING_IMMUNOGLOBULIN","down",-2.0215912,0.00133071586,0.0010738029,6,5777,11242,501,482
"CD8","GO_BP","GOBP_POSITIVE_REGULATION_OF_CELL_CYCLE_PROCESS","up",1.73842599,0.00133071586,0.00107898475,207,5777,11242,501,482
"CD8","GO_BP","GOBP_PLASMA_MEMBRANE_REPAIR","up",2.13469117,0.00137219163,0.00110291166,23,5777,11242,501,482
"CD8","GO_BP","GOBP_MYELOID_LEUKOCYTE_DIFFERENTIATION","up",1.76017317,0.00139196033,0.00112697375,179,5777,11242,501,482
"CD8","GO_BP","GOBP_NEGATIVE_REGULATION_OF_TRANSPORT","up",1.71148128,0.00139196033,0.0011295575,246,5777,11242,501,482
"CD8","GO_BP","GOBP_GLIOGENESIS","up",1.78203665,0.00139697262,0.00113619223,196,5777,11242,501,482
"CD8","GO_BP","GOBP_MITOTIC_CELL_CYCLE_PHASE_TRANSITION","up",1.60026422,0.00139697262,0.0011417694,397,5777,11242,501,482
"CD8","GO_BP","GOBP_POSITIVE_REGULATION_OF_MONOCYTE_DIFFERENTIATION","up",2.01383123,0.00144447962,0.00117770895,8,5777,11242,501,482
"CD8","GO_BP","GOBP_SCHWANN_CELL_DIFFERENTIATION","up",2.0774306,0.00150327219,0.00122270771,37,5777,11242,501,482
"CD8","GO_BP","GOBP_SPINDLE_ORGANIZATION","up",1.77189538,0.00154568786,0.00126401911,187,5777,11242,501,482
"CD8","GO_BP","GOBP_NEGATIVE_REGULATION_OF_CELL_CYCLE_PROCESS","up",1.66575041,0.00159790405,0.00131786463,268,5777,11242,501,482
"CD8","GO_BP","GOBP_ENDOTHELIAL_CELL_MIGRATION","up",1.76248571,0.00159790405,0.00132064117,141,5777,11242,501,482
"CD8","GO_BP","GOBP_NEGATIVE_REGULATION_OF_NEURON_APOPTOTIC_PROCESS","up",1.87218485,0.00161153363,0.00133884474,104,5777,11242,501,482
"CD8","GO_BP","GOBP_REGULATION_OF_PROTEIN_CONTAINING_COMPLEX_ASSEMBLY","up",1.63638977,0.00165882958,0.00137469154,321,5777,11242,501,482
"CD8","GO_BP","GOBP_REGULATION_OF_MITOTIC_CELL_CYCLE_PHASE_TRANSITION","up",1.63747807,0.00167860073,0.00139324747,311,5777,11242,501,482
"CD8","GO_BP","GOBP_EXTRINSIC_APOPTOTIC_SIGNALING_PATHWAY","up",1.76680362,0.00167860073,0.00139470453,178,5777,11242,501,482
"CD8","GO_BP","GOBP_RESPONSE_TO_VIRUS","up",1.62348383,0.00169941407,0.00141906886,333,5777,11242,501,482
"CD8","GO_BP","GOBP_MACROAUTOPHAGY","up",1.60866859,0.0017875005,0.00149642415,340,5777,11242,501,482
"CD8","GO_BP","GOBP_POSITIVE_REGULATION_OF_PROTEIN_LOCALIZATION","up",1.63148058,0.00181460736,0.00152454572,305,5777,11242,501,482
"CD8","GO_BP","GOBP_DNA_DEAMINATION","up",2.09510489,0.00183911091,0.00155260949,12,5777,11242,501,482
"CD8","GO_BP","GOBP_PYRIDINE_CONTAINING_COMPOUND_CATABOLIC_PROCESS","up",1.92701891,0.00186855138,0.00158500476,77,5777,11242,501,482
"CD8","GO_BP","GOBP_POSITIVE_REGULATION_OF_PHOSPHORUS_METABOLIC_PROCESS","up",1.72798937,0.00187074522,0.00159436055,202,5777,11242,501,482
"CD8","GO_BP","GOBP_SUBSTRATE_ADHESION_DEPENDENT_CELL_SPREADING","up",1.96267848,0.0019117106,0.00163687697,66,5777,11242,501,482
"CD8","GO_BP","GOBP_NUCLEOSIDE_DIPHOSPHATE_METABOLIC_PROCESS","up",1.85915562,0.00193137421,0.00164938741,104,5777,11242,501,482
"CD8","GO_BP","GOBP_NEGATIVE_REGULATION_OF_ENDOTHELIAL_CELL_MIGRATION","up",2.07847814,0.00196960717,0.00169984621,33,5777,11242,501,482
"CD8","GO_BP","GOBP_REGULATION_OF_LEUKOCYTE_DIFFERENTIATION","up",1.6495058,0.00196960717,0.00170354559,269,5777,11242,501,482
"CD8","GO_BP","GOBP_GLYCOLYTIC_PROCESS_THROUGH_FRUCTOSE_6_PHOSPHATE","up",2.1065712,0.00196960717,0.00170500055,21,5777,11242,501,482
"CD8","GO_BP","GOBP_VESICLE_ORGANIZATION","up",1.61795181,0.00200851805,0.00173408011,309,5777,11242,501,482
"CD8","GO_BP","GOBP_REGULATION_OF_BINDING","up",1.94818984,0.00204008576,0.00176289857,67,5777,11242,501,482
"CD8","GO_BP","GOBP_NEGATIVE_REGULATION_OF_CELL_CYCLE","up",1.61049854,0.00207398606,0.00178755401,322,5777,11242,501,482
"CD8","GO_BP","GOBP_ERK1_AND_ERK2_CASCADE","up",1.72202612,0.00207953942,0.00180011431,176,5777,11242,501,482
"CD8","GO_BP","GOBP_BIOLOGICAL_PROCESS_INVOLVED_IN_INTERACTION_WITH_HOST","up",1.80339688,0.00220631711,0.00190495569,118,5777,11242,501,482
"CD8","GO_BP","GOBP_MATURATION_OF_SSU_RRNA_FROM_TRICISTRONIC_RRNA_TRANSCRIPT_SSU_RRNA_5_8S_RRNA_LSU_RRNA","down",-2.08859887,0.0022664172,0.00196519222,32,5777,11242,501,482
"CD8","GO_BP","GOBP_PLASMA_MEMBRANE_ORGANIZATION","up",1.84922409,0.0023723007,0.00205853393,106,5777,11242,501,482
"CD8","GO_BP","GOBP_BIOLOGICAL_PROCESS_INVOLVED_IN_SYMBIOTIC_INTERACTION","up",1.78730754,0.0023723007,0.00206037527,138,5777,11242,501,482
"CD8","GO_BP","GOBP_MATURATION_OF_LSU_RRNA_FROM_TRICISTRONIC_RRNA_TRANSCRIPT_SSU_RRNA_5_8S_RRNA_LSU_RRNA","down",-2.14753128,0.00250959114,0.00219199957,23,5777,11242,501,482
"CD8","GO_BP","GOBP_REGULATION_OF_CELLULAR_RESPONSE_TO_GROWTH_FACTOR_STIMULUS","up",1.70776991,0.00250959114,0.00219199957,183,5777,11242,501,482
"CD8","GO_BP","GOBP_POSITIVE_REGULATION_OF_CELL_CELL_ADHESION","up",1.66840834,0.00250959114,0.00219199957,257,5777,11242,501,482
"CD8","GO_BP","GOBP_REGULATION_OF_ERBB_SIGNALING_PATHWAY","up",1.95902796,0.00263668903,0.00230473424,55,5777,11242,501,482
"CD8","GO_BP","GOBP_INTERLEUKIN_8_PRODUCTION","up",1.95821165,0.0026557948,0.00232314566,55,5777,11242,501,482
"CD8","GO_BP","GOBP_MITOTIC_SPINDLE_ORGANIZATION","up",1.78108203,0.00276259639,0.00241052566,121,5777,11242,501,482
"CD8","GO_BP","GOBP_POSITIVE_REGULATION_OF_TYPE_2_IMMUNE_RESPONSE","up",2.05856212,0.00305648732,0.00264311955,13,5777,11242,501,482
"CD8","GO_BP","GOBP_MYELOID_CELL_APOPTOTIC_PROCESS","up",2.06385556,0.00323546001,0.00280050982,26,5777,11242,501,482
"CD8","GO_BP","GOBP_CHROMOSOME_SEPARATION","up",1.85550387,0.00330829151,0.00287479054,82,5777,11242,501,482
"CD8","GO_BP","GOBP_CYTIDINE_TO_URIDINE_EDITING","up",1.96766043,0.00340562523,0.00295235837,8,5777,11242,501,482
"CD8","GO_BP","GOBP_REGULATION_OF_CELL_JUNCTION_ASSEMBLY","up",1.74366876,0.00355404075,0.00309293103,150,5777,11242,501,482
"CD8","GO_BP","GOBP_REGULATION_OF_HYDROLASE_ACTIVITY","up",1.78357722,0.00358572231,0.00312277619,112,5777,11242,501,482
"CD8","GO_BP","GOBP_NEGATIVE_REGULATION_OF_SINGLE_STRANDED_VIRAL_RNA_REPLICATION_VIA_DOUBLE_STRANDED_DNA_INTERMEDIATE","up",2.0036888,0.00364466414,0.0031861647,9,5777,11242,501,482
"CD8","GO_BP","GOBP_CORTICAL_CYTOSKELETON_ORGANIZATION","up",1.97867499,0.00365743243,0.00321938354,47,5777,11242,501,482
