group,pathway_id,cell_state,source_table,tested,contrast,nes,pvalue,padj_per_collection,padj_pooled,significant_pooled,genes_in_ranked_list,leading_edge_size,rank_padj_pooled,rank_nes_signed,n_sets_in_pooled_family
"Proteostasis, inflammation and the effector-Treg reference",HALLMARK_TNFA_SIGNALING_VIA_NFKB,CD8,tables/_overview/named_sets_in_sweep.csv,True,SF_vs_PB_CD8,1.70475303,7.81446672e-05,0.000355203033,0.00285045559,True,170.0,51.0,316,629,11532.0
"Proteostasis, inflammation and the effector-Treg reference",HALLMARK_INFLAMMATORY_RESPONSE,Treg,tables/_overview/named_sets_in_sweep.csv,True,SF_vs_PB_Treg,2.35679441,3.68661341e-12,3.77243394e-11,9.43281483e-10,True,143.0,58.0,45,51,11514.0
"Proteostasis, inflammation and the effector-Treg reference",HALLMARK_INFLAMMATORY_RESPONSE,Tcon,tables/_overview/named_sets_in_sweep.csv,True,SF_vs_PB_Tcon,2.57180902,1.60977182e-15,2.01221477e-14,4.29955419e-13,True,152.0,76.0,44,9,11752.0
"Proteostasis, inflammation and the effector-Treg reference",HALLMARK_INFLAMMATORY_RESPONSE,CD8,tables/_overview/named_sets_in_sweep.csv,True,SF_vs_PB_CD8,1.69092653,0.000311489513,0.00111246255,0.00865668281,True,137.0,41.0,414,676,11532.0
"Proteostasis, inflammation and the effector-Treg reference",HALLMARK_IL2_STAT5_SIGNALING,Treg,tables/_overview/named_sets_in_sweep.csv,True,SF_vs_PB_Treg,2.58077842,2.1380785e-17,5.34519624e-16,1.07034069e-14,True,171.0,90.0,23,6,11514.0
"Proteostasis, inflammation and the effector-Treg reference",HALLMARK_IL2_STAT5_SIGNALING,Tcon,tables/_overview/named_sets_in_sweep.csv,True,SF_vs_PB_Tcon,2.52829243,1.2728811e-16,3.18220274e-15,3.83561504e-14,True,181.0,97.0,39,15,11752.0
"Proteostasis, inflammation and the effector-Treg reference",HALLMARK_IL2_STAT5_SIGNALING,CD8,tables/_overview/named_sets_in_sweep.csv,True,SF_vs_PB_CD8,1.86094839,3.10154036e-06,1.72307798e-05,0.000227815054,True,170.0,63.0,157,255,11532.0
"Proteostasis, inflammation and the effector-Treg reference",eTreg_up,Treg,tables/_overview/named_sets_in_sweep.csv,True,SF_vs_PB_Treg,3.72473879,1.83083225e-72,1.83083225e-72,2.10802025e-68,True,167.0,132.0,1,1,11514.0
"Proteostasis, inflammation and the effector-Treg reference",eTreg_up,Tcon,tables/_overview/named_sets_in_sweep.csv,True,SF_vs_PB_Tcon,3.66653624,1.58225223e-60,1.58225223e-60,1.85946282e-56,True,161.0,124.0,1,1,11752.0
"Proteostasis, inflammation and the effector-Treg reference",eTreg_up,CD8,tables/_overview/named_sets_in_sweep.csv,True,SF_vs_PB_CD8,3.24389627,1.45206925e-41,1.45206925e-41,1.11635084e-38,True,160.0,96.0,15,1,11532.0
