population,mouse_arm,subcomponent,curated_set,contrast,n_genes,set_size_in_ranked,gsea_min_size,testable,untestable_reason,nes,pvalue,padj,leading_edge,evidence_tier
CD8,WT_heat_up,nfkb_tnfa,HALLMARK_TNFA_SIGNALING_VIA_NFKB,SF_vs_PB,35,27,5,True,,1.43482294580657,0.0624226413700098,0.0873916979180137,CDKN1A;SDC4;CCL4;CSF2;ATF3;CD80;EGR1;SERPINE1;TNFSF9;EGR2,secondary_annotation
CD8,WT_heat_up,ifn_type_i,HALLMARK_INTERFERON_ALPHA_RESPONSE,SF_vs_PB,1,1,5,False,"1 of 1 gene(s) present in the ranked list, below the gsea_min_size floor of 5",,,,,secondary_annotation
CD8,WT_heat_up,inflammatory,HALLMARK_INFLAMMATORY_RESPONSE,SF_vs_PB,21,12,5,True,,1.51864021250517,0.0488194365233261,0.0873916979180137,CDKN1A;RGS16;CD70;SERPINE1;TNFSF9,secondary_annotation
CD8,WT_heat_up,t_activation,HALLMARK_IL2_STAT5_SIGNALING,SF_vs_PB,14,9,5,True,,1.3159808445455,0.158440910747511,0.18484772920543,RGS16;CSF2;FAH;BATF3;EOMES,secondary_annotation
CD8,WT_heat_up,unassigned,(none),SF_vs_PB,137,71,5,True,,2.0203626625195,2.15602760224069e-05,0.0001509219321568,CYSTM1;CCL3;SEMA4A;CLU;ITGA3;OAS3;SPINT1;ATP2B4;C15orf48;FASLG;FAM83G;PLK3;PLXNB2;FAM110C;TP73;UPP1;EMILIN2;B3GNT5;CASZ1;SLC4A11;ZBTB32;ASB2;DENND3;NAB2;ADORA2A,secondary_annotation
CD8,WT_heat_down,thermal_proteostasis,HSR_core,SF_vs_PB,0,0,5,False,no WT_heat_down gene belongs to this curated set,,,,,secondary_annotation
CD8,WT_heat_down,upr_er,HALLMARK_UNFOLDED_PROTEIN_RESPONSE,SF_vs_PB,0,0,5,False,no WT_heat_down gene belongs to this curated set,,,,,secondary_annotation
CD8,WT_heat_down,hypoxia,HALLMARK_HYPOXIA,SF_vs_PB,0,0,5,False,no WT_heat_down gene belongs to this curated set,,,,,secondary_annotation
CD8,WT_heat_down,nfkb_tnfa,HALLMARK_TNFA_SIGNALING_VIA_NFKB,SF_vs_PB,2,2,5,False,"2 of 2 gene(s) present in the ranked list, below the gsea_min_size floor of 5",,,,,secondary_annotation
CD8,WT_heat_down,ifn_type_i,HALLMARK_INTERFERON_ALPHA_RESPONSE,SF_vs_PB,3,3,5,False,"3 of 3 gene(s) present in the ranked list, below the gsea_min_size floor of 5",,,,,secondary_annotation
CD8,WT_heat_down,inflammatory,HALLMARK_INFLAMMATORY_RESPONSE,SF_vs_PB,2,2,5,False,"2 of 2 gene(s) present in the ranked list, below the gsea_min_size floor of 5",,,,,secondary_annotation
CD8,WT_heat_down,t_activation,HALLMARK_IL2_STAT5_SIGNALING,SF_vs_PB,6,5,5,True,,1.47561870066891,0.0582399626517274,0.0873916979180137,RHOB;AHR;ITGAE,secondary_annotation
CD8,WT_heat_down,unassigned,(none),SF_vs_PB,83,52,5,True,,-1.03856948012292,0.383090697833368,0.383090697833368,ACCS;CIRBP;SIDT1;MYLIP;PRRT1;SGK3;CA11;BANK1;AK5;AGAP1;PYROXD2;CNR2;NUAK2,secondary_annotation
