embedding,space,grouping_key,group,n_cells,group_frac,observed_same_frac,expected_same_frac,excess_over_chance,k,evidence_tier
treg_only,umap_2d,donor,JIA_patient_2,3940,0.14498620055197792,0.7700507614213198,0.14495473614484433,0.731067759451816,30,annotation_embedding
treg_only,umap_2d,donor,JIA_patient_6,3778,0.13902483900643975,0.6306511381683432,0.13899315522190328,0.5710267995292797,30,annotation_embedding
treg_only,umap_2d,donor,JIA_patient_3,3217,0.11838086476540938,0.4780230027976376,0.1183484212850519,0.40795546698484864,30,annotation_embedding
treg_only,umap_2d,donor,JIA_patient_7,3080,0.11333946642134314,0.7626731601731601,0.11330683741812027,0.7323461487671904,30,annotation_embedding
treg_only,umap_2d,tissue,_all_,27175,1.0,0.9750689972401104,0.4999822507430901,0.9501397644444818,30,annotation_embedding
treg_only,umap_2d,tissue,peripheral_blood,13603,0.5005703771849126,0.974917297654929,0.5005519982336056,0.949779151670722,30,annotation_embedding
treg_only,umap_2d,tissue,synovial_fluid,13572,0.4994296228150874,0.9752210433244917,0.49941120188415394,0.9505003772182412,30,annotation_embedding
full_object_restricted,umap_2d,donor,_all_,27175,1.0,0.42016559337626497,0.1463959739100684,0.3207220339859943,30,annotation_embedding
full_object_restricted,umap_2d,donor,JIA_patient_4,5097,0.18756209751609937,0.4059054345693545,0.18753219989696032,0.26877770989164057,30,annotation_embedding
full_object_restricted,umap_2d,donor,JIA_patient_1,4121,0.15164673413063479,0.38159022890884087,0.15161551483035254,0.2710736913493902,30,annotation_embedding
full_object_restricted,umap_2d,donor,JIA_patient_5,3942,0.14505979760809568,0.482665313715542,0.1450283359093251,0.39491013794628926,30,annotation_embedding
full_object_restricted,umap_2d,donor,JIA_patient_2,3940,0.14498620055197792,0.4903553299492386,0.14495473614484433,0.4039559171956363,30,annotation_embedding
full_object_restricted,umap_2d,donor,JIA_patient_6,3778,0.13902483900643975,0.38662431621669313,0.13899315522190328,0.2876064952289789,30,annotation_embedding
full_object_restricted,umap_2d,donor,JIA_patient_3,3217,0.11838086476540938,0.28333851414361205,0.1183484212850519,0.18713752330488828,30,annotation_embedding
full_object_restricted,umap_2d,donor,JIA_patient_7,3080,0.11333946642134314,0.5096536796536797,0.11330683741812027,0.4469943594483956,30,annotation_embedding
full_object_restricted,umap_2d,tissue,_all_,27175,1.0,0.954920576510273,0.4999822507430901,0.9098443534120122,30,annotation_embedding
full_object_restricted,umap_2d,tissue,peripheral_blood,13603,0.5005703771849126,0.955730353598471,0.5005519982336056,0.9113628520987954,30,annotation_embedding
full_object_restricted,umap_2d,tissue,synovial_fluid,13572,0.4994296228150874,0.9541089497986049,0.49941120188415394,0.908325854725229,30,annotation_embedding
treg_only_latent,pca_30,donor,_all_,27175,1.0,0.7882796688132475,0.1463959739100684,0.7519689168330531,30,annotation_embedding
treg_only_latent,pca_30,donor,JIA_patient_4,5097,0.18756209751609937,0.7845922438035445,0.18753219989696032,0.7348722544214837,30,annotation_embedding
treg_only_latent,pca_30,donor,JIA_patient_1,4121,0.15164673413063479,0.7951548976785571,0.15161551483035254,0.7585468547547979,30,annotation_embedding
treg_only_latent,pca_30,donor,JIA_patient_5,3942,0.14505979760809568,0.8708100794858786,0.1450283359093251,0.8488956699500394,30,annotation_embedding
treg_only_latent,pca_30,donor,JIA_patient_2,3940,0.14498620055197792,0.8242216582064298,0.14495473614484433,0.7944221794749956,30,annotation_embedding
treg_only_latent,pca_30,donor,JIA_patient_6,3778,0.13902483900643975,0.7497882477501324,0.13899315522190328,0.7093963262111423,30,annotation_embedding
treg_only_latent,pca_30,donor,JIA_patient_3,3217,0.11838086476540938,0.687389907781577,0.1183484212850519,0.6454267198454201,30,annotation_embedding
treg_only_latent,pca_30,donor,JIA_patient_7,3080,0.11333946642134314,0.7861688311688312,0.11330683741812027,0.7588442339980004,30,annotation_embedding
treg_only_latent,pca_30,tissue,_all_,27175,1.0,0.9754320760502914,0.4999822507430901,0.9508658962882424,30,annotation_embedding
treg_only_latent,pca_30,tissue,peripheral_blood,13603,0.5005703771849126,0.982349481731971,0.5005519982336056,0.9646599481715724,30,annotation_embedding
treg_only_latent,pca_30,tissue,synovial_fluid,13572,0.4994296228150874,0.9684988702230082,0.49941120188415394,0.9370718444049123,30,annotation_embedding
treg_only_harmony_latent,harmony_30,donor,_all_,27175,1.0,0.2501392210978227,0.1463959739100684,0.12153556452043308,30,annotation_embedding
treg_only_harmony_latent,harmony_30,donor,JIA_patient_4,5097,0.18756209751609937,0.24883918644954547,0.18753219989696032,0.07545774311893962,30,annotation_embedding
treg_only_harmony_latent,harmony_30,donor,JIA_patient_1,4121,0.15164673413063479,0.20063900347812022,0.15161551483035254,0.057784518110281895,30,annotation_embedding
treg_only_harmony_latent,harmony_30,donor,JIA_patient_5,3942,0.14505979760809568,0.3711314053779807,0.1450283359093251,0.26445679893863244,30,annotation_embedding
treg_only_harmony_latent,harmony_30,donor,JIA_patient_2,3940,0.14498620055197792,0.2943654822335025,0.14495473614484433,0.17474015985423702,30,annotation_embedding
treg_only_harmony_latent,harmony_30,donor,JIA_patient_6,3778,0.13902483900643975,0.24260631727545437,0.13899315522190328,0.1203395335146898,30,annotation_embedding
treg_only_harmony_latent,harmony_30,donor,JIA_patient_3,3217,0.11838086476540938,0.1456740234172625,0.1183484212850519,0.030993651905029247,30,annotation_embedding
treg_only_harmony_latent,harmony_30,donor,JIA_patient_7,3080,0.11333946642134314,0.22544372294372295,0.11330683741812027,0.1264663924993869,30,annotation_embedding
treg_only_harmony_latent,harmony_30,tissue,_all_,27175,1.0,0.9351192885617909,0.4999822507430901,0.8702431832977328,30,annotation_embedding
treg_only_harmony_latent,harmony_30,tissue,peripheral_blood,13603,0.5005703771849126,0.9514004263765347,0.5005519982336056,0.9026934266398433,30,annotation_embedding
treg_only_harmony_latent,harmony_30,tissue,synovial_fluid,13572,0.4994296228150874,0.91880096276648,0.49941120188415394,0.8377929399556221,30,annotation_embedding
