gene_set,genes_scored,cell_state,tissue,n_cells,n_donors,mean,median,q25,q75,min,max,frac_at_zero,median_shift_sf_minus_pb,delta_cliffs_sf_vs_pb,delta_n_donors_paired,delta_donor_min,delta_donor_max,delta_donors_agreeing_in_sign
HALLMARK_INFLAMMATORY_RESPONSE,182.0,Treg,paired blood,13603.0,7.0,0.0544185361,0.0541392309,0.0464287094,0.0620594875,0.011811393,0.112202714,0.0,0.0147532026,0.583583593,6.0,0.525173005,0.722615253,6.0
HALLMARK_INFLAMMATORY_RESPONSE,182.0,Tcon,synovial fluid,19502.0,7.0,0.0668565416,0.0664970389,0.0575184484,0.0759116574,0.0138645885,0.153967579,0.0,0.0100672808,0.42734403,6.0,0.262305234,0.578046273,6.0
HALLMARK_INFLAMMATORY_RESPONSE,182.0,Tcon,paired blood,18411.0,6.0,0.0564438234,0.0564297581,0.0484570678,0.0645376723,0.00662321104,0.108559948,0.0,0.0100672808,0.42734403,6.0,0.262305234,0.578046273,6.0
HALLMARK_INFLAMMATORY_RESPONSE,182.0,CD8,synovial fluid,19010.0,7.0,0.0613007408,0.0610880832,0.052996727,0.0692166949,0.011005569,0.138336801,0.0,0.00511643053,0.237013695,6.0,0.0691264028,0.26777903,6.0
HALLMARK_INFLAMMATORY_RESPONSE,182.0,CD8,paired blood,15817.0,6.0,0.0561595214,0.0559716527,0.0484156727,0.0638367158,0.0101611096,0.118919754,0.0,0.00511643053,0.237013695,6.0,0.0691264028,0.26777903,6.0
HALLMARK_IL2_STAT5_SIGNALING,196.0,Treg,synovial fluid,13572.0,6.0,0.075499392,0.074778318,0.0640619677,0.0860004852,0.0196752449,0.153221228,0.0,0.0228443426,0.739003429,6.0,0.694146102,0.797604809,6.0
HALLMARK_IL2_STAT5_SIGNALING,196.0,Treg,paired blood,13603.0,7.0,0.0523719622,0.0519339754,0.0438563893,0.0604218926,0.0100440783,0.106799624,0.0,0.0228443426,0.739003429,6.0,0.694146102,0.797604809,6.0
HALLMARK_IL2_STAT5_SIGNALING,196.0,Tcon,synovial fluid,19502.0,7.0,0.0635728126,0.0627316177,0.0532191632,0.0731886078,0.0173113251,0.126350996,0.0,0.0116441114,0.46576327,6.0,0.200678895,0.737754934,6.0
HALLMARK_IL2_STAT5_SIGNALING,196.0,Tcon,paired blood,18411.0,6.0,0.0515259708,0.0510875063,0.0428163678,0.0596038112,0.00635884096,0.101478224,0.0,0.0116441114,0.46576327,6.0,0.200678895,0.737754934,6.0
HALLMARK_IL2_STAT5_SIGNALING,196.0,CD8,synovial fluid,19010.0,7.0,0.0545396964,0.0536423978,0.0457506219,0.0623858041,0.0133525337,0.121390893,0.0,0.00441815573,0.207513869,6.0,0.0992401885,0.312238732,6.0
HALLMARK_IL2_STAT5_SIGNALING,196.0,CD8,paired blood,15817.0,6.0,0.0497177684,0.049224242,0.0409453615,0.0579315186,0.0117008867,0.10356859,0.0,0.00441815573,0.207513869,6.0,0.0992401885,0.312238732,6.0
