coarse_label,tissue,donor,n_cells,n_cells_drawn,frac_of_total,mean_FOXP3,mean_IL2RA,mean_CTLA4,mean_WT_heat_up_AUCell,mean_KO_heat_up_AUCell,mean_Interaction_up_AUCell,mean_HALLMARK_HYPOXIA_AUCell,mean_HSR_core_AUCell,mean_eTreg_up_AUCell
Tcon,peripheral_blood,JIA_patient_2,2480.0,1483.0,0.0248210979,0.0213569272,0.089956142,0.0906193703,0.0118294088,0.0119649603,0.0462673024,0.0665068252,0.101592592,0.0169767644
Tcon,peripheral_blood,JIA_patient_4,2222.0,1318.0,0.0222389031,0.0364921689,0.0587499365,0.153753743,0.0115598072,0.01166748,0.0505840256,0.0721929471,0.103470023,0.0168949704
Tcon,peripheral_blood,JIA_patient_5,3516.0,2106.0,0.0351899114,0.0326644331,0.0892884508,0.0506802164,0.0112364503,0.0111952135,0.0503039678,0.0634827344,0.101682555,0.0161524197
Tcon,peripheral_blood,JIA_patient_6,4276.0,2553.0,0.0427963769,0.0201337673,0.0560374446,0.0797065571,0.0112960048,0.0110946952,0.0488841497,0.055196515,0.080563299,0.0123852014
Tcon,peripheral_blood,JIA_patient_7,3032.0,1807.0,0.0303457939,0.0432754345,0.0824068412,0.0684169158,0.0110786246,0.0109332606,0.0360910435,0.0653100671,0.0979514266,0.0167747056
Tcon,synovial_fluid,JIA_patient_1,2851.0,1723.0,0.0285342541,0.0562366173,0.039110247,0.419226646,0.0159367478,0.0179856176,0.112993583,0.0909253614,0.092451393,0.0425857553
Tcon,synovial_fluid,JIA_patient_2,2238.0,1353.0,0.0223990392,0.111529559,0.0831169933,0.236917183,0.0163717088,0.0178283893,0.0787236305,0.0783720505,0.0925938513,0.0399768993
Tcon,synovial_fluid,JIA_patient_3,1653.0,968.0,0.0165440625,0.167692766,0.0517632402,0.562217891,0.0156854599,0.0170337547,0.166728312,0.0916065254,0.0948378824,0.0424179369
Tcon,synovial_fluid,JIA_patient_4,2579.0,1589.0,0.0258119401,0.115747824,0.0341325961,0.496496916,0.0174378173,0.0182455686,0.0919609384,0.0988574097,0.0994271529,0.0457008833
Tcon,synovial_fluid,JIA_patient_5,3074.0,1855.0,0.0307661512,0.0492293872,0.0885058418,0.154249474,0.0217736271,0.0235246251,0.0581277613,0.0853472896,0.102605847,0.0564591577
Tcon,synovial_fluid,JIA_patient_6,4454.0,2664.0,0.0445778912,0.0312986523,0.110839628,0.25882706,0.0202425748,0.0218532873,0.0751301007,0.0825283493,0.08818907,0.0526820044
Tcon,synovial_fluid,JIA_patient_7,2653.0,1604.0,0.0265525697,0.128934816,0.0663920119,0.324997097,0.0154889137,0.0164084145,0.0593442561,0.0867656548,0.0943724825,0.0408604503
Treg,peripheral_blood,JIA_patient_1,2360.0,1361.0,0.0236200771,1.38980472,1.03216493,1.00476599,0.0126440183,0.0123219144,0.0869194619,0.0805558674,0.10912731,0.0240332321
Treg,peripheral_blood,JIA_patient_2,1271.0,767.0,0.0127208127,1.05377936,0.665670812,0.716057599,0.0110502736,0.0106376704,0.065418422,0.07018871,0.0963016615,0.0195526439
Treg,peripheral_blood,JIA_patient_3,1581.0,969.0,0.0158234499,1.24938321,0.87480557,0.850307345,0.00958595185,0.0094456167,0.0846148128,0.0716359013,0.100975878,0.0160186865
Treg,peripheral_blood,JIA_patient_4,2230.0,1404.0,0.0223189711,1.33631778,0.727546096,0.837189317,0.0120236115,0.0118229674,0.0698907405,0.0753157419,0.0969546733,0.0203270951
Treg,peripheral_blood,JIA_patient_5,3942.0,2419.0,0.0394535355,1.18193352,0.655199289,0.471150756,0.0102351409,0.0101274724,0.0672125452,0.0667766275,0.0973643865,0.0179189608
Treg,peripheral_blood,JIA_patient_6,1953.0,1225.0,0.0195466146,1.09942484,0.603145659,0.495221347,0.0111247718,0.0106693552,0.0604903127,0.0689791757,0.092710581,0.0161371597
Treg,peripheral_blood,JIA_patient_7,266.0,155.0,0.00266226292,1.18405414,0.627928555,0.595693529,0.0108322077,0.0106460247,0.0516601159,0.0681360409,0.0916228807,0.0164784649
Treg,synovial_fluid,JIA_patient_1,1761.0,1043.0,0.0176249812,2.62465262,2.33979821,1.31571388,0.0196111592,0.0193908529,0.166885428,0.0953721772,0.111585095,0.0697664622
Treg,synovial_fluid,JIA_patient_2,2669.0,1597.0,0.0267127058,1.84274292,0.960385919,0.974148929,0.0195544567,0.0199096713,0.100174022,0.087406182,0.10216922,0.0630332029
Treg,synovial_fluid,JIA_patient_3,1636.0,985.0,0.0163739178,2.24154568,1.84724498,1.58806086,0.0193070828,0.0190191061,0.219631646,0.0979282772,0.113403783,0.0681262419
Treg,synovial_fluid,JIA_patient_4,2867.0,1742.0,0.0286943902,2.32785702,1.77179635,1.61568654,0.0177342303,0.0176150909,0.12188881,0.101306776,0.113564544,0.0678534611
Treg,synovial_fluid,JIA_patient_6,1825.0,1101.0,0.0182655257,1.59235597,1.17380118,1.20138633,0.0216861461,0.0221987433,0.0860093999,0.0933517077,0.103853817,0.07953736
Treg,synovial_fluid,JIA_patient_7,2814.0,1687.0,0.0281639393,2.31525326,1.41656494,1.33774281,0.0163399772,0.0160655848,0.0935505636,0.0950167938,0.102955691,0.0584732264
