"tf","focus_tf","regulon_size","statistic","score","size_expected","null_mean","null_sd","null_q95","obs","pct_of_null","p_empirical","z_vs_null"
"MYB",FALSE,125,"CollecTRI-ULM activity score",3.650575,3.50611971,NA,NA,NA,NA,NA,NA,NA
"RXRA",FALSE,53,"CollecTRI-ULM activity score",3.62775523,2.24216977,NA,NA,NA,NA,NA,NA,NA
"HAND2",FALSE,7,"CollecTRI-ULM activity score",3.61961679,0.507633698,NA,NA,NA,NA,NA,NA,NA
"PPARD",FALSE,61,"CollecTRI-ULM activity score",3.61190411,2.43687983,NA,NA,NA,NA,NA,NA,NA
"SREBF2",FALSE,46,"CollecTRI-ULM activity score",3.59328145,2.05784436,NA,NA,NA,NA,NA,NA,NA
"HMGA1",FALSE,44,"CollecTRI-ULM activity score",3.58751813,2.0057221,NA,NA,NA,NA,NA,NA,NA
"HOXA10",FALSE,29,"CollecTRI-ULM activity score",3.58284682,1.54698167,NA,NA,NA,NA,NA,NA,NA
"NFATC3",FALSE,22,"CollecTRI-ULM activity score",3.57008558,1.30901041,NA,NA,NA,NA,NA,NA,NA
"NFKB2",FALSE,57,"CollecTRI-ULM activity score",3.5403991,2.34275786,NA,NA,NA,NA,NA,NA,NA
"FOXM1",FALSE,54,"CollecTRI-ULM activity score",3.52358584,2.26782428,NA,NA,NA,NA,NA,NA,NA
"POU4F1",FALSE,17,"CollecTRI-ULM activity score",3.49181225,1.1014466,NA,NA,NA,NA,NA,NA,NA
"STAT4",FALSE,26,"CollecTRI-ULM activity score",3.48736753,1.4462279,NA,NA,NA,NA,NA,NA,NA
"TP63",FALSE,141,"CollecTRI-ULM activity score",3.45754441,3.72391972,NA,NA,NA,NA,NA,NA,NA
"FOXQ1",FALSE,8,"CollecTRI-ULM activity score",3.44072142,0.595113485,NA,NA,NA,NA,NA,NA,NA
"ETS2",FALSE,70,"CollecTRI-ULM activity score",3.4193351,2.61942361,NA,NA,NA,NA,NA,NA,NA
"BHLHA15",FALSE,6,"CollecTRI-ULM activity score",3.40409869,0.407887966,NA,NA,NA,NA,NA,NA,NA
"SMAD3",FALSE,97,"CollecTRI-ULM activity score",3.40058457,3.08174256,NA,NA,NA,NA,NA,NA,NA
"KLF7",FALSE,7,"CollecTRI-ULM activity score",3.38082007,0.507633698,NA,NA,NA,NA,NA,NA,NA
"EGR4",FALSE,10,"CollecTRI-ULM activity score",3.3771437,0.74342295,NA,NA,NA,NA,NA,NA,NA
"TAF1",FALSE,33,"CollecTRI-ULM activity score",3.34126859,1.68642897,NA,NA,NA,NA,NA,NA,NA
"FOXP3",FALSE,38,"CollecTRI-ULM activity score",3.29258772,1.846813,NA,NA,NA,NA,NA,NA,NA
"DMTF1",FALSE,11,"CollecTRI-ULM activity score",3.28172672,0.808427386,NA,NA,NA,NA,NA,NA,NA
"ABL1",FALSE,10,"CollecTRI-ULM activity score",3.2810918,0.74342295,NA,NA,NA,NA,NA,NA,NA
"SRF",FALSE,61,"CollecTRI-ULM activity score",3.2790149,2.43687983,NA,NA,NA,NA,NA,NA,NA
"EGR3",FALSE,24,"CollecTRI-ULM activity score",3.27721425,1.38046,NA,NA,NA,NA,NA,NA,NA
"IRF3",FALSE,59,"CollecTRI-ULM activity score",3.27509057,2.39072239,NA,NA,NA,NA,NA,NA,NA
"MAF",FALSE,41,"CollecTRI-ULM activity score",3.23995824,1.93003919,NA,NA,NA,NA,NA,NA,NA
"PAX8",FALSE,21,"CollecTRI-ULM activity score",3.21214328,1.27096565,NA,NA,NA,NA,NA,NA,NA
"GATA6",FALSE,33,"CollecTRI-ULM activity score",3.2096662,1.68642897,NA,NA,NA,NA,NA,NA,NA
"HIVEP2",FALSE,8,"CollecTRI-ULM activity score",3.15867186,0.595113485,NA,NA,NA,NA,NA,NA,NA
"EBF3",FALSE,5,"CollecTRI-ULM activity score",3.15191654,0.294075668,NA,NA,NA,NA,NA,NA,NA
"ZNF384",FALSE,11,"CollecTRI-ULM activity score",3.13296043,0.808427386,NA,NA,NA,NA,NA,NA,NA
"NR2F2",FALSE,32,"CollecTRI-ULM activity score",3.12423661,1.65196558,NA,NA,NA,NA,NA,NA,NA
"POU2F2",FALSE,25,"CollecTRI-ULM activity score",3.1171027,1.41401797,NA,NA,NA,NA,NA,NA,NA
"OVOL1",FALSE,7,"CollecTRI-ULM activity score",3.10567566,0.507633698,NA,NA,NA,NA,NA,NA,NA
"TP53",FALSE,697,"CollecTRI-ULM activity score",3.08615177,6.97578157,NA,NA,NA,NA,NA,NA,NA
"RBPJ",FALSE,87,"CollecTRI-ULM activity score",3.08284354,2.91609961,NA,NA,NA,NA,NA,NA,NA
"RELB",FALSE,45,"CollecTRI-ULM activity score",3.07768544,2.03163353,NA,NA,NA,NA,NA,NA,NA
"MSC",FALSE,20,"CollecTRI-ULM activity score",3.07701964,1.23126769,NA,NA,NA,NA,NA,NA,NA
"THAP11",FALSE,6,"CollecTRI-ULM activity score",3.06003068,0.407887966,NA,NA,NA,NA,NA,NA,NA
"NR3C1",FALSE,164,"CollecTRI-ULM activity score",3.0400556,4.00945983,NA,NA,NA,NA,NA,NA,NA
"CEBPZ",FALSE,11,"CollecTRI-ULM activity score",3.03752977,0.808427386,NA,NA,NA,NA,NA,NA,NA
"IRF7",FALSE,15,"CollecTRI-ULM activity score",3.01976834,1.00731582,NA,NA,NA,NA,NA,NA,NA
"DLX4",FALSE,25,"CollecTRI-ULM activity score",3.01450258,1.41401797,NA,NA,NA,NA,NA,NA,NA
"YBX1",FALSE,64,"CollecTRI-ULM activity score",3.00557133,2.5024472,NA,NA,NA,NA,NA,NA,NA
"MYOD1",FALSE,85,"CollecTRI-ULM activity score",2.99141073,2.88210993,NA,NA,NA,NA,NA,NA,NA
"IRF5",FALSE,20,"CollecTRI-ULM activity score",2.97857475,1.23126769,NA,NA,NA,NA,NA,NA,NA
"ENO1",FALSE,10,"CollecTRI-ULM activity score",2.95393813,0.74342295,NA,NA,NA,NA,NA,NA,NA
"NCOA2",FALSE,37,"CollecTRI-ULM activity score",2.95072761,1.81671355,NA,NA,NA,NA,NA,NA,NA
"NRF1",FALSE,66,"CollecTRI-ULM activity score",2.94901235,2.54358193,NA,NA,NA,NA,NA,NA,NA
"KCNIP3",FALSE,6,"CollecTRI-ULM activity score",2.94352287,0.407887966,NA,NA,NA,NA,NA,NA,NA
"ARID3A",FALSE,6,"CollecTRI-ULM activity score",2.91631952,0.407887966,NA,NA,NA,NA,NA,NA,NA
"WT1",FALSE,93,"CollecTRI-ULM activity score",2.91172965,3.01636512,NA,NA,NA,NA,NA,NA,NA
"NUPR1",FALSE,6,"CollecTRI-ULM activity score",2.90685029,0.407887966,NA,NA,NA,NA,NA,NA,NA
"CDX2",FALSE,25,"CollecTRI-ULM activity score",2.90590195,1.41401797,NA,NA,NA,NA,NA,NA,NA
"CREBBP",FALSE,26,"CollecTRI-ULM activity score",2.89703874,1.4462279,NA,NA,NA,NA,NA,NA,NA
"BMAL2",FALSE,6,"CollecTRI-ULM activity score",2.89701263,0.407887966,NA,NA,NA,NA,NA,NA,NA
"ZNF91",FALSE,26,"CollecTRI-ULM activity score",2.89675148,1.4462279,NA,NA,NA,NA,NA,NA,NA
"PLAGL1",FALSE,12,"CollecTRI-ULM activity score",2.8839226,0.865637847,NA,NA,NA,NA,NA,NA,NA
"TSC22D1",FALSE,5,"CollecTRI-ULM activity score",2.86757172,0.294075668,NA,NA,NA,NA,NA,NA,NA
"HSF2",FALSE,19,"CollecTRI-ULM activity score",2.86583279,1.18983492,NA,NA,NA,NA,NA,NA,NA
"AHR",FALSE,115,"CollecTRI-ULM activity score",2.86441441,3.3611358,NA,NA,NA,NA,NA,NA,NA
"ATF4",FALSE,81,"CollecTRI-ULM activity score",2.86143999,2.81332409,NA,NA,NA,NA,NA,NA,NA
"TBX5",FALSE,8,"CollecTRI-ULM activity score",2.84696131,0.595113485,NA,NA,NA,NA,NA,NA,NA
"KAT7",FALSE,52,"CollecTRI-ULM activity score",2.82861129,2.21623931,NA,NA,NA,NA,NA,NA,NA
"KAT5",FALSE,41,"CollecTRI-ULM activity score",2.81851541,1.93003919,NA,NA,NA,NA,NA,NA,NA
"SMAD4",FALSE,62,"CollecTRI-ULM activity score",2.81520348,2.45923793,NA,NA,NA,NA,NA,NA,NA
"PPARA",FALSE,156,"CollecTRI-ULM activity score",2.81431897,3.91357177,NA,NA,NA,NA,NA,NA,NA
"LEF1",FALSE,52,"CollecTRI-ULM activity score",2.79591527,2.21623931,NA,NA,NA,NA,NA,NA,NA
"EPAS1",TRUE,62,"CollecTRI-ULM activity score",2.79380722,2.45923793,0.123077186,1.02301259,1.79453583,2.79380722,99.5,0.00599400599,2.61065218
"TFDP1",FALSE,29,"CollecTRI-ULM activity score",2.75903039,1.54698167,NA,NA,NA,NA,NA,NA,NA
"PBX1",FALSE,23,"CollecTRI-ULM activity score",2.73491274,1.34548248,NA,NA,NA,NA,NA,NA,NA
"STAT6",FALSE,80,"CollecTRI-ULM activity score",2.72822592,2.79596729,NA,NA,NA,NA,NA,NA,NA
"ID1",FALSE,51,"CollecTRI-ULM activity score",2.70128206,2.19007794,NA,NA,NA,NA,NA,NA,NA
"DNMT1",FALSE,114,"CollecTRI-ULM activity score",2.66483314,3.34624374,NA,NA,NA,NA,NA,NA,NA
"FOSL1",FALSE,25,"CollecTRI-ULM activity score",2.64732469,1.41401797,NA,NA,NA,NA,NA,NA,NA
"BARX2",FALSE,11,"CollecTRI-ULM activity score",2.63109591,0.808427386,NA,NA,NA,NA,NA,NA,NA
"MEOX2",FALSE,5,"CollecTRI-ULM activity score",2.6263507,0.294075668,NA,NA,NA,NA,NA,NA,NA
"NCOA3",FALSE,49,"CollecTRI-ULM activity score",2.62234914,2.13727318,NA,NA,NA,NA,NA,NA,NA
"ASCL1",FALSE,32,"CollecTRI-ULM activity score",2.62101898,1.65196558,NA,NA,NA,NA,NA,NA,NA
"RB1",FALSE,32,"CollecTRI-ULM activity score",2.61890145,1.65196558,NA,NA,NA,NA,NA,NA,NA
"PARK7",FALSE,5,"CollecTRI-ULM activity score",2.6184344,0.294075668,NA,NA,NA,NA,NA,NA,NA
"MAZ",FALSE,23,"CollecTRI-ULM activity score",2.60718113,1.34548248,NA,NA,NA,NA,NA,NA,NA
"CEBPE",FALSE,19,"CollecTRI-ULM activity score",2.58370054,1.18983492,NA,NA,NA,NA,NA,NA,NA
"EP300",FALSE,45,"CollecTRI-ULM activity score",2.53263829,2.03163353,NA,NA,NA,NA,NA,NA,NA
"MSX2",FALSE,13,"CollecTRI-ULM activity score",2.52334734,0.915255263,NA,NA,NA,NA,NA,NA,NA
"KDM5A",FALSE,10,"CollecTRI-ULM activity score",2.52113357,0.74342295,NA,NA,NA,NA,NA,NA,NA
"TGFB1I1",FALSE,8,"CollecTRI-ULM activity score",2.52001201,0.595113485,NA,NA,NA,NA,NA,NA,NA
"POU4F2",FALSE,16,"CollecTRI-ULM activity score",2.48277736,1.05434751,NA,NA,NA,NA,NA,NA,NA
"GATA4",FALSE,58,"CollecTRI-ULM activity score",2.47115691,2.3669561,NA,NA,NA,NA,NA,NA,NA
"POU2F1",FALSE,56,"CollecTRI-ULM activity score",2.45059438,2.3181512,NA,NA,NA,NA,NA,NA,NA
"NR3C2",FALSE,30,"CollecTRI-ULM activity score",2.44892604,1.58198729,NA,NA,NA,NA,NA,NA,NA
"PITX3",FALSE,6,"CollecTRI-ULM activity score",2.43730197,0.407887966,NA,NA,NA,NA,NA,NA,NA
"HNF4A",FALSE,122,"CollecTRI-ULM activity score",2.42863061,3.46336621,NA,NA,NA,NA,NA,NA,NA
"FOXC2",FALSE,10,"CollecTRI-ULM activity score",2.42505888,0.74342295,NA,NA,NA,NA,NA,NA,NA
"TADA2A",FALSE,6,"CollecTRI-ULM activity score",2.41692765,0.407887966,NA,NA,NA,NA,NA,NA,NA
"MYCN",FALSE,90,"CollecTRI-ULM activity score",2.41534367,2.96655718,NA,NA,NA,NA,NA,NA,NA
"ZIC1",FALSE,10,"CollecTRI-ULM activity score",2.40768864,0.74342295,NA,NA,NA,NA,NA,NA,NA
"NKX3-1",FALSE,46,"CollecTRI-ULM activity score",2.4023841,2.05784436,NA,NA,NA,NA,NA,NA,NA
"USF2",FALSE,70,"CollecTRI-ULM activity score",2.3899291,2.61942361,NA,NA,NA,NA,NA,NA,NA
"ARNT",FALSE,47,"CollecTRI-ULM activity score",2.38818579,2.08424867,NA,NA,NA,NA,NA,NA,NA
"HLX",FALSE,11,"CollecTRI-ULM activity score",2.36909595,0.808427386,NA,NA,NA,NA,NA,NA,NA
"TET1",FALSE,10,"CollecTRI-ULM activity score",2.36455315,0.74342295,NA,NA,NA,NA,NA,NA,NA
"SMAD1",FALSE,33,"CollecTRI-ULM activity score",2.35588369,1.68642897,NA,NA,NA,NA,NA,NA,NA
"CTCF",FALSE,100,"CollecTRI-ULM activity score",2.34219775,3.12999101,NA,NA,NA,NA,NA,NA,NA
"JDP2",FALSE,30,"CollecTRI-ULM activity score",2.33137285,1.58198729,NA,NA,NA,NA,NA,NA,NA
"TP73",FALSE,95,"CollecTRI-ULM activity score",2.32199868,3.0492026,NA,NA,NA,NA,NA,NA,NA
"RUNX2",FALSE,59,"CollecTRI-ULM activity score",2.3200479,2.39072239,NA,NA,NA,NA,NA,NA,NA
"ID2",FALSE,36,"CollecTRI-ULM activity score",2.3193533,1.78553283,NA,NA,NA,NA,NA,NA,NA
"ELF4",FALSE,32,"CollecTRI-ULM activity score",2.3189294,1.65196558,NA,NA,NA,NA,NA,NA,NA
"SP7",FALSE,16,"CollecTRI-ULM activity score",2.30702525,1.05434751,NA,NA,NA,NA,NA,NA,NA
"ATF6",FALSE,42,"CollecTRI-ULM activity score",2.29762915,1.95529145,NA,NA,NA,NA,NA,NA,NA
"RUNX1",FALSE,133,"CollecTRI-ULM activity score",2.29569709,3.61712286,NA,NA,NA,NA,NA,NA,NA
"CTNNB1",FALSE,172,"CollecTRI-ULM activity score",2.29404632,4.10194706,NA,NA,NA,NA,NA,NA,NA
"FOXC1",FALSE,8,"CollecTRI-ULM activity score",2.25908821,0.595113485,NA,NA,NA,NA,NA,NA,NA
"ZNF354C",FALSE,16,"CollecTRI-ULM activity score",2.25579894,1.05434751,NA,NA,NA,NA,NA,NA,NA
"APEX1",FALSE,27,"CollecTRI-ULM activity score",2.25469482,1.47864601,NA,NA,NA,NA,NA,NA,NA
"ZFHX3",FALSE,6,"CollecTRI-ULM activity score",2.24266982,0.407887966,NA,NA,NA,NA,NA,NA,NA
"MAFA",FALSE,7,"CollecTRI-ULM activity score",2.23926653,0.507633698,NA,NA,NA,NA,NA,NA,NA
"NFIC",FALSE,40,"CollecTRI-ULM activity score",2.23233202,1.90352096,NA,NA,NA,NA,NA,NA,NA
"SMAD2",FALSE,51,"CollecTRI-ULM activity score",2.23017165,2.19007794,NA,NA,NA,NA,NA,NA,NA
"SMAD5",FALSE,20,"CollecTRI-ULM activity score",2.22724395,1.23126769,NA,NA,NA,NA,NA,NA,NA
"ARID1A",FALSE,6,"CollecTRI-ULM activity score",2.22600406,0.407887966,NA,NA,NA,NA,NA,NA,NA
"MEF2A",FALSE,59,"CollecTRI-ULM activity score",2.20931391,2.39072239,NA,NA,NA,NA,NA,NA,NA
"STAT2",FALSE,29,"CollecTRI-ULM activity score",2.20746928,1.54698167,NA,NA,NA,NA,NA,NA,NA
"FLI1",FALSE,57,"CollecTRI-ULM activity score",2.20297601,2.34275786,NA,NA,NA,NA,NA,NA,NA
"EGR2",FALSE,54,"CollecTRI-ULM activity score",2.20127874,2.26782428,NA,NA,NA,NA,NA,NA,NA
"RORC",FALSE,14,"CollecTRI-ULM activity score",2.16316147,0.961554623,NA,NA,NA,NA,NA,NA,NA
"USF1",FALSE,127,"CollecTRI-ULM activity score",2.13919945,3.53427643,NA,NA,NA,NA,NA,NA,NA
"HOXB2",FALSE,5,"CollecTRI-ULM activity score",2.11874346,0.294075668,NA,NA,NA,NA,NA,NA,NA
"MAFK",FALSE,18,"CollecTRI-ULM activity score",2.11316626,1.1465867,NA,NA,NA,NA,NA,NA,NA
"POU1F1",FALSE,25,"CollecTRI-ULM activity score",2.08272827,1.41401797,NA,NA,NA,NA,NA,NA,NA
"MTF1",FALSE,26,"CollecTRI-ULM activity score",2.06826095,1.4462279,NA,NA,NA,NA,NA,NA,NA
"ZNF350",FALSE,7,"CollecTRI-ULM activity score",2.06594003,0.507633698,NA,NA,NA,NA,NA,NA,NA
"PREB",FALSE,9,"CollecTRI-ULM activity score",2.0465153,0.673156788,NA,NA,NA,NA,NA,NA,NA
"ARX",FALSE,12,"CollecTRI-ULM activity score",2.01743903,0.865637847,NA,NA,NA,NA,NA,NA,NA
"MEF2D",FALSE,18,"CollecTRI-ULM activity score",2.01052217,1.1465867,NA,NA,NA,NA,NA,NA,NA
"OLIG2",FALSE,10,"CollecTRI-ULM activity score",2.00584191,0.74342295,NA,NA,NA,NA,NA,NA,NA
"PPARGC1A",FALSE,19,"CollecTRI-ULM activity score",1.99764336,1.18983492,NA,NA,NA,NA,NA,NA,NA
"BCL3",FALSE,20,"CollecTRI-ULM activity score",1.99107164,1.23126769,NA,NA,NA,NA,NA,NA,NA
"FOSB",FALSE,18,"CollecTRI-ULM activity score",1.98385802,1.1465867,NA,NA,NA,NA,NA,NA,NA
"HDAC9",FALSE,15,"CollecTRI-ULM activity score",1.98380998,1.00731582,NA,NA,NA,NA,NA,NA,NA
"NFKBIZ",FALSE,6,"CollecTRI-ULM activity score",1.95881853,0.407887966,NA,NA,NA,NA,NA,NA,NA
"XBP1",FALSE,39,"CollecTRI-ULM activity score",1.94125859,1.87576584,NA,NA,NA,NA,NA,NA,NA
"CLOCK",FALSE,40,"CollecTRI-ULM activity score",1.93845243,1.90352096,NA,NA,NA,NA,NA,NA,NA
"RARA",FALSE,102,"CollecTRI-ULM activity score",1.9317334,3.16178111,NA,NA,NA,NA,NA,NA,NA
"GATA3",FALSE,115,"CollecTRI-ULM activity score",1.93172268,3.3611358,NA,NA,NA,NA,NA,NA,NA
"PHF20",FALSE,7,"CollecTRI-ULM activity score",1.92785039,0.507633698,NA,NA,NA,NA,NA,NA,NA
"SOX5",FALSE,8,"CollecTRI-ULM activity score",1.91203198,0.595113485,NA,NA,NA,NA,NA,NA,NA
"FHL2",FALSE,6,"CollecTRI-ULM activity score",1.89444041,0.407887966,NA,NA,NA,NA,NA,NA,NA
"HOXA1",FALSE,15,"CollecTRI-ULM activity score",1.88888304,1.00731582,NA,NA,NA,NA,NA,NA,NA
"VSX2",FALSE,21,"CollecTRI-ULM activity score",1.88581389,1.27096565,NA,NA,NA,NA,NA,NA,NA
"TTF1",FALSE,31,"CollecTRI-ULM activity score",1.88126271,1.61707505,NA,NA,NA,NA,NA,NA,NA
