"population","tf","target","mor","sign_decision","stat","contrib","n_regulons","n_other_regulons","selective","promiscuity_band","avg_expr","padj_gene"
"Treg","HIF1A","ERRFI1",1,"default activation",1.01079058,1.01079058,4,3,FALSE,"<=5",-1.81611849,0.464467327
"Treg","HIF1A","FAM162A",1,"PMID",0.976252529,0.976252529,1,0,TRUE,"<=1",6.07548943,0.480383795
"Treg","HIF1A","JUN",1,"default activation",0.951903632,0.951903632,96,95,FALSE,">25",7.43886294,0.502477885
"Treg","HIF1A","DDX3X",1,"default activation",0.938537362,0.938537362,3,2,FALSE,"<=5",6.85797725,0.4989555
"Treg","HIF1A","CAD",1,"default activation",0.937062564,0.937062564,8,7,FALSE,"<=10",3.10291706,0.499590389
"Treg","HIF1A","KDM6B",1,"PMID",0.888162444,0.888162444,16,15,FALSE,"<=25",4.29969126,0.523485302
"Treg","HIF1A","GPR35",1,"default activation",0.88204286,0.88204286,1,0,TRUE,"<=1",-1.15846834,0.526484302
"Treg","HIF1A","ABL1",1,"default activation",0.816785904,0.816785904,26,25,FALSE,">25",1.29725686,0.560941287
"Treg","HIF1A","PSMC6",1,"default activation",0.802643169,0.802643169,7,6,FALSE,"<=10",6.57312619,0.568506901
"Treg","HIF1A","SOD2",1,"default activation",0.700478303,0.700478303,40,39,FALSE,">25",6.43491959,0.62152891
"Treg","HIF1A","CD164",1,"default activation",0.664309445,0.664309445,3,2,FALSE,"<=5",7.84396733,0.641042307
"Treg","HIF1A","HIPK2",1,"default activation",0.655836162,0.655836162,7,6,FALSE,"<=10",2.85607612,0.64529244
"Treg","HIF1A","RAC1",1,"default activation",0.625631597,0.625631597,7,6,FALSE,"<=10",5.50599949,0.662352246
"Treg","HIF1A","SAT1",1,"default activation",0.58283043,0.58283043,11,10,FALSE,"<=25",8.67264214,0.683709186
"Treg","HIF1A","IL17A",1,"default activation",0.521723677,0.521723677,53,52,FALSE,">25",-2.29098542,0.718671357
"Treg","HIF1A","CCNA2",1,"PMID",0.48662535,0.48662535,55,54,FALSE,">25",2.90568611,0.741160318
"Treg","HIF1A","CEBPA",-1,"PMID",-0.47690603,0.47690603,56,55,FALSE,">25",-0.350380422,0.741799165
"Treg","HIF1A","MAPK1",1,"default activation",0.466919358,0.466919358,58,57,FALSE,">25",4.19147708,0.747539341
"Treg","HIF1A","BAX",1,"PMID",0.401128631,0.401128631,63,62,FALSE,">25",6.55427628,0.784830736
"Treg","HIF1A","BRCA1",1,"default activation",0.389304193,0.389304193,68,67,FALSE,">25",2.27976436,0.794993252
"Treg","HIF1A","CARM1",1,"default activation",0.375634104,0.375634104,23,22,FALSE,"<=25",1.85747164,0.798722827
