population,tf,network_symbol,matrix_symbol,mor,resolution,focus_tf
Treg,CTNNB1,CRYBG1,AIM1,1,accepted,FALSE
Treg,CTNNB1,HYCC1,FAM126A,-1,accepted,FALSE
Treg,GLI2,DLX5,SHFM1,-1,accepted,FALSE
Treg,GLI2,SPART,SPG20,1,accepted,FALSE
Treg,FOXO1,NOCT,CCRN4L,1,accepted,FALSE
Treg,FOXO1,TCAF1,FAM115A,1,accepted,FALSE
Treg,FOXO1,RACK1,GNB2L1,1,accepted,FALSE
Treg,FOXO1,RARS1,RARS,1,accepted,FALSE
Treg,TP53,PIDD1,PIDD,1,accepted,FALSE
Treg,MYC,CRYBG1,AIM1,1,accepted,FALSE
Treg,MYC,GCN1,GCN1L1,-1,accepted,FALSE
Treg,HNF1A,MIA2,CTAGE5,1,accepted,FALSE
Treg,YY1,PTPA,PPP2R4,1,accepted,FALSE
Treg,E2F1,H2AC17,HIST1H2AM,1,accepted,FALSE
Treg,ETS1,PTPA,PPP2R4,1,accepted,FALSE
Treg,HBP1,H1-5,HIST1H1B,1,accepted,FALSE
Treg,RB1,H1-5,HIST1H1B,1,accepted,FALSE
Treg,RARB,PLAAT4,RARRES3,1,accepted,FALSE
Treg,DDIT3,ERO1A,ERO1L,1,accepted,FALSE
Treg,PGR,HYAL1,NAT6,-1,accepted,FALSE
Treg,GATA3,POLR1F,TWISTNB,1,accepted,FALSE
Treg,MTA3,POLR1F,TWISTNB,1,accepted,FALSE
Treg,PPARG,BMAL1,ARNTL,1,accepted,FALSE
Treg,ATF4,CARS1,CARS,1,accepted,FALSE
Treg,ATF4,LARS1,LARS,1,accepted,FALSE
Treg,ATF4,NARS1,NARS,1,accepted,FALSE
Treg,ATF4,IARS1,IARS,1,accepted,FALSE
Treg,PPARGC1A,BMAL1,ARNTL,1,accepted,FALSE
Treg,RORC,BMAL1,ARNTL,1,accepted,FALSE
Treg,RORB,BMAL1,ARNTL,1,accepted,FALSE
Treg,TBX22,DLX5,SHFM1,-1,accepted,FALSE
