tf,regulon_size,ulm_score,ulm_rank,ulm_padj,fgsea_nes,fgsea_rank,fgsea_set_size,fgsea_padj,population,focus_tf,log_size,ulm_score_size_expected,ulm_score_size_residual,fgsea_nes_size_expected,fgsea_nes_size_residual,ulm_score_size_residual_rank,fgsea_nes_size_residual_rank,n_tfs_ulm_ranked,n_tfs_fgsea_ranked
ZFHX3,6,2.24266982,188,0.0730983156,1.43788653,273,6,0.275007078,Treg,FALSE,0.77815125,0.407887966,1.83478185,0.562778809,0.875107721,83,51,601,592
MAFA,7,2.23926653,189,0.0733868345,1.53389474,217,7,0.193550393,Treg,FALSE,0.84509804,0.507633698,1.73163283,0.642701868,0.891192872,93,47,601,592
NFIC,40,2.23233202,190,0.0743520729,1.94800618,57,40,0.00553949323,Treg,FALSE,1.60205999,1.90352096,0.328811063,1.47004572,0.477960459,243,163,601,592
SMAD2,51,2.23017165,191,0.0744079651,1.51851859,229,51,0.113676557,Treg,FALSE,1.70757018,2.19007794,0.0400937183,1.54939241,-0.0308738186,281,396,601,592
SMAD5,20,2.22724395,192,0.0744947221,1.80626816,101,20,0.0336018073,Treg,FALSE,1.30103,1.23126769,0.995976259,1.19032524,0.615942924,157,116,601,592
ARID1A,6,2.22600406,193,0.0744947221,1.36021443,315,6,0.358569682,Treg,FALSE,0.77815125,0.407887966,1.81811609,0.562778809,0.797435621,87,76,601,592
MEF2A,59,2.20931391,194,0.0770223905,1.37058132,309,60,0.220138639,Treg,FALSE,1.77085201,2.39072239,-0.18140848,1.59448623,-0.223904905,315,456,601,592
STAT2,29,2.20746928,195,0.0770223905,1.46898697,258,29,0.19375621,Treg,FALSE,1.462398,1.54698167,0.660487607,1.34409339,0.12489358,200,322,601,592
FLI1,57,2.20297601,196,0.0775221766,1.57511777,195,57,0.0760032944,Treg,FALSE,1.75587486,2.34275786,-0.139781846,1.58014118,-0.00502341253,308,381,601,592
EGR2,54,2.20127874,197,0.0775221766,1.68883886,151,54,0.0349062482,Treg,FALSE,1.73239376,2.26782428,-0.0665455462,1.56526461,0.123574251,294,324,601,592
RORC,14,2.16316147,198,0.0849903994,1.79324164,105,15,0.0395173426,Treg,FALSE,1.14612804,0.961554623,1.20160685,1.04901258,0.744229057,138,85,601,592
USF1,127,2.13919945,199,0.0898363927,1.50595662,240,128,0.0517398146,Treg,FALSE,2.10380372,3.53427643,-1.39507698,1.82419219,-0.318235572,492,474,601,592
HOXB2,5,2.11874346,200,0.0940915629,1.47963555,253,5,0.225296534,Treg,FALSE,0.698970004,0.294075668,1.8246678,0.468560678,1.01107487,85,26,601,592
MAFK,18,2.11316626,201,0.0949640128,1.84554976,85,18,0.0260832046,Treg,FALSE,1.25527251,1.1465867,0.966579554,1.1442887,0.701261061,162,91,601,592
POU1F1,25,2.08272827,202,0.101880726,1.34925955,320,25,0.309400086,Treg,FALSE,1.39794001,1.41401797,0.668710299,1.28099249,0.0682670571,196,349,601,592
MTF1,26,2.06826095,203,0.105063001,1.51539896,231,27,0.160134071,Treg,FALSE,1.41497335,1.4462279,0.622033054,1.31408327,0.201315691,205,286,601,592
ZNF350,7,2.06594003,204,0.105181771,1.69907155,139,7,0.0663767037,Treg,FALSE,0.84509804,0.507633698,1.55830633,0.642701868,1.05636968,106,15,601,592
PREB,9,2.0465153,205,0.109754832,1.32009409,325,9,0.386090591,Treg,FALSE,0.954242509,0.673156788,1.37335851,0.773952919,0.546141171,126,145,601,592
ARX,12,2.01743903,206,0.117164861,1.71549238,128,13,0.0714747655,Treg,FALSE,1.07918125,0.865637847,1.15180118,0.970288406,0.745203974,145,84,601,592
MEF2D,18,2.01052217,207,0.118584237,1.62138096,174,18,0.110876376,Treg,FALSE,1.25527251,1.1465867,0.863935461,1.1442887,0.477092261,171,164,601,592
OLIG2,10,2.00584191,208,0.119381804,1.85709569,84,10,0.023758575,Treg,FALSE,1,0.74342295,1.26241896,0.829402039,1.02769365,132,21,601,592
PPARGC1A,19,1.99764336,209,0.121191935,1.60647167,180,20,0.115678687,Treg,FALSE,1.2787536,1.18983492,0.807808439,1.19032524,0.416146434,176,179,601,592
BCL3,20,1.99107164,210,0.122552385,1.83957335,90,20,0.0263796701,Treg,FALSE,1.30103,1.23126769,0.759803951,1.19032524,0.649248114,182,106,601,592
FOSB,18,1.98385802,211,0.123587891,1.57403741,196,19,0.140033174,Treg,FALSE,1.25527251,1.1465867,0.837271321,1.16853662,0.405500786,173,185,601,592
HDAC9,15,1.98380998,212,0.123587891,-1.43800982,587,15,0.260449272,Treg,FALSE,1.17609126,1.00731582,0.976494162,1.04901258,-2.4870224,159,589,601,592
NFKBIZ,6,1.95881853,213,0.130486905,1.37885005,305,6,0.339138686,Treg,FALSE,0.77815125,0.407887966,1.55093056,0.562778809,0.816071241,108,69,601,592
XBP1,39,1.94125859,214,0.135346661,1.06942071,408,39,0.603739037,Treg,FALSE,1.59106461,1.87576584,0.0654927519,1.46043271,-0.391012004,274,489,601,592
CLOCK,40,1.93845243,215,0.135645774,1.42759292,279,43,0.198554989,Treg,FALSE,1.60205999,1.90352096,0.0349314687,1.49669654,-0.0691036199,282,410,601,592
RARA,102,1.9317334,216,0.13660322,1.3736695,308,103,0.164478569,Treg,FALSE,2.00860017,3.16178111,-1.2300477,1.76038992,-0.386720422,469,487,601,592
GATA3,115,1.93172268,217,0.13660322,1.69381828,146,118,0.00763114707,Treg,FALSE,2.06069784,3.3611358,-1.42941312,1.80048273,-0.106664449,494,422,601,592
PHF20,7,1.92785039,218,0.137246867,1.45176155,267,7,0.264665486,Treg,FALSE,0.84509804,0.507633698,1.4202167,0.642701868,0.809059682,121,72,601,592
SOX5,8,1.91203198,219,0.141735798,1.36456208,312,8,0.351533774,Treg,FALSE,0.903089987,0.595113485,1.31691849,0.712199922,0.652362158,129,105,601,592
FHL2,6,1.89444041,220,0.14693483,1.51097999,233,6,0.20411445,Treg,FALSE,0.77815125,0.407887966,1.48655244,0.562778809,0.948201181,113,32,601,592
HOXA1,15,1.88888304,221,0.148183358,1.259152,343,15,0.430967633,Treg,FALSE,1.17609126,1.00731582,0.881567223,1.04901258,0.210139417,167,282,601,592
VSX2,21,1.88581389,222,0.148599071,1.50776196,239,21,0.18030468,Treg,FALSE,1.32221929,1.27096565,0.614848236,1.21031357,0.29744839,206,241,601,592
TTF1,31,1.88126271,223,0.149519145,1.38155212,303,32,0.263383211,Treg,FALSE,1.49136169,1.61707505,0.264187661,1.3839096,-0.00235748177,249,380,601,592
GTF3A,17,1.84728887,224,0.159428487,1.4241061,286,17,0.264632902,Treg,FALSE,1.23044892,1.1014466,0.745842272,1.1167292,0.307376901,184,237,601,592
NFYB,30,1.84000854,225,0.161382345,1.27957334,337,30,0.370932102,Treg,FALSE,1.47712125,1.58198729,0.258021248,1.35798529,-0.0784119506,251,415,601,592
PPARG,213,1.8361946,226,0.162099175,2.15120494,19,222,7.93452618e-9,Treg,FALSE,2.3283796,4.52912094,-2.69292634,1.98269419,0.168510751,564,308,601,592
E2F1,251,1.83433332,227,0.162113658,0.971111343,440,255,0.751526375,Treg,FALSE,2.39967372,4.86738611,-3.0330528,2.02300311,-1.05189176,579,512,601,592
NOTCH1,39,1.82748835,228,0.163936457,1.24564894,348,39,0.391656567,Treg,FALSE,1.59106461,1.87576584,-0.0482774948,1.46043271,-0.214783774,292,451,601,592
NFYA,70,1.81704718,229,0.166431961,1.4244492,283,71,0.15701209,Treg,FALSE,1.84509804,2.61942361,-0.802376436,1.64623091,-0.221781714,415,453,601,592
THRA,40,1.79645939,230,0.173459232,1.38999606,297,41,0.234704178,Treg,FALSE,1.60205999,1.90352096,-0.10706157,1.47940821,-0.0894121451,306,419,601,592
NR1H4,61,1.79192705,231,0.17380598,1.59825308,186,62,0.06033747,Treg,FALSE,1.78532984,2.43687983,-0.644952786,1.60392864,-0.00567556254,391,382,601,592
ETV5,9,1.78958325,232,0.174012084,1.4856313,246,9,0.231279355,Treg,FALSE,0.954242509,0.673156788,1.11642646,0.773952919,0.711678381,148,89,601,592
SOX6,13,1.78716751,233,0.174247694,1.70413417,134,13,0.0772449318,Treg,FALSE,1.11394335,0.915255263,0.871912247,0.970288406,0.733845764,168,87,601,592
NFYC,18,1.77604866,234,0.177827016,1.10485332,399,18,0.580070053,Treg,FALSE,1.25527251,1.1465867,0.62946196,1.1442887,-0.0394353788,203,400,601,592
PGR,77,1.73801886,235,0.192295404,1.92013,68,78,0.00121684901,Treg,FALSE,1.88649073,2.74353891,-1.00552004,1.67583895,0.244291048,437,266,601,592
BRCA1,47,1.73516359,236,0.192724961,1.71030407,131,47,0.0316567778,Treg,FALSE,1.67209786,2.08424867,-0.349085078,1.52556832,0.184735746,349,295,601,592
KDM2A,7,1.68692164,237,0.211291715,1.52719548,226,7,0.199210361,Treg,FALSE,0.84509804,0.507633698,1.17928794,0.642701868,0.884493612,143,48,601,592
DMAP1,5,1.68630703,238,0.211291715,1.25007756,347,5,0.479537584,Treg,FALSE,0.698970004,0.294075668,1.39223136,0.468560678,0.781516882,123,79,601,592
MYF5,11,1.67718042,239,0.213730991,1.48223096,250,11,0.230205723,Treg,FALSE,1.04139269,0.808427386,0.868753034,0.879981683,0.602249277,169,124,601,592
HDAC3,17,1.65996245,240,0.21859387,0.951686214,445,17,0.741652049,Treg,FALSE,1.23044892,1.1014466,0.558515848,1.1167292,-0.165042985,213,436,601,592
KLF9,13,1.65974003,241,0.21859387,1.59662416,187,13,0.139742933,Treg,FALSE,1.11394335,0.915255263,0.744484768,0.970288406,0.626335754,185,111,601,592
TFE3,26,1.65916143,242,0.21859387,1.15484781,381,26,0.517197966,Treg,FALSE,1.41497335,1.4462279,0.212933527,1.29778441,-0.142936603,258,429,601,592
PAX5,38,1.65878305,243,0.21859387,1.64340484,163,38,0.0664086541,Treg,FALSE,1.5797836,1.846813,-0.188029948,1.45054711,0.192857729,317,292,601,592
IRF8,50,1.65358896,244,0.219213598,1.2400132,352,50,0.381278745,Treg,FALSE,1.69897,2.16373667,-0.510147711,1.54377795,-0.303764753,376,469,601,592
RARG,13,1.64190343,245,0.222295962,1.45370885,266,13,0.250604116,Treg,FALSE,1.11394335,0.915255263,0.726648165,0.970288406,0.483420444,188,161,601,592
MBD1,13,1.63817409,246,0.222295962,0.786873895,491,13,0.881921128,Treg,FALSE,1.11394335,0.915255263,0.722918827,0.970288406,-0.183414511,190,441,601,592
SALL2,5,1.63669774,247,0.222295962,1.29610178,330,5,0.430790351,Treg,FALSE,0.698970004,0.294075668,1.34262207,0.468560678,0.827541102,127,66,601,592
IRF6,7,1.62129084,248,0.226948416,1.31407256,326,7,0.40434108,Treg,FALSE,0.84509804,0.507633698,1.11365714,0.642701868,0.671370692,149,98,601,592
HIPK2,6,1.59839949,249,0.236903149,1.42560735,281,6,0.288041322,Treg,FALSE,0.77815125,0.407887966,1.19051152,0.562778809,0.862828541,142,55,601,592
SIX1,7,1.59596932,250,0.237024682,1.46720718,261,7,0.25047896,Treg,FALSE,0.84509804,0.507633698,1.08833562,0.642701868,0.824505312,150,67,601,592
NCOR2,41,1.59461088,251,0.237024682,1.2654201,340,41,0.366190693,Treg,FALSE,1.61278386,1.93003919,-0.335428308,1.47940821,-0.213988105,348,450,601,592
NOTO,8,1.57503327,252,0.245666988,1.39847899,293,8,0.319469463,Treg,FALSE,0.903089987,0.595113485,0.979919787,0.712199922,0.686279068,158,96,601,592
SOX4,12,1.57030475,253,0.246932749,1.2420261,351,12,0.456411708,Treg,FALSE,1.07918125,0.865637847,0.704666903,0.926747816,0.315278284,192,231,601,592
SP4,27,1.56892928,254,0.246932749,1.51632286,230,27,0.159777749,Treg,FALSE,1.43136376,1.47864601,0.0902832739,1.31408327,0.202239591,272,285,601,592
FOXO4,22,1.5579356,255,0.25013644,1.56133969,205,22,0.140493214,Treg,FALSE,1.34242268,1.30901041,0.248925187,1.2290145,0.332325191,254,224,601,592
SRY,17,1.55718358,256,0.25013644,1.49483192,243,18,0.199642366,Treg,FALSE,1.23044892,1.1014466,0.455736982,1.1442887,0.350543221,227,215,601,592
PAX6,64,1.54550441,257,0.255105533,1.4588144,265,64,0.139032521,Treg,FALSE,1.80617997,2.5024472,-0.95694279,1.61336948,-0.154555078,430,433,601,592
NR2F6,7,1.53593057,258,0.259070537,-0.552805066,515,7,0.989811085,Treg,FALSE,0.84509804,0.507633698,1.02829687,0.642701868,-1.19550693,154,513,601,592
PITX1,15,1.53262499,259,0.259861791,-1.0559123,566,15,0.633461498,Treg,FALSE,1.17609126,1.00731582,0.525309175,1.04901258,-2.10492488,216,580,601,592
PAX3,51,1.51746628,260,0.265863432,1.11119213,398,51,0.541737028,Treg,FALSE,1.70757018,2.19007794,-0.672611654,1.54939241,-0.438200279,396,497,601,592
NCOR1,54,1.51190258,261,0.26784749,1.72779393,123,56,0.0230691454,Treg,FALSE,1.73239376,2.26782428,-0.755921699,1.57526151,0.152532425,408,312,601,592
KLF1,13,1.50270554,262,0.271753297,1.28037535,336,13,0.412647838,Treg,FALSE,1.11394335,0.915255263,0.587450279,0.970288406,0.310086944,209,233,601,592
KDM5B,17,1.48874484,263,0.276373192,1.20089584,365,17,0.485039333,Treg,FALSE,1.23044892,1.1014466,0.387298243,1.1167292,0.0841666405,232,342,601,592
HOXC6,5,1.48586363,264,0.276979762,1.25565549,344,5,0.47393103,Treg,FALSE,0.698970004,0.294075668,1.19178796,0.468560678,0.787094812,141,78,601,592
SMARCA4,9,1.46919849,265,0.283221308,1.71539434,129,9,0.0664806216,Treg,FALSE,0.954242509,0.673156788,0.796041705,0.773952919,0.941441421,178,35,601,592
HNF1B,14,1.46878659,266,0.283221308,1.38062914,304,14,0.313816125,Treg,FALSE,1.14612804,0.961554623,0.507231964,1.01094486,0.369684277,219,207,601,592
HNF1A,49,1.4672978,267,0.283221308,-0.974051062,556,50,0.722452395,Treg,FALSE,1.69019608,2.13727318,-0.669975375,1.54377795,-2.51782902,395,590,601,592
MEIS1,16,1.4545834,268,0.289208049,1.65830992,158,16,0.0969037215,Treg,FALSE,1.20411998,1.05434751,0.40023589,1.08474741,0.573562506,231,137,601,592
DEAF1,6,1.44636527,269,0.291824257,1.11569122,394,6,0.602383227,Treg,FALSE,0.77815125,0.407887966,1.0384773,0.562778809,0.552912411,153,141,601,592
NFIA,30,1.41169825,270,0.3083037,1.65024068,162,30,0.0755379366,Treg,FALSE,1.47712125,1.58198729,-0.170289044,1.35798529,0.292255389,313,245,601,592
NKX2-1,34,1.41067368,271,0.3083037,1.23497754,353,35,0.41094936,Treg,FALSE,1.53147892,1.72027635,-0.309602672,1.41899447,-0.184016926,345,442,601,592
KLF6,39,1.41016829,272,0.3083037,1.80745305,99,39,0.0159585167,Treg,FALSE,1.59106461,1.87576584,-0.465597555,1.46043271,0.347020336,364,218,601,592
NRG1,25,1.38896958,273,0.317574755,1.25359346,345,25,0.40866597,Treg,FALSE,1.39794001,1.41401797,-0.0250483922,1.28099249,-0.0273990329,287,395,601,592
E2F4,153,1.3867409,274,0.317604768,1.0493616,416,160,0.599654651,Treg,FALSE,2.18469143,3.87669691,-2.48995601,1.88855029,-0.839188689,555,510,601,592
GTF2I,18,1.38545127,275,0.317604768,1.36431386,313,19,0.31348528,Treg,FALSE,1.25527251,1.1465867,0.238864561,1.16853662,0.195777236,256,290,601,592
ZFX,5,1.37982318,276,0.319890612,1.50991826,235,5,0.195044573,Treg,FALSE,0.698970004,0.294075668,1.08574752,0.468560678,1.04135758,151,19,601,592
SOX2,30,1.36961909,277,0.324897196,1.81891734,94,30,0.020743728,Treg,FALSE,1.47712125,1.58198729,-0.212368203,1.35798529,0.460932049,323,168,601,592
MAFG,8,1.35634604,278,0.331803133,1.13192435,389,8,0.573995647,Treg,FALSE,0.903089987,0.595113485,0.761232557,0.712199922,0.419724428,181,178,601,592
SATB1,34,1.33606902,279,0.342466837,1.90114339,74,34,0.00647772935,Treg,FALSE,1.53147892,1.72027635,-0.38420733,1.40774231,0.493401077,354,155,601,592
RORA,38,1.32757113,280,0.344065926,1.4456383,271,39,0.189264892,Treg,FALSE,1.5797836,1.846813,-0.519241865,1.46043271,-0.0147944136,378,386,601,592
MYOG,29,1.32340432,281,0.345570483,1.69122214,149,29,0.0594335716,Treg,FALSE,1.462398,1.54698167,-0.223577351,1.34409339,0.34712875,325,217,601,592
ESRRB,8,1.31972607,282,0.346777142,1.40944878,289,8,0.30949265,Treg,FALSE,0.903089987,0.595113485,0.724612585,0.712199922,0.697248858,189,92,601,592
ARID3B,5,1.31181155,283,0.350623848,1.40224904,291,5,0.310412788,Treg,FALSE,0.698970004,0.294075668,1.01773588,0.468560678,0.933688362,155,38,601,592
PLAGL2,5,1.30704308,284,0.352524392,1.19224582,367,5,0.53799078,Treg,FALSE,0.698970004,0.294075668,1.01296741,0.468560678,0.723685142,156,88,601,592
BATF,15,1.28933846,285,0.361691998,1.50851414,238,15,0.201812663,Treg,FALSE,1.17609126,1.00731582,0.282022644,1.04901258,0.459501557,248,169,601,592
PRDM2,8,1.28816631,286,0.361691998,0.790623373,489,9,0.870156581,Treg,FALSE,0.903089987,0.595113485,0.693052829,0.773952919,0.0166704542,193,371,601,592
ETV6,14,1.28474119,287,0.362246374,1.66588656,157,14,0.0957356137,Treg,FALSE,1.14612804,0.961554623,0.323186571,1.01094486,0.654941697,244,102,601,592
TEAD1,13,1.27794229,288,0.365486017,1.07116341,406,13,0.623934563,Treg,FALSE,1.11394335,0.915255263,0.362687029,0.970288406,0.100875004,235,332,601,592
HOXD3,7,1.27520314,289,0.36613665,1.19060304,368,7,0.527964255,Treg,FALSE,0.84509804,0.507633698,0.767569441,0.642701868,0.547901172,180,143,601,592
PROP1,5,1.25805983,290,0.374362724,1.2770042,338,5,0.452878101,Treg,FALSE,0.698970004,0.294075668,0.963984167,0.468560678,0.808443522,163,73,601,592
KLF2,44,1.25360535,291,0.375636488,1.55482928,209,44,0.104048848,Treg,FALSE,1.64345268,2.0057221,-0.752116747,1.50454176,0.0502875169,407,358,601,592
NKX2-5,31,1.23643266,292,0.385080308,1.39561758,294,31,0.250645691,Treg,FALSE,1.49136169,1.61707505,-0.380642395,1.37123608,0.0243815019,353,369,601,592
NEUROD2,6,1.22605261,293,0.390383194,0.9784963,437,6,0.721367154,Treg,FALSE,0.77815125,0.407887966,0.81816464,0.562778809,0.415717491,174,181,601,592
EZH2,92,1.21731183,294,0.391866289,1.65090048,161,94,0.0241488189,Treg,FALSE,1.96378783,2.99983561,-1.78252378,1.73301399,-0.0821135083,521,417,601,592
PEG3,6,1.21694896,295,0.391866289,0.918465093,455,6,0.768671294,Treg,FALSE,0.77815125,0.407887966,0.809060992,0.562778809,0.355686284,175,213,601,592
SNAI1,60,1.21084531,296,0.394799589,2.00356165,45,60,0.0012847606,Treg,FALSE,1.77815125,2.41403622,-1.20319091,1.59448623,0.409075425,467,183,601,592
GATA2,54,1.20684259,297,0.396334528,1.01071564,425,56,0.678472179,Treg,FALSE,1.73239376,2.26782428,-1.06098169,1.57526151,-0.564545865,445,504,601,592
BCL11B,16,1.19813522,298,0.401045331,2.07237332,33,16,0.00239384127,Treg,FALSE,1.20411998,1.05434751,0.143787711,1.08474741,0.987625906,266,29,601,592
TBPL1,26,1.19263695,299,0.403608402,1.48310324,249,27,0.18444948,Treg,FALSE,1.41497335,1.4462279,-0.253590951,1.31408327,0.169019971,331,307,601,592
MAFB,24,1.18814143,300,0.405498591,0.906953861,462,24,0.786535953,Treg,FALSE,1.38021124,1.38046,-0.192318564,1.26407253,-0.357118673,318,482,601,592
TEAD4,7,1.18136094,301,0.408954567,0.913289714,458,7,0.772002347,Treg,FALSE,0.84509804,0.507633698,0.673727238,0.642701868,0.270587846,194,254,601,592
MEF2C,28,1.12743253,302,0.444464294,1.1683653,379,30,0.496190315,Treg,FALSE,1.44715803,1.51239733,-0.384964809,1.35798529,-0.189619991,355,444,601,592
FOXD3,8,1.11741051,303,0.450473445,1.18107939,372,8,0.532341228,Treg,FALSE,0.903089987,0.595113485,0.52229702,0.712199922,0.468879468,217,166,601,592
RUNX3,55,1.1134319,304,0.452098593,1.49261278,244,55,0.12654701,Treg,FALSE,1.74036269,2.29316309,-1.17973119,1.57030832,-0.0776955393,463,414,601,592
LITAF,18,1.09860482,305,0.461716336,1.08459554,402,18,0.603923306,Treg,FALSE,1.25527251,1.1465867,-0.0479818881,1.1442887,-0.0596931588,291,406,601,592
GABPA,36,1.08752094,306,0.467337224,1.16358874,380,37,0.4911516,Treg,FALSE,1.5563025,1.78553283,-0.698011892,1.44036435,-0.276775609,401,461,601,592
SMARCC1,6,1.07283068,307,0.477038426,1.13372354,388,6,0.583582021,Treg,FALSE,0.77815125,0.407887966,0.664942716,0.562778809,0.570944731,198,138,601,592
CREM,58,1.05907923,308,0.486141809,1.65205884,160,58,0.0436848623,Treg,FALSE,1.76342799,2.3669561,-1.30787688,1.58496277,0.0670960726,478,351,601,592
EBF1,17,1.05545318,309,0.487557199,1.39223333,295,17,0.293589726,Treg,FALSE,1.23044892,1.1014466,-0.0459934209,1.1167292,0.275504131,290,251,601,592
EHF,7,1.0505724,310,0.489937141,1.3843468,301,7,0.331649182,Treg,FALSE,0.84509804,0.507633698,0.542938697,0.642701868,0.741644932,214,86,601,592
IRX1,6,1.04757631,311,0.490408163,-1.03374837,563,6,0.680847096,Treg,FALSE,0.77815125,0.407887966,0.639688342,0.562778809,-1.59652718,202,544,601,592
NFIB,9,1.04641556,312,0.490408163,1.01094207,424,9,0.689232052,Treg,FALSE,0.954242509,0.673156788,0.373258776,0.773952919,0.236989151,234,273,601,592
SPDEF,11,1.0421718,313,0.492306809,1.92140405,64,11,0.0120495077,Treg,FALSE,1.04139269,0.808427386,0.233744411,0.879981683,1.04142237,257,18,601,592
HES1,55,1.03676364,314,0.494462621,1.69264394,147,55,0.0346213686,Treg,FALSE,1.74036269,2.29316309,-1.25639945,1.57030832,0.122335621,471,326,601,592
E2F5,9,1.03572764,315,0.494462621,-0.997680936,561,9,0.701732303,Treg,FALSE,0.954242509,0.673156788,0.36257085,0.773952919,-1.77163385,236,557,601,592
NR6A1,5,1.02728909,316,0.498325801,-1.11362547,571,5,0.61142664,Treg,FALSE,0.698970004,0.294075668,0.733213419,0.468560678,-1.58218615,186,542,601,592
PLAG1,5,1.02253525,317,0.500635138,1.12301919,391,5,0.603596722,Treg,FALSE,0.698970004,0.294075668,0.728459584,0.468560678,0.654458512,187,104,601,592
ZNF331,17,1.01213695,318,0.50230079,-0.574585061,518,17,0.993486089,Treg,FALSE,1.23044892,1.1014466,-0.0893096501,1.1167292,-1.69131426,302,550,601,592
FOSL2,22,1.01131166,319,0.50230079,1.83354635,91,22,0.0250070732,Treg,FALSE,1.34242268,1.30901041,-0.297698751,1.2290145,0.604531851,339,122,601,592
NR5A1,50,1.00855135,320,0.50230079,1.06540925,410,50,0.604454923,Treg,FALSE,1.69897,2.16373667,-1.15518531,1.54377795,-0.478368703,461,500,601,592
KAT2B,12,1.00641032,321,0.50230079,1.53096571,223,12,0.191027783,Treg,FALSE,1.07918125,0.865637847,0.140772477,0.926747816,0.604217894,267,123,601,592
NR1I2,156,1.0063775,322,0.50230079,1.26063659,342,161,0.248562853,Treg,FALSE,2.1931246,3.91357177,-2.90719427,1.89033878,-0.62970219,574,506,601,592
DAXX,5,0.999494349,323,0.50626287699999994,-1.26019373,580,5,0.453699166,Treg,FALSE,0.698970004,0.294075668,0.705418681,0.468560678,-1.72875441,191,553,601,592
NKX2-2,10,0.995433947,324,0.506780873,1.00290489,428,10,0.69770499,Treg,FALSE,1,0.74342295,0.252010997,0.829402039,0.173502851,252,305,601,592
TFAM,10,0.99534862,325,0.506780873,1.2224547,356,10,0.479424906,Treg,FALSE,1,0.74342295,0.25192567,0.829402039,0.393052661,253,197,601,592
ING4,11,0.980554485,326,0.516309277,1.56388487,203,11,0.1660493,Treg,FALSE,1.04139269,0.808427386,0.172127098,0.879981683,0.683903187,262,97,601,592
SRSF2,11,0.979579067,327,0.516309277,0.864192543,477,11,0.816166043,Treg,FALSE,1.04139269,0.808427386,0.17115168,0.879981683,-0.0157891396,263,387,601,592
NR5A2,27,0.972823573,328,0.519225238,1.02734009,422,27,0.664578464,Treg,FALSE,1.43136376,1.47864601,-0.505822434,1.31408327,-0.286743179,374,465,601,592
PRDM1,45,0.969133904,329,0.520389512,1.5852562,190,46,0.0820732757,Treg,FALSE,1.65321251,2.03163353,-1.06249963,1.5189278,0.0663283957,446,352,601,592
FOXO3,139,0.965644873,330,0.520804761,1.56907115,200,139,0.024702597,Treg,FALSE,2.1430148,3.69760314,-2.73195826,1.84806154,-0.278990391,566,463,601,592
HOXD1,5,0.957910583,331,0.523744229,0.808776957,484,6,0.852925736,Treg,FALSE,0.698970004,0.294075668,0.663834916,0.562778809,0.245998148,199,265,601,592
E2F3,59,0.945798598,332,0.529667438,1.21666742,359,59,0.397959698,Treg,FALSE,1.77085201,2.39072239,-1.44492379,1.58974023,-0.373072808,495,485,601,592
FOXA2,42,0.944421541,333,0.529667438,1.1418451,385,42,0.51360822800000006,Treg,FALSE,1.62324929,1.95529145,-1.01086991,1.48834047,-0.346495368,439,480,601,592
HOXA9,25,0.942395362,334,0.529667438,0.958241681,443,25,0.738295477,Treg,FALSE,1.39794001,1.41401797,-0.471622609,1.28099249,-0.322750812,366,475,601,592
KLF4,74,0.941714828,335,0.529667438,1.95338635,54,74,7.74942776e-4,Treg,FALSE,1.86923172,2.69061895,-1.74890412,1.65933485,0.294051499,518,242,601,592
SPIC,5,0.939120678,336,0.530351983,1.17144513,377,5,0.55673892,Treg,FALSE,0.698970004,0.294075668,0.64504501,0.468560678,0.702884452,201,90,601,592
FOXN1,29,0.930501111,337,0.535769037,1.05630092,414,30,0.623949875,Treg,FALSE,1.462398,1.54698167,-0.616480557,1.35798529,-0.301684371,387,468,601,592
POU3F1,8,0.926938939,338,0.537218451,0.89585968,467,8,0.784872191,Treg,FALSE,0.903089987,0.595113485,0.331825454,0.712199922,0.183659758,242,297,601,592
LHX8,5,0.918708033,339,0.542359564,1.0072876100000001,426,5,0.705555334,Treg,FALSE,0.698970004,0.294075668,0.624632365,0.468560678,0.538726932,204,147,601,592
ERF,12,0.912660515,340,0.544681706,-0.95735068,553,12,0.73342916,Treg,FALSE,1.07918125,0.865637847,0.0470226673,0.926747816,-1.8840985,279,566,601,592
KLF13,9,0.912330169,341,0.544681706,1.62146653,173,9,0.124903589,Treg,FALSE,0.954242509,0.673156788,0.239173381,0.773952919,0.847513611,255,59,601,592
HDGF,6,0.903863623,342,0.547303604,0.956180756,444,6,0.74065995,Treg,FALSE,0.77815125,0.407887966,0.495975657,0.562778809,0.393401947,222,196,601,592
KLF10,19,0.897916013,343,0.549201563,1.42123186,288,20,0.25453577,Treg,FALSE,1.2787536,1.18983492,-0.291918911,1.19032524,0.230906624,338,276,601,592
ZNF362,13,0.896325739,344,0.549201563,0.976001381,439,13,0.718898221,Treg,FALSE,1.11394335,0.915255263,-0.0189295239,0.970288406,0.00571297538,286,378,601,592
SOX11,6,0.885679781,345,0.554836985,1.38178233,302,6,0.335267274,Treg,FALSE,0.77815125,0.407887966,0.477791815,0.562778809,0.819003521,224,68,601,592
SOX9,44,0.884460917,346,0.554836985,1.72408527,124,44,0.0306240494,Treg,FALSE,1.64345268,2.0057221,-1.12126118,1.50454176,0.219543507,452,281,601,592
RCOR2,13,0.879368941,347,0.555875694,0.994929964,430,13,0.703055512,Treg,FALSE,1.11394335,0.915255263,-0.035886322,0.970288406,0.0246415584,288,368,601,592
SPIB,12,0.870951719,348,0.56098904,1.76970879,110,12,0.0516388886,Treg,FALSE,1.07918125,0.865637847,0.00531387209,0.926747816,0.842960974,283,61,601,592
