tf,regulon_size,ulm_score,ulm_rank,ulm_padj,fgsea_nes,fgsea_rank,fgsea_set_size,fgsea_padj,population,focus_tf,log_size,ulm_score_size_expected,ulm_score_size_residual,fgsea_nes_size_expected,fgsea_nes_size_residual,ulm_score_size_residual_rank,fgsea_nes_size_residual_rank,n_tfs_ulm_ranked,n_tfs_fgsea_ranked
PPARD,61,3.61190411,74,0.00238074449,2.09480454,25,62,2.1333826e-4,Treg,FALSE,1.78532984,2.43687983,1.17502428,1.60392864,0.490875897,144,157,601,592
SREBF2,46,3.59328145,75,0.00252466379,1.93159465,62,46,0.00449453917,Treg,FALSE,1.66275783,2.05784436,1.53543708,1.5189278,0.412666846,110,182,601,592
HMGA1,44,3.58751813,76,0.00254838726,1.90290097,73,44,0.00643439086,Treg,FALSE,1.64345268,2.0057221,1.58179603,1.50454176,0.398359207,104,190,601,592
HOXA10,29,3.58284682,77,0.00256194037,1.80970564,98,29,0.0242104876,Treg,FALSE,1.462398,1.54698167,2.03586516,1.34409339,0.46561225,68,167,601,592
NFATC3,22,3.57008558,78,0.00265671671,1.8847479600000001,78,22,0.0169109136,Treg,FALSE,1.34242268,1.30901041,2.26107517,1.2290145,0.655733461,54,101,601,592
NFKB2,57,3.5403991,79,0.00293771348,2.18095053,13,57,4.08534837e-5,Treg,FALSE,1.75587486,2.34275786,1.19764124,1.58014118,0.600809347,140,125,601,592
FOXM1,54,3.52358584,80,0.00309266662,1.58798373,188,54,0.0708886971,Treg,FALSE,1.73239376,2.26782428,1.25576156,1.56526461,0.0227191206,134,370,601,592
POU4F1,17,3.49181225,81,0.0034431188,1.75415147,115,17,0.0501787531,Treg,FALSE,1.23044892,1.1014466,2.39036565,1.1167292,0.637422271,48,109,601,592
STAT4,26,3.48736753,82,0.00345962053,1.91888616,70,26,0.00997494234,Treg,FALSE,1.41497335,1.4462279,2.04113963,1.29778441,0.621101747,67,115,601,592
TP63,141,3.45754441,83,0.00382083967,1.67300412,154,146,0.00636947495,Treg,FALSE,2.14921911,3.72391972,-0.266375308,1.86222795,-0.189223831,335,443,601,592
FOXQ1,8,3.44072142,84,0.00401950645,1.58733813,189,8,0.149812128,Treg,FALSE,0.903089987,0.595113485,2.84560794,0.712199922,0.875138208,25,50,601,592
ETS2,70,3.4193351,85,0.00429942862,1.73198586,122,72,0.0180096995,Treg,FALSE,1.84509804,2.61942361,0.799911485,1.65067257,0.0813132878,177,343,601,592
BHLHA15,6,3.40409869,86,0.00449527261,1.52012993,227,6,0.195086394,Treg,FALSE,0.77815125,0.407887966,2.99621073,0.562778809,0.957351121,22,31,601,592
SMAD3,97,3.40058457,87,0.00450281108,1.57158101,199,97,0.0434399487,Treg,FALSE,1.98677173,3.08174256,0.318842011,1.74246242,-0.170881405,245,438,601,592
KLF7,7,3.38082007,88,0.00478603514,1.58246985,191,7,0.151672141,Treg,FALSE,0.84509804,0.507633698,2.87318637,0.642701868,0.939767982,23,36,601,592
EGR4,10,3.3771437,89,0.00479769138,1.98083887,49,11,0.00545432658,Treg,FALSE,1,0.74342295,2.63372075,0.879981683,1.10085719,34,10,601,592
TAF1,33,3.34126859,90,0.00540349039,1.50481655,241,33,0.156160202,Treg,FALSE,1.51851394,1.68642897,1.65483961,1.3960619,0.108754654,99,329,601,592
FOXP3,38,3.29258772,91,0.00636266848,2.07459786,32,41,0.00110623213,Treg,FALSE,1.5797836,1.846813,1.44577473,1.47940821,0.595189655,118,128,601,592
