tf,target,mor,sign_decision,stat,contrib,n_regulons,n_other_regulons,selective,promiscuity_band,avg_expr,log2FoldChange,padj_gene,population
HIF1A,PLAUR,1,PMID,3.96145054,3.96145054,27,26,FALSE,>25,0.897809352,2.09931517,0.015475186,Treg
HIF1A,GBE1,1,default activation,3.92876152,3.92876152,1,0,TRUE,<=1,3.39104667,0.562437545,0.0142622158,Treg
HIF1A,ZNF267,1,default activation,3.92585905,3.92585905,2,1,FALSE,<=2,5.22340842,0.458965967,0.0143088454,Treg
HIF1A,HBEGF,1,PMID,3.90080644,3.90080644,19,18,FALSE,<=25,-1.51170962,3.07988423,0.0150081143,Treg
HIF1A,HSPA1B,1,default activation,3.8638917,3.8638917,15,14,FALSE,<=25,4.15776328,1.2643268,0.0206460195,Treg
HIF1A,MATK,1,default activation,3.78052348,3.78052348,1,0,TRUE,<=1,-0.567908279,2.31839921,0.0184213937,Treg
HIF1A,EIF4E,1,default activation,3.77874953,3.77874953,9,8,FALSE,<=10,6.26809172,0.318612368,0.0168229151,Treg
HIF1A,ANG,1,default activation,3.75984834,3.75984834,11,10,FALSE,<=25,0.741374453,1.49367073,0.0171815984,Treg
HIF1A,SLC2A1,1,PMID,3.68717647,3.68717647,19,18,FALSE,<=25,3.90671174,0.505636367,0.0186182309,Treg
HIF1A,SLC11A2,1,default activation,3.67337927,3.67337927,3,2,FALSE,<=5,3.38919091,0.537388695,0.0189302379,Treg
HIF1A,ABCA1,1,PMID,3.66682622,3.66682622,42,41,FALSE,>25,1.54897682,0.79481928,0.0190777739,Treg
HIF1A,FN1,1,default activation,3.62619286,3.62619286,65,64,FALSE,>25,-1.74802651,3.92234464,0.023348234,Treg
HIF1A,NDRG1,1,PMID,3.50354574,3.50354574,20,19,FALSE,<=25,5.69561913,0.415289503,0.0231236783,Treg
HIF1A,PRDX3,1,default activation,3.44824539,3.44824539,6,5,FALSE,<=10,7.00680722,0.718210578,0.0290710929,Treg
HIF1A,ALDOA,1,PMID,3.42385183,3.42385183,11,10,FALSE,<=25,9.43531192,0.345061054,0.0254804983,Treg
HIF1A,EDNRB,1,PMID,3.40090907,3.40090907,8,7,FALSE,<=10,-2.69708606,2.6516797,0.0260233444,Treg
HIF1A,CXCR1,1,PMID,3.35189541,3.35189541,4,3,FALSE,<=5,-0.268306837,1.51933896,0.0276162722,Treg
HIF1A,HSP90B1,1,PMID,3.22104197,3.22104197,7,6,FALSE,<=10,7.91198987,0.479086918,0.0333298592,Treg
HIF1A,UCP2,1,default activation,3.20351505,3.20351505,15,14,FALSE,<=25,9.88615516,0.389638207,0.0331703163,Treg
HIF1A,BNIP3L,1,PMID,3.17775946,3.17775946,3,2,FALSE,<=5,6.40347413,0.422510499,0.034210932300000003,Treg
HIF1A,HK2,1,PMID,3.15507885,3.15507885,13,12,FALSE,<=25,1.08935238,0.63891986,0.0351061024,Treg
HIF1A,FASN,1,PMID,3.1496909300000002,3.1496909300000002,35,34,FALSE,>25,2.73540405,0.559041635,0.035342495,Treg
HIF1A,AKT1,1,default activation,3.14246534,3.14246534,72,71,FALSE,>25,3.42307755,0.376067148,0.0356379485,Treg
HIF1A,RBMS1,1,default activation,3.07534833,3.07534833,3,2,FALSE,<=5,4.11352389,0.508037971,0.0386943584,Treg
HIF1A,LEPR,1,default activation,2.98155837,2.98155837,3,2,FALSE,<=5,1.95176721,0.452739043,0.0434623047,Treg
HIF1A,VEGFA,1,PMID,2.96684273,2.96684273,142,141,FALSE,>25,-3.10640236,2.35634198,0.0443147155,Treg
HIF1A,CCL2,1,PMID,2.86992976,2.86992976,85,84,FALSE,>25,-3.39928566,1.81018976,0.0499163056,Treg
HIF1A,HMOX2,1,default activation,2.86972962,2.86972962,1,0,TRUE,<=1,7.06209996,0.249038905,0.0499163056,Treg
HIF1A,FLT1,1,default activation,2.82507951,2.82507951,29,28,FALSE,>25,-1.30157166,1.55874615,0.0528635475,Treg
HIF1A,HMOX1,1,PMID,2.81969713,2.81969713,64,63,FALSE,>25,2.76530029,0.984242409,0.0583146941,Treg
HIF1A,PARK7,1,default activation,2.81521028,2.81521028,8,7,FALSE,<=10,8.55036038,0.273737843,0.0534715647,Treg
HIF1A,MST1R,1,default activation,2.73187884,2.73187884,7,6,FALSE,<=10,-1.51824979,1.66236721,0.0593763143,Treg
HIF1A,SOCS1,1,PMID,2.72138329,2.72138329,19,18,FALSE,<=25,0.907875731,1.37560009,0.0634704109,Treg
HIF1A,MLH1,1,default activation,2.71681165,2.71681165,17,16,FALSE,<=25,4.69226353,0.385519474,0.0605242214,Treg
HIF1A,PAK1,1,default activation,2.64512245,2.64512245,6,5,FALSE,<=10,3.94259567,0.331757768,0.0663491819,Treg
HIF1A,ANGPTL4,1,default activation,2.57084027,2.57084027,8,7,FALSE,<=10,-2.58258601,1.82335024,0.0727168055,Treg
HIF1A,NEDD8,1,default activation,2.51149489,2.51149489,3,2,FALSE,<=5,7.7432839,0.217465426,0.0786115205,Treg
HIF1A,MT1A,1,default activation,2.50267256,2.50267256,21,20,FALSE,<=25,-2.45039361,1.50806343,0.0794939676,Treg
HIF1A,KDM1A,-1,PMID,-2.41820978,2.41820978,21,20,FALSE,<=25,3.12972246,-0.363715797,0.0883582348,Treg
HIF1A,SRC,1,default activation,2.35620879,2.35620879,31,30,FALSE,>25,-1.09873902,1.13330172,0.0953113434,Treg
HIF1A,HSPA4,1,PMID,2.13277872,2.13277872,41,40,FALSE,>25,5.83038135,0.188470563,0.12670747,Treg
HIF1A,NFE2L2,1,default activation,2.06920428,2.06920428,13,12,FALSE,<=25,5.66528728,0.269851229,0.136991979,Treg
HIF1A,TM9SF4,-1,PMID,-2.03450098,2.03450098,1,0,TRUE,<=1,4.70460426,-0.176639879,0.142991888,Treg
HIF1A,NDRG2,1,default activation,1.96051351,1.96051351,7,6,FALSE,<=10,1.60278067,0.642584529,0.157038538,Treg
HIF1A,SPHK1,1,default activation,1.95753698,1.95753698,16,15,FALSE,<=25,-2.37432726,1.14990389,0.157530853,Treg
HIF1A,HSP90AA1,1,default activation,1.95536103,1.95536103,20,19,FALSE,<=25,9.51776721,0.307803001,0.159434955,Treg
HIF1A,ATP13A2,1,PMID,1.94132734,1.94132734,1,0,TRUE,<=1,2.41784542,0.398010454,0.160715664,Treg
HIF1A,SPP1,1,PMID,1.90967578,1.90967578,74,73,FALSE,>25,-3.74524101,1.64290477,0.166816535,Treg
HIF1A,MDM2,1,default activation,1.86428577,1.86428577,68,67,FALSE,>25,5.15214206,0.170700941,0.176450354,Treg
HIF1A,WSB1,1,default activation,1.83591849,1.83591849,1,0,TRUE,<=1,7.53496735,0.18070135,0.182564531,Treg
HIF1A,CASP3,1,default activation,1.8118575,1.8118575,37,36,FALSE,>25,5.74010582,0.27249983,0.188919203,Treg
HIF1A,SH3BP2,1,default activation,1.73205662,1.73205662,1,0,TRUE,<=1,4.87621074,0.27895645,0.207302364,Treg
HIF1A,DLD,1,default activation,1.72394558,1.72394558,14,13,FALSE,<=25,5.63865238,0.202777315,0.208744189,Treg
HIF1A,PRDX2,1,PMID,1.71800341,1.71800341,3,2,FALSE,<=5,7.83823486,0.191555866,0.210282717,Treg
HIF1A,TXN2,1,default activation,1.68830793,1.68830793,3,2,FALSE,<=5,6.24098828,0.168820604,0.218046747,Treg
HIF1A,SEMA4D,1,PMID,1.65662646,1.65662646,2,1,FALSE,<=2,5.04379379,0.163072701,0.226790628,Treg
HIF1A,EEF1A2,1,default activation,1.63665382,1.63665382,7,6,FALSE,<=10,-2.03206355,1.21500622,0.232676802,Treg
HIF1A,NR3C1,1,default activation,1.56457471,1.56457471,42,41,FALSE,>25,6.52725189,0.218120213,0.253977482,Treg
HIF1A,SLC8A1,1,PMID,1.54740023,1.54740023,11,10,FALSE,<=25,-2.36217891,1.28369491,0.25853166,Treg
HIF1A,VEGFB,1,default activation,1.53538154,1.53538154,8,7,FALSE,<=10,0.730726835,0.319693158,0.262320476,Treg
HIF1A,TFRC,1,PMID,1.48138777,1.48138777,14,13,FALSE,<=25,5.36295001,0.23018572,0.28018071,Treg
HIF1A,PPARA,1,default activation,1.47615833,1.47615833,31,30,FALSE,>25,2.05435935,0.272297077,0.280877458,Treg
HIF1A,KCNMB1,1,default activation,1.44993802,1.44993802,4,3,FALSE,<=5,-1.11204693,0.679061705,0.289742522,Treg
HIF1A,CCND1,1,PMID,1.38472565,1.38472565,174,173,FALSE,>25,-1.97139472,0.802931539,0.31174278,Treg
HIF1A,APC,-1,PMID,-1.36915119,1.36915119,28,27,FALSE,>25,4.68360172,-0.161246719,0.317412192,Treg
HIF1A,TIMP2,1,PMID,1.35712822,1.35712822,14,13,FALSE,<=25,0.656482362,0.502254874,0.321949612,Treg
HIF1A,E2F3,1,PMID,1.35296497,1.35296497,13,12,FALSE,<=25,4.33875877,0.192964422,0.323343902,Treg
HIF1A,ATP7A,1,default activation,1.32791931,1.32791931,9,8,FALSE,<=10,3.29077179,0.18677675,0.332182537,Treg
HIF1A,WDR83,1,default activation,1.29810614,1.29810614,2,1,FALSE,<=2,4.14932155,0.13039023,0.343818118,Treg
HIF1A,BNIP3,1,PMID,1.28674392,1.28674392,13,12,FALSE,<=25,5.21730422,0.183319114,0.348145603,Treg
HIF1A,MICA,1,PMID,1.26519158,1.26519158,10,9,FALSE,<=10,3.7227726,0.17855165,0.356117061,Treg
HIF1A,EGLN1,1,PMID,1.26250736,1.26250736,7,6,FALSE,<=10,3.16143898,0.213999205,0.357284865,Treg
HIF1A,CA9,1,PMID,1.24929188,1.24929188,16,15,FALSE,<=25,-3.7426152,1.28500223,0.362499369,Treg
HIF1A,SLC9A1,1,PMID,1.19681687,1.19681687,8,7,FALSE,<=10,2.35761472,0.223689875,0.383443413,Treg
HIF1A,PDGFB,1,PMID,1.18129618,1.18129618,28,27,FALSE,>25,0.322344447,0.300142263,0.389796813,Treg
HIF1A,EPOR,1,PMID,1.1681323,1.1681323,13,12,FALSE,<=25,3.3098925,0.228039576,0.395811584,Treg
HIF1A,PMAIP1,1,default activation,1.16322885,1.16322885,25,24,FALSE,<=25,5.79479496,0.335857122,0.406769948,Treg
HIF1A,PFKFB4,1,PMID,1.11034979,1.11034979,1,0,TRUE,<=1,-0.237213401,0.629775403,0.420831505,Treg
HIF1A,AURKA,1,default activation,1.1015914,1.1015914,19,18,FALSE,<=25,2.63264316,0.647498484,0.434742191,Treg
HIF1A,APH1A,1,PMID,1.06675134,1.06675134,2,1,FALSE,<=2,7.05332943,0.0760065495,0.439021327,Treg
HIF1A,ERRFI1,1,default activation,1.01079058,1.01079058,4,3,FALSE,<=5,-1.81611849,0.527862918,0.464467327,Treg
HIF1A,FAM162A,1,PMID,0.976252529,0.976252529,1,0,TRUE,<=1,6.07548943,0.110901873,0.480383795,Treg
HIF1A,JUN,1,default activation,0.951903632,0.951903632,96,95,FALSE,>25,7.43886294,0.345472303,0.502477885,Treg
HIF1A,DDX3X,1,default activation,0.938537362,0.938537362,3,2,FALSE,<=5,6.85797725,0.0710078128,0.4989555,Treg
HIF1A,CAD,1,default activation,0.937062564,0.937062564,8,7,FALSE,<=10,3.10291706,0.16423495,0.499590389,Treg
HIF1A,KDM6B,1,PMID,0.888162444,0.888162444,16,15,FALSE,<=25,4.29969126,0.135846412,0.523485302,Treg
HIF1A,GPR35,1,default activation,0.88204286,0.88204286,1,0,TRUE,<=1,-1.15846834,0.339878688,0.526484302,Treg
HIF1A,ABL1,1,default activation,0.816785904,0.816785904,26,25,FALSE,>25,1.29725686,0.173713393,0.560941287,Treg
HIF1A,PSMC6,1,default activation,0.802643169,0.802643169,7,6,FALSE,<=10,6.57312619,0.0754377156,0.568506901,Treg
HIF1A,SOD2,1,default activation,0.700478303,0.700478303,40,39,FALSE,>25,6.43491959,0.0763426201,0.62152891,Treg
HIF1A,CD164,1,default activation,0.664309445,0.664309445,3,2,FALSE,<=5,7.84396733,0.0518579991,0.641042307,Treg
HIF1A,HIPK2,1,default activation,0.655836162,0.655836162,7,6,FALSE,<=10,2.85607612,0.130149482,0.64529244,Treg
HIF1A,RAC1,1,default activation,0.625631597,0.625631597,7,6,FALSE,<=10,5.50599949,0.120859615,0.662352246,Treg
HIF1A,SAT1,1,default activation,0.58283043,0.58283043,11,10,FALSE,<=25,8.67264214,0.0798317276,0.683709186,Treg
HIF1A,IL17A,1,default activation,0.521723677,0.521723677,53,52,FALSE,>25,-2.29098542,0.502095738,0.718671357,Treg
HIF1A,CCNA2,1,PMID,0.48662535,0.48662535,55,54,FALSE,>25,2.90568611,0.603590126,0.741160318,Treg
HIF1A,CEBPA,-1,PMID,-0.47690603,0.47690603,56,55,FALSE,>25,-0.350380422,-0.155919729,0.741799165,Treg
HIF1A,MAPK1,1,default activation,0.466919358,0.466919358,58,57,FALSE,>25,4.19147708,0.0535131326,0.747539341,Treg
HIF1A,BAX,1,PMID,0.401128631,0.401128631,63,62,FALSE,>25,6.55427628,0.0326983478,0.784830736,Treg
HIF1A,BRCA1,1,default activation,0.389304193,0.389304193,68,67,FALSE,>25,2.27976436,0.36098472,0.794993252,Treg
HIF1A,CARM1,1,default activation,0.375634104,0.375634104,23,22,FALSE,<=25,1.85747164,0.0952959675,0.798722827,Treg
HIF1A,FOXM1,1,PMID,0.335032088,0.335032088,22,21,FALSE,<=25,1.37423099,0.316769226,0.824223878,Treg
HIF1A,PLAT,1,default activation,0.291490779,0.291490779,21,20,FALSE,<=25,-1.40412062,0.146597335,0.846595583,Treg
HIF1A,HDAC2,1,default activation,0.244991485,0.244991485,7,6,FALSE,<=10,6.09371288,0.0227742008,0.871861189,Treg
HIF1A,HES1,1,PMID,0.222687356,0.222687356,54,53,FALSE,>25,-1.85670894,0.193634125,0.883872229,Treg
HIF1A,CHKA,1,default activation,0.197129048,0.197129048,7,6,FALSE,<=10,-0.75313947,0.0749734836,0.897637442,Treg
HIF1A,MCL1,1,default activation,0.168763549,0.168763549,37,36,FALSE,>25,7.8549984,0.0208680207,0.912908185,Treg
HIF1A,EGLN3,1,PMID,0.144436849,0.144436849,5,4,FALSE,<=5,-1.02051565,0.103165247,0.926221865,Treg
HIF1A,VASP,1,default activation,0.07849021,0.07849021,4,3,FALSE,<=5,6.57668205,0.0081928527,0.959587567,Treg
HIF1A,IGF1,1,default activation,0.0650668314,0.0650668314,72,71,FALSE,>25,-3.77605162,0.0669620629,0.966411662,Treg
HIF1A,PC,1,default activation,0.0619807093,0.0619807093,18,17,FALSE,<=25,0.00254574168,0.0154151124,0.968425582,Treg
HIF1A,ERCC2,1,default activation,-0.0234901145,-0.0234901145,4,3,FALSE,<=5,3.27295284,-0.00289816103,0.987514691,Treg
HIF1A,TGFB1,1,PMID,-0.0617829236,-0.0617829236,77,76,FALSE,>25,6.27984427,-0.0106706773,0.9684902,Treg
HIF1A,IKBKB,1,default activation,-0.0725607295,-0.0725607295,11,10,FALSE,<=25,5.3218147,-0.00640350185,0.962942783,Treg
HIF1A,HSF1,1,default activation,-0.0783117721,-0.0783117721,13,12,FALSE,<=25,5.18774014,-0.0249039496,0.959902407,Treg
HIF1A,APEX1,-1,PMID,0.126260868,-0.126260868,15,14,FALSE,<=25,6.29955241,0.0127056463,0.935626999,Treg
HIF1A,KDM2B,1,PMID,-0.129272919,-0.129272919,7,6,FALSE,<=10,4.68301143,-0.0145953023,0.934464931,Treg
HIF1A,TPO,1,default activation,-0.143725856,-0.143725856,22,21,FALSE,<=25,-0.810710937,-0.0517651701,0.926482608,Treg
HIF1A,RPS6KB1,1,default activation,-0.167643326,-0.167643326,7,6,FALSE,<=10,4.73961021,-0.0158263102,0.913560562,Treg
HIF1A,HIF1AN,1,default activation,-0.205654512,-0.205654512,2,1,FALSE,<=2,4.75686721,-0.0192787717,0.892390575,Treg
HIF1A,SLC29A2,1,default activation,-0.206226249,-0.206226249,1,0,TRUE,<=1,-0.450222922,-0.0736703956,0.892186256,Treg
HIF1A,XIAP,1,default activation,-0.217840788,-0.217840788,16,15,FALSE,<=25,4.96041207,-0.021130032,0.886071775,Treg
HIF1A,MAPK9,1,default activation,-0.256584239,-0.256584239,9,8,FALSE,<=10,2.53077707,-0.0430344523,0.866358648,Treg
HIF1A,IL4,1,PMID,-0.268569102,-0.268569102,81,80,FALSE,>25,-2.66121077,-0.12269865,0.858923304,Treg
