population,tf,variant,method,configuration,score,p_value,padj,rank,n_tfs_scored,pct_rank,regulon_size,direction
CD8,EPAS1,literature_signed,consensus,literature_signed / consensus,0.227259064,0.820222303,0.999109653,195,381,51.1811024,27,Up
CD8,EPAS1,literature_signed,mlm,literature_signed / mlm,0.089376127,0.928784308,0.984224069,205,381,53.8057743,27,Up
CD8,EPAS1,literature_signed,ulm,literature_signed / ulm,0.664852964,0.506155484,0.75337303,189,381,49.6062992,27,Up
CD8,EPAS1,signed,consensus,signed / consensus,0.317647949,0.750751999,0.998130892,261,598,43.6454849,60,Up
CD8,EPAS1,signed,mlm,signed / mlm,-0.514194505,0.607124479,0.926174588,402,598,67.2240803,60,Down
CD8,EPAS1,signed,ulm,signed / ulm,1.32093738,0.186543817,0.392792968,242,598,40.4682274,60,Up
CD8,EPAS1,unsigned,consensus,unsigned / consensus,0.327471561,0.74331125,0.99980618,300,598,50.1672241,60,Up
CD8,EPAS1,unsigned,mlm,unsigned / mlm,-0.767531032,0.442779359,0.859414024,443,598,74.0802676,60,Down
CD8,EPAS1,unsigned,ulm,unsigned / ulm,1.61637675,0.106035394,0.217154676,275,598,45.9866221,60,Up
CD8,EPAS1,unsigned_geneset,fgsea,unsigned_geneset / fgsea,1.23717929,0.14344652,0.393020971,287,593,48.3979764,61,Up
CD8,HIF1A,alias_recovered,consensus,alias_recovered / consensus,3.36228705,7.72997232e-4,0.0775573889,3,602,0.49833887,288,Up
CD8,HIF1A,alias_recovered,mlm,alias_recovered / mlm,2.73534869,0.00623961385,0.250416502,7,602,1.1627907,288,Up
CD8,HIF1A,alias_recovered,ulm,alias_recovered / ulm,5.99193385,2.12444851e-9,2.13153001e-7,6,602,0.996677741,288,Up
CD8,HIF1A,literature_signed,consensus,literature_signed / consensus,2.75848769,0.00580694928,0.368741279,5,381,1.31233596,136,Up
CD8,HIF1A,literature_signed,mlm,literature_signed / mlm,2.66415424,0.00772729693,0.135596247,9,381,2.36220472,136,Up
CD8,HIF1A,literature_signed,ulm,literature_signed / ulm,4.71507962,2.43944209e-6,2.32356859e-4,4,381,1.04986877,136,Up
CD8,HIF1A,signed,consensus,signed / consensus,3.2891127,0.00100503771,0.118814967,3,598,0.501672241,285,Up
CD8,HIF1A,signed,mlm,signed / mlm,2.52947774,0.0114345964,0.297299508,10,598,1.6722408,285,Up
CD8,HIF1A,signed,ulm,signed / ulm,5.876571,4.28365517e-9,5.12325158e-7,5,598,0.836120401,285,Up
CD8,HIF1A,unsigned,consensus,unsigned / consensus,3.08867178,0.00201053426,0.160289881,5,598,0.836120401,285,Up
CD8,HIF1A,unsigned,mlm,unsigned / mlm,2.56786901,0.0102433105,0.229127851,15,598,2.5083612,285,Up
CD8,HIF1A,unsigned,ulm,unsigned / ulm,6.15165824,7.87627668e-10,7.85002243e-8,6,598,1.00334448,285,Up
CD8,HIF1A,unsigned_geneset,fgsea,unsigned_geneset / fgsea,1.86408816,5.81627329e-8,7.13545357e-6,14,593,2.3608769,288,Up
CD8,HSF1,alias_recovered,consensus,alias_recovered / consensus,1.31201786,0.189514108,0.997888133,36,602,5.98006645,68,Up
CD8,HSF1,alias_recovered,mlm,alias_recovered / mlm,1.57673759,0.114879505,0.616321368,61,602,10.1328904,68,Up
CD8,HSF1,alias_recovered,ulm,alias_recovered / ulm,3.26048289,0.00111488222,0.0136971244,46,602,7.64119601,68,Up
CD8,HSF1,literature_signed,consensus,literature_signed / consensus,1.01466266,0.31026666,0.999109653,51,381,13.3858268,25,Up
CD8,HSF1,literature_signed,mlm,literature_signed / mlm,1.34432938,0.178864269,0.556039823,72,381,18.8976378,25,Up
CD8,HSF1,literature_signed,ulm,literature_signed / ulm,2.50669824,0.0121977018,0.0754928229,50,381,13.1233596,25,Up
CD8,HSF1,signed,consensus,signed / consensus,1.40248886,0.160769316,0.998130892,33,598,5.51839465,67,Up
CD8,HSF1,signed,mlm,signed / mlm,1.78206319,0.0747615404,0.537556073,42,598,7.02341137,67,Up
CD8,HSF1,signed,ulm,signed / ulm,3.44508478,5.72552459e-4,0.00835088708,39,598,6.52173913,67,Up
CD8,HSF1,unsigned,consensus,unsigned / consensus,1.82313272,0.0682832919,0.99980618,20,598,3.34448161,67,Up
CD8,HSF1,unsigned,mlm,unsigned / mlm,2.64156657,0.00826192893,0.22440575,12,598,2.00668896,67,Up
CD8,HSF1,unsigned,ulm,unsigned / ulm,4.80766359,1.54290411e-6,4.39360313e-5,21,598,3.51170569,67,Up
CD8,HSF1,unsigned_geneset,fgsea,unsigned_geneset / fgsea,1.94029013,7.93482286e-5,0.00287749614,11,593,1.8549747,68,Up
CD8,NFKB1,alias_recovered,consensus,alias_recovered / consensus,2.04769242,0.0405901474,0.997888133,13,602,2.15946844,278,Up
CD8,NFKB1,alias_recovered,mlm,alias_recovered / mlm,1.16006343,0.246043632,0.752527226,98,602,16.2790698,278,Up
CD8,NFKB1,alias_recovered,ulm,alias_recovered / ulm,3.58254731,3.41413445e-4,0.00604502628,33,602,5.48172757,278,Up
CD8,NFKB1,literature_signed,consensus,literature_signed / consensus,1.24115789,0.214547427,0.999109653,31,381,8.13648294,144,Up
CD8,NFKB1,literature_signed,mlm,literature_signed / mlm,-0.966720522,0.333700915,0.68836129,307,381,80.5774278,144,Down
CD8,NFKB1,literature_signed,ulm,literature_signed / ulm,2.54532406,0.0109282585,0.0731904111,47,381,12.335958,144,Up
CD8,NFKB1,signed,consensus,signed / consensus,1.97865905,0.0478544066,0.998130892,13,598,2.17391304,276,Up
CD8,NFKB1,signed,mlm,signed / mlm,1.14120069,0.25380679,0.782352888,103,598,17.2240803,276,Up
CD8,NFKB1,signed,ulm,signed / ulm,3.41521058,6.39134382e-4,0.00839175927,43,598,7.19063545,276,Up
CD8,NFKB1,unsigned,consensus,unsigned / consensus,2.23464425,0.0254407134,0.950846662,14,598,2.34113712,276,Up
CD8,NFKB1,unsigned,mlm,unsigned / mlm,0.894201263,0.371230259,0.848133789,130,598,21.7391304,276,Up
CD8,NFKB1,unsigned,ulm,unsigned / ulm,4.71113851,2.48702545e-6,6.19178557e-5,24,598,4.01337793,276,Up
CD8,NFKB1,unsigned_geneset,fgsea,unsigned_geneset / fgsea,1.69879844,5.78067901e-6,3.70348835e-4,45,593,7.58853288,277,Up
CD8,REL,alias_recovered,consensus,alias_recovered / consensus,0.86612506,0.386421584,0.997888133,96,602,15.9468439,85,Up
CD8,REL,alias_recovered,mlm,alias_recovered / mlm,-1.61467763,0.10640405,0.610049887,556,602,92.358804,85,Down
CD8,REL,alias_recovered,ulm,alias_recovered / ulm,3.1454566,0.00166174592,0.0172477767,55,602,9.13621262,85,Up
CD8,REL,literature_signed,consensus,literature_signed / consensus,0.649744772,0.515857099,0.999109653,89,381,23.3595801,44,Up
CD8,REL,literature_signed,mlm,literature_signed / mlm,-0.73097588,0.464806449,0.783589633,290,381,76.1154856,44,Down
CD8,REL,literature_signed,ulm,literature_signed / ulm,1.91412606,0.0556243977,0.216417219,79,381,20.7349081,44,Up
CD8,REL,signed,consensus,signed / consensus,1.09854006,0.271968733,0.998130892,60,598,10.0334448,83,Up
CD8,REL,signed,mlm,signed / mlm,-0.911157173,0.362228937,0.836343261,469,598,78.4280936,83,Down
CD8,REL,signed,ulm,signed / ulm,3.47334535,5.15565636e-4,0.00811337502,36,598,6.02006689,83,Up
CD8,REL,unsigned,consensus,unsigned / consensus,1.15712574,0.247220992,0.99980618,55,598,9.19732441,83,Up
CD8,REL,unsigned,mlm,unsigned / mlm,-1.13438533,0.256653221,0.786250849,504,598,84.2809365,83,Down
CD8,REL,unsigned,ulm,unsigned / ulm,4.1147068,3.89888724e-5,6.85745461e-4,34,598,5.68561873,83,Up
CD8,REL,unsigned_geneset,fgsea,unsigned_geneset / fgsea,1.5914193700000001,0.00497567101,0.0567591143,81,593,13.6593592,85,Up
CD8,STAT3,alias_recovered,consensus,alias_recovered / consensus,1.90246399,0.0571105223,0.997888133,16,602,2.65780731,274,Up
CD8,STAT3,alias_recovered,mlm,alias_recovered / mlm,0.374844869,0.70778177,0.946702954,228,602,37.8737542,274,Up
CD8,STAT3,alias_recovered,ulm,alias_recovered / ulm,3.72630614,1.95069913e-4,0.00375217277,30,602,4.9833887,274,Up
CD8,STAT3,literature_signed,consensus,literature_signed / consensus,2.68735171,0.00720210733,0.392000413,6,381,1.57480315,273,Up
CD8,STAT3,literature_signed,mlm,literature_signed / mlm,1.30989398,0.190253779,0.561912323,78,381,20.4724409,273,Up
