pathway_id,database,population,contrast,nes,pvalue,padj,set_size,direction,query_name,seed_population,seeded_from_this_population,gate,gse,gpl,hit_rank,pctVar,n_genes,n_seed_genes,frac_seed_genes,pathway_name,core_enrichment
CORESH_tcon_up_fdr_only_GSE86566,CoReSh_derived_hsa,cd8,SF_vs_PB_CD8,0.940683981454237,0.540247071807469,0.540247071807469,14,Up,tcon_up_fdr_only,tcon,FALSE,fdr_only,GSE86566,GPL11154,5,19.5736160695125,48,2,0.0416666666666667,CORESH_tcon_up_fdr_only_GSE86566,SDC4/PARP4
CORESH_treg_up_fdr_only_GSE181061,CoReSh_derived_hsa,tcon,SF_vs_PB_Tcon,-3.00674903755763,2.80859701373586e-17,5.89805372884531e-16,50,Down,treg_up_fdr_only,treg,FALSE,fdr_only,GSE181061,GPL18573,5,17.5096223571097,50,3,0.06,CORESH_treg_up_fdr_only_GSE181061,HSPA8/RPL28/RPL41/MALAT1/RPS19/FAU/RPL26/RPS27A/RPS24/RPS27/RPS15/RPL10/TPT1/RPS3/RPL8/RPS14/RPL13/RPS15A/RPL35A/EEF1A1/RPL18/RPS7/RPL34/RPS23/RPL19/RPS28/RPS12/RPL30/RPL11/RPL21/RPLP2/RPL39/RPL32/RPL6/RPL37/RPS6/RPS3A/RPS13/RPS8/RPS2
CORESH_cd8_up_fdr_logfc_GSE153098,CoReSh_derived_hsa,tcon,SF_vs_PB_Tcon,2.72753974397197,5.63266279968553e-13,5.91429593966981e-12,45,Up,cd8_up_fdr_logfc,cd8,FALSE,fdr_logfc,GSE153098,GPL16791,2,9.79578937844386,49,31,0.63265306122449,CORESH_cd8_up_fdr_logfc_GSE153098,CDKN1A/IFNG/DUSP4/CXCL13/PHLDA1/HAVCR2/CCL3/LGALS3/LMNA/ZBED2/PLAUR/PHLDA2/CTLA4/ENTPD1/ATP8B4/TOX2/TRIB1/GEM/CCL4L2/HSPA6/LAYN/ATF3/TNFSF4/NR4A1/TNFRSF9/HSPA1A/EGR1
CORESH_tcon_up_fdr_logfc_GSE102751,CoReSh_derived_hsa,tcon,SF_vs_PB_Tcon,2.68302601258837,3.21478777991801e-12,2.25035144594261e-11,44,Up,tcon_up_fdr_logfc,tcon,TRUE,fdr_logfc,GSE102751,GPL11154,1,15.6475133477143,50,36,0.72,CORESH_tcon_up_fdr_logfc_GSE102751,HLA-DRA/RHOB/HSPA6/CD9/C1QA/ATF3/VSIG4/FN1/C1QB/C1QC/IFI30/MSR1/SPP1/THBS1/FPR1/IL1RN/OLR1/EGR1/CD68/SERPINA1/APOE/APOC1/C5AR1/MAFB/MARCO/JUN/PMP22/GPNMB/KLF4/FOS/HSPA1B/THBD/TREM1/SLCO2B1/HBEGF/SIGLEC1/CD163/SLC11A1/FOSB/MMP19
CORESH_tcon_up_fdr_logfc_GSE150876,CoReSh_derived_hsa,tcon,SF_vs_PB_Tcon,2.54152914571815,2.90160302230843e-10,1.33716605072595e-09,47,Up,tcon_up_fdr_logfc,tcon,TRUE,fdr_logfc,GSE150876,GPL18573,5,10.3706827198587,50,36,0.72,CORESH_tcon_up_fdr_logfc_GSE150876,SEMA4A/CD93/PLXND1/TGFBI/CD86/MYOF/DUSP6/HSPA6/CPVL/SPI1/DAPK1/SYK/CSF1R/FES/CHST15/CYBB/CD68/SLC8A1/RAB31/SERPINA1/HCK/ZNF385A/MAFB/TNFAIP2/CD300E/PLD4/MARCKS/FCGR1A/LRRC25/P2RY13/FCGR3A/HMOX1/TLR4/LGALS2/LILRA5
CORESH_treg_up_fdr_logfc_GSE110097,CoReSh_derived_hsa,tcon,SF_vs_PB_Tcon,2.53263318935859,3.18372869220464e-10,1.33716605072595e-09,46,Up,treg_up_fdr_logfc,treg,FALSE,fdr_logfc,GSE110097,GPL18573,1,7.59606857390368,50,17,0.34,CORESH_treg_up_fdr_logfc_GSE110097,PDCD1/OASL/GNA15/DDIT4/BHLHE40/LIF/MZB1/OTOF/SCD/BSPRY/ATF3/VEGFA/MELK/LGALS1/AK4/FADS1/NEIL3/DIAPH3/PKMYT1/AURKA/PBK/OSM/CDC6/CEP55/KIF4A/MYO1B/FAM72B/FADS2/TPX2/HJURP
CORESH_cd8_up_fdr_logfc_GSE110097,CoReSh_derived_hsa,tcon,SF_vs_PB_Tcon,2.51130700874194,6.46807742554905e-10,2.26382709894217e-09,46,Up,cd8_up_fdr_logfc,cd8,FALSE,fdr_logfc,GSE110097,GPL18573,3,9.4690943968038,50,22,0.44,CORESH_cd8_up_fdr_logfc_GSE110097,PDCD1/GNA15/SLC27A2/DDIT4/BHLHE40/LIF/MZB1/SCD/BSPRY/ATF3/VEGFA/MELK/LGALS1/AK4/NEIL3/DIAPH3/PKMYT1/AURKA/NCAPG/PBK/CDC6/CEP55/KIF4A/MYO1B/FAM72B/FADS2/TPX2/HJURP
CORESH_cd8_up_fdr_logfc_GSE141645,CoReSh_derived_hsa,tcon,SF_vs_PB_Tcon,2.4951889387776,2.54319749356959e-09,7.62959248070876e-09,49,Up,cd8_up_fdr_logfc,cd8,FALSE,fdr_logfc,GSE141645,GPL20301,5,8.87467851357921,50,31,0.62,CORESH_cd8_up_fdr_logfc_GSE141645,ZBED2/LIF/EGR2/CKAP2L/GZMB/MELK/CDK1/NUSAP1/ESCO2/KIF23/BUB1B/AK4/TOP2A/STRIP2/DIAPH3/ESPL1/CDCA5/TYMS/FAM72A/AURKA/NCAPG/PBK/KIFC1/CEP55/KIF4A/FAM72B/E2F8/TPX2/HJURP/ANLN/UBE2C/DTL/ASPM/MCM10/KIF18B/TTK/NEK2/KIF20A/CDCA2
CORESH_cd8_up_fdr_logfc_GSE89134,CoReSh_derived_hsa,tcon,SF_vs_PB_Tcon,2.35387771709874,4.62855342084356e-08,1.21499527297143e-07,46,Up,cd8_up_fdr_logfc,cd8,FALSE,fdr_logfc,GSE89134,GPL16791,1,10.6983521473442,50,29,0.58,CORESH_cd8_up_fdr_logfc_GSE89134,LIF/CKAP2L/MELK/CDK1/BUB1B/TOP2A/NEIL3/DIAPH3/PKMYT1/GTSE1/ESPL1/CDCA5/TYMS/FOS/NCAPG/PBK/SPC25/E2F7/CEP55/KIF4A/E2F8/TPX2/HJURP/ANLN/KIF14/UBE2C/DTL/CDC25A/ASPM/MCM10/KIF18B/KIF20A/CDCA2/RRM2/MYBL2/SKA3/DLGAP5/HMMR
CORESH_treg_up_fdr_only_GSE202919,CoReSh_derived_hsa,tcon,SF_vs_PB_Tcon,-2.40962139263814,9.29533629879934e-08,2.16891180305318e-07,47,Down,treg_up_fdr_only,treg,FALSE,fdr_only,GSE202919,GPL24676,3,17.6176758609129,50,5,0.1,CORESH_treg_up_fdr_only_GSE202919,TMSB10/RPL28/RPL41/FTL/MALAT1/RPS19/RPL26/RPL17/RPS27A/RPS9/RPS27/RPS15/RPL10/RPS3/RPL8/RPS4X/RPS14/RPL12/RPL18A/EEF1A1/RPL18/RPS18/RPS7/RPL34/RPS28/RPL29/RPL39/RPL32/RPL6/RPS6/RPS8
