query_name,population,gate,gse,gpl,pctVar,pval,size,rank
cd8_up_fdr_logfc,cd8,fdr_logfc,GSE103527,GPL10558,4.57160658711141,,505,84
cd8_up_fdr_logfc,cd8,fdr_logfc,GSE122735,GPL18573,4.54206649028309,,350,85
cd8_up_fdr_logfc,cd8,fdr_logfc,GSE58684,GPL11532,4.53200537469533,,383,86
cd8_up_fdr_logfc,cd8,fdr_logfc,GSE59860,GPL11532,4.53200537469533,,383,87
cd8_up_fdr_logfc,cd8,fdr_logfc,GSE86566,GPL11154,4.52215425998507,,493,88
cd8_up_fdr_logfc,cd8,fdr_logfc,GSE231977,GPL18573,4.50444700338733,,412,89
cd8_up_fdr_logfc,cd8,fdr_logfc,GSE216963,GPL24676,4.48687995451309,,466,90
cd8_up_fdr_logfc,cd8,fdr_logfc,GSE211044,GPL21290,4.4855724837752,,367,91
cd8_up_fdr_logfc,cd8,fdr_logfc,GSE211155,GPL21290,4.4855724837752,,367,92
cd8_up_fdr_logfc,cd8,fdr_logfc,GSE158470,GPL20301,4.48356737240611,,466,93
cd8_up_fdr_logfc,cd8,fdr_logfc,GSE202909,GPL20301,4.47640231533756,,421,94
cd8_up_fdr_logfc,cd8,fdr_logfc,GSE179612,GPL18573,4.47286058793365,,367,95
cd8_up_fdr_logfc,cd8,fdr_logfc,GSE123290,GPL20301,4.46092488867303,,465,96
cd8_up_fdr_logfc,cd8,fdr_logfc,GSE165238,GPL24676,4.38955087086736,,419,97
cd8_up_fdr_logfc,cd8,fdr_logfc,GSE229607,GPL24676,4.37181322028327,,434,98
cd8_up_fdr_logfc,cd8,fdr_logfc,GSE139594,GPL16791,4.35798056384751,,436,99
cd8_up_fdr_logfc,cd8,fdr_logfc,GSE97395,GPL16791,4.33143721907509,,352,100
cd8_up_fdr_logfc,cd8,fdr_logfc,GSE118383,GPL15520,4.31526230706709,,442,101
cd8_up_fdr_logfc,cd8,fdr_logfc,GSE145284,GPL20301,4.30750435405722,,428,102
cd8_up_fdr_logfc,cd8,fdr_logfc,GSE87419,GPL18573,4.29532633737815,,432,103
cd8_up_fdr_logfc,cd8,fdr_logfc,GSE87424,GPL18573,4.29532633737815,,432,104
cd8_up_fdr_logfc,cd8,fdr_logfc,GSE212738,GPL18573,4.28556970576011,,401,105
cd8_up_fdr_logfc,cd8,fdr_logfc,GSE165213,GPL20301,4.28050906578283,,387,106
cd8_up_fdr_logfc,cd8,fdr_logfc,GSE53080,GPL11154,4.27396070023933,,377,107
cd8_up_fdr_logfc,cd8,fdr_logfc,GSE53081,GPL11154,4.27396070023933,,377,108
