gene_symbol,log2FoldChange,pvalue,padj,neg_log10_padj,sf_direction,passes_de_gates,arm,hypoxia_purged,le_program,reference_axis,label_drawn,n_genes_tested,n_gates_sf_high_all_genes,n_gates_blood_high_all_genes,contrast,evidence_tier
ADRB2,1.07702346,0.0639701417,0.149295332,0.82595377,SF_high,False,not_in_signature,False,not_annotated,sting_specific,True,14143.0,811.0,773.0,SF_vs_PB,primary_pseudobulk
IFIT3,0.550169331,0.0643618398,0.149937325,0.824090242,SF_high,False,not_in_signature,False,not_annotated,ifn_only,False,14143.0,811.0,773.0,SF_vs_PB,primary_pseudobulk
HERC5,0.495266166,0.0771338864,0.171310389,0.7662163,SF_high,False,not_in_signature,False,not_annotated,ifn_only,False,14143.0,811.0,773.0,SF_vs_PB,primary_pseudobulk
IL21-AS1,1.03312858,0.233844287,0.389593562,0.409388229,SF_high,False,not_in_signature,False,not_annotated,ifn_only,False,14143.0,811.0,773.0,SF_vs_PB,primary_pseudobulk
OTUD1,0.285095983,0.2352146,0.39100142,0.407821665,SF_high,False,not_in_signature,False,not_annotated,sting_specific,True,14143.0,811.0,773.0,SF_vs_PB,primary_pseudobulk
BCL2L14,-0.714603792,0.267047639,0.427809988,0.36874908,blood_high,False,not_in_signature,False,not_annotated,ifn_only,False,14143.0,811.0,773.0,SF_vs_PB,primary_pseudobulk
OAS2,0.160976292,0.268637701,0.429304294,0.367234768,SF_high,False,not_in_signature,False,not_annotated,ifn_only,False,14143.0,811.0,773.0,SF_vs_PB,primary_pseudobulk
WDR64,-1.0715571,0.270404152,0.431104264,0.365417682,blood_high,False,not_in_signature,False,not_annotated,ifn_only,False,14143.0,811.0,773.0,SF_vs_PB,primary_pseudobulk
ARHGAP23,0.869517933,0.272737511,0.433992643,0.362517632,SF_high,False,not_in_signature,False,not_annotated,ifn_only,False,14143.0,811.0,773.0,SF_vs_PB,primary_pseudobulk
SOBP,1.07773186,0.300480951,0.464245367,0.333252422,SF_high,False,not_in_signature,False,not_annotated,ifn_only,False,14143.0,811.0,773.0,SF_vs_PB,primary_pseudobulk
MX2,0.223238356,0.306094637,0.47024728,0.327673708,SF_high,False,not_in_signature,False,not_annotated,ifn_only,False,14143.0,811.0,773.0,SF_vs_PB,primary_pseudobulk
NT5C3A,-0.103681817,0.382611946,0.548088803,0.26114907,blood_high,False,not_in_signature,False,not_annotated,ifn_only,False,14143.0,811.0,773.0,SF_vs_PB,primary_pseudobulk
PI4K2B,-0.114401748,0.404778216,0.570424304,0.243801979,blood_high,False,not_in_signature,False,not_annotated,ifn_only,False,14143.0,811.0,773.0,SF_vs_PB,primary_pseudobulk
TNFSF10,0.129500817,0.435053354,0.600405892,0.221555055,SF_high,False,not_in_signature,False,not_annotated,ifn_only,False,14143.0,811.0,773.0,SF_vs_PB,primary_pseudobulk
PIWIL4,0.528066273,0.440926176,0.604792833,0.218393364,SF_high,False,not_in_signature,False,not_annotated,ifn_only,False,14143.0,811.0,773.0,SF_vs_PB,primary_pseudobulk
CHRNA6,0.405571429,0.499712796,0.654938196,0.183799681,SF_high,False,not_in_signature,False,not_annotated,ifn_only,False,14143.0,811.0,773.0,SF_vs_PB,primary_pseudobulk
JARID2,-0.0827997543,0.531700987,0.681266793,0.166682779,blood_high,False,not_in_signature,False,not_annotated,sting_specific,True,14143.0,811.0,773.0,SF_vs_PB,primary_pseudobulk
DDX58,0.119014496,0.531875996,0.681308053,0.166656478,SF_high,False,not_in_signature,False,not_annotated,ifn_only,False,14143.0,811.0,773.0,SF_vs_PB,primary_pseudobulk
NEXN,0.418591214,0.571357365,0.713465231,0.146627186,SF_high,False,not_in_signature,False,not_annotated,ifn_only,False,14143.0,811.0,773.0,SF_vs_PB,primary_pseudobulk
TGIF1,0.0798021194,0.756543172,0.853456974,0.0688183683,SF_high,False,not_in_signature,False,not_annotated,sting_specific,True,14143.0,811.0,773.0,SF_vs_PB,primary_pseudobulk
PLSCR1,0.0881311538,0.757634967,0.854416023,0.0683306161,SF_high,False,not_in_signature,False,not_annotated,ifn_only,False,14143.0,811.0,773.0,SF_vs_PB,primary_pseudobulk
EDN1,0.230104769,0.75779481,0.854528146,0.0682736282,SF_high,False,not_in_signature,False,not_annotated,ifn_only,False,14143.0,811.0,773.0,SF_vs_PB,primary_pseudobulk
MDK,-0.0256600266,0.959848977,0.980798222,0.00842033016,blood_high,False,not_in_signature,False,not_annotated,ifn_only,False,14143.0,811.0,773.0,SF_vs_PB,primary_pseudobulk
CDKN1A,4.55212674,1.7445281e-80,1.23364304e-76,75.9088105,SF_high,True,up,True,hypoxia_HIF,none,False,14143.0,811.0,773.0,SF_vs_PB,primary_pseudobulk
IL1RN,6.78729594,1.13375167e-45,7.63554754e-43,42.1171598,SF_high,True,up,False,effector_activation,ifn_only,False,14143.0,811.0,773.0,SF_vs_PB,primary_pseudobulk
SDC4,3.37148501,3.06263676e-33,8.4931121e-31,30.0709331,SF_high,True,up,True,hypoxia_HIF,none,False,14143.0,811.0,773.0,SF_vs_PB,primary_pseudobulk
TIMP1,3.01677918,2.4269157e-29,4.51629852e-27,26.3452174,SF_high,True,up,False,effector_activation,none,False,14143.0,811.0,773.0,SF_vs_PB,primary_pseudobulk
CYSTM1,1.71783322,4.11222948e-27,6.60900699e-25,24.1798638,SF_high,True,up,False,immediate_early_stress,none,False,14143.0,811.0,773.0,SF_vs_PB,primary_pseudobulk
CD70,1.6114144,1.29376599e-20,1.18816444e-18,17.9251234,SF_high,True,up,False,effector_activation,none,False,14143.0,811.0,773.0,SF_vs_PB,primary_pseudobulk
FAH,2.96475837,9.32440237e-20,7.57902429e-18,17.1203867,SF_high,True,up,False,other,none,False,14143.0,811.0,773.0,SF_vs_PB,primary_pseudobulk
CCL4,8.24730577,2.99199994e-19,2.27504598e-17,16.6430098,SF_high,True,up,False,effector_activation,none,False,14143.0,811.0,773.0,SF_vs_PB,primary_pseudobulk
RGS16,2.96104882,4.01715366e-19,2.9745866e-17,16.5265734,SF_high,True,up,False,immediate_early_stress,none,False,14143.0,811.0,773.0,SF_vs_PB,primary_pseudobulk
FOSL2,2.19947554,2.02548466e-18,1.39738681e-16,15.8546834,SF_high,True,up,True,hypoxia_HIF,none,False,14143.0,811.0,773.0,SF_vs_PB,primary_pseudobulk
LTA,1.98653209,2.33543358e-16,1.29529557e-14,13.8876311,SF_high,True,up,False,effector_activation,none,False,14143.0,811.0,773.0,SF_vs_PB,primary_pseudobulk
PTGER2,-1.64211223,5.19782594e-16,2.80583406e-14,13.551938,blood_high,True,up,False,not_annotated,none,False,14143.0,811.0,773.0,SF_vs_PB,primary_pseudobulk
CD80,2.33302234,8.19069261e-16,4.32242409e-14,13.3642726,SF_high,True,up,False,effector_activation,none,False,14143.0,811.0,773.0,SF_vs_PB,primary_pseudobulk
HSPA1A,1.15170071,5.58694422e-15,2.74361639e-13,12.5616766,SF_high,True,up,False,heat_shock_proteostasis,none,True,14143.0,811.0,773.0,SF_vs_PB,primary_pseudobulk
SPINT1,2.76301347,2.33531774e-14,1.07092393e-12,11.9702414,SF_high,True,up,False,other,none,False,14143.0,811.0,773.0,SF_vs_PB,primary_pseudobulk
FASLG,4.21792946,1.29837355e-13,5.36926816e-12,11.2700849,SF_high,True,up,False,effector_activation,none,False,14143.0,811.0,773.0,SF_vs_PB,primary_pseudobulk
OAS3,1.3151794,1.38823779e-13,5.69097017e-12,11.2448137,SF_high,True,up,False,effector_activation,ifn_only,False,14143.0,811.0,773.0,SF_vs_PB,primary_pseudobulk
NR4A1,3.1820005,1.64765633e-13,6.63897533e-12,11.1778989,SF_high,True,up,False,immediate_early_stress,none,False,14143.0,811.0,773.0,SF_vs_PB,primary_pseudobulk
CLU,3.73238069,1.57945734e-12,5.51562101e-11,10.2584056,SF_high,True,up,False,heat_shock_proteostasis,none,True,14143.0,811.0,773.0,SF_vs_PB,primary_pseudobulk
C15orf48,5.42027981,1.8812173e-11,5.53140464e-10,9.25716457,SF_high,True,up,False,effector_activation,none,False,14143.0,811.0,773.0,SF_vs_PB,primary_pseudobulk
